name_E,Smc3_E,Pol2_E,H4k20me1_E,H3k27ac_E,H3k9ac_E,DNaseI_E,H3k4me2_E,Rad21_E,H3k27me3_E,H3k4me3_E,Ctcf_E,H3k79me2_E,H3k4me1_E,H3k36me3_E
chr10_3948614_3948936,21.1752267780982,3.05459,0.0,3.41329,3.80283,5.38721,3.58792,3.33023,0.0,3.19641,0.0,0.0,3.36677,0.0
chr10_3984866_3985563,6.94861216278371,2.08516,0.0,4.85384,5.64519,5.91055,5.31072,0.0,0.0,0.0,0.0,2.42095,3.64511,0.0
chr10_3991165_3991394,3.37767752802972,0.0,0.0,0.0,0.0,7.51387,0.0,0.0,0.0,0.0,0.0,0.0,2.87868,0.0
chr10_4173688_4174411,10.4846736386065,0.0,0.0,5.3077,6.80838,6.24434,6.08741,0.0,0.0,0.0,0.0,4.92178,7.03986,0.0
chr10_4289203_4289519,16.3973843951305,4.41318,2.79182,3.61996,5.2003,5.21237,3.57849,3.4255,0.0,0.0,0.0,0.0,0.0,0.0
chr10_4358748_4358982,10.9180200225972,1.67189,0.0,3.78728,4.11247,6.54311,5.84448,2.83905,0.0,0.0,0.0,0.0,4.05619,0.0
chr10_4386754_4387085,26.9316724394009,2.14695,2.98718,4.35771,4.81973,9.6637,5.1973,5.14044,0.0,0.0,3.10166,0.0,4.14186,0.0
chr10_4396174_4396330,3.17511041402708,0.0,0.0,0.0,0.0,3.87679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_4414900_4415114,11.9703236185614,0.0,0.0,3.95676,0.0,9.75549,3.69849,2.52335,0.0,0.0,0.0,0.0,3.46689,0.0
chr10_4556552_4557090,3.34660404058308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_4705159_4705783,11.0541662122555,4.67939,3.02615,3.60315,4.80551,8.03062,4.51549,2.09348,0.0,3.33636,0.0,0.0,3.68293,0.0
chr10_4728868_4729211,10.4400326904281,0.0,0.0,2.67987,0.0,7.90602,3.52475,0.0,0.0,0.0,0.0,0.0,2.60389,0.0
chr10_4813646_4813900,4.38540133600096,2.72089,2.96854,3.31772,4.87842,4.45632,3.62185,2.37608,0.0,0.0,4.56226,0.0,4.44843,0.0
chr10_4891874_4892173,187.160516647527,1.97656,0.0,2.84039,3.63177,8.19135,5.05122,16.15567,0.0,0.0,28.77275,0.0,3.2669,0.0
chr10_4989909_4990226,4.97028982847125,0.0,2.97221,4.51117,4.25657,6.41916,4.30238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_500969_501047,3.51389934830947,0.0,0.0,0.0,2.96751,9.22109,4.39949,0.0,0.0,0.0,0.0,0.0,3.96967,0.0
chr10_5333644_5334212,5.40199404172579,0.0,0.0,4.83012,0.0,7.4917,4.0793,0.0,0.0,0.0,0.0,0.0,3.83336,0.0
chr10_5336164_5336286,7.99125861774735,0.0,0.0,0.0,0.0,4.59372,0.0,9.67287,0.0,0.0,26.24586,0.0,2.86651,0.0
chr10_557102_557353,114.817880372591,2.5717,2.29871,4.92599,4.14557,7.54072,4.9489,16.61066,0.0,0.0,23.80059,0.0,3.07043,0.0
chr10_5577499_5577735,7.56409281816721,0.0,0.0,0.0,0.0,5.96133,3.89899,0.0,0.0,0.0,0.0,0.0,2.79905,0.0
chr10_5587810_5588190,9.43129364915007,2.87609,0.0,3.68118,2.90697,4.87737,3.26694,3.8904,0.0,0.0,0.0,0.0,2.5631,0.0
chr10_5593718_5593999,7.60916562272864,0.0,0.0,0.0,0.0,2.39633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_5607602_5608000,5.07436401116454,0.0,0.0,2.88576,0.0,5.50097,3.24591,2.34912,0.0,0.0,0.0,0.0,2.52815,0.0
chr10_5638863_5639270,3.55570341248287,0.0,0.0,0.0,0.0,4.94801,0.0,0.0,0.0,0.0,0.0,0.0,3.11411,0.0
chr10_830904_831008,14.5691333416804,4.78457,0.0,4.8186,5.27206,6.03407,5.43873,7.36626,0.0,6.45091,8.37064,0.0,2.95575,0.0
chr1_100918231_100918546,5.02944825941463,0.0,0.0,0.0,0.0,7.27764,0.0,0.0,0.0,0.0,0.0,0.0,2.66202,0.0
chr1_101202267_101202571,9.6200563440156,0.0,0.0,2.60671,0.0,4.95374,3.73567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_10127211_10127315,9.62148580962543,2.00847,2.06796,3.1666,0.0,6.89343,4.39668,0.0,0.0,3.19641,0.0,0.0,3.08112,0.0
chr1_101392986_101393260,4.34441055515601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1014834_1015095,7.09211525894507,3.24209,3.10563,4.65287,4.24797,6.79295,6.36752,2.64149,0.0,0.0,0.0,0.0,5.44682,0.0
chr1_101774729_101775525,40.50440361996091,0.0,0.0,0.0,3.3069,5.73987,8.51272,13.93803,2.71139,4.59713,27.15279,0.0,4.21557,0.0
chr1_101776223_101776281,3.34845757607667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_10269964_10270260,7.86136496019131,5.1759,0.0,4.01226,4.06867,4.53832,3.38146,3.53981,0.0,4.13479,11.44986,0.0,0.0,0.0
chr1_10496880_10497075,3.22983988850558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_10558276_10558621,7.19241100981712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_10757179_10757344,3.88668230375799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_108593971_108594173,4.16916281387128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_108650339_108650754,8.40890016167468,0.0,0.0,0.0,0.0,9.68824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_109127044_109127234,3.01838713808487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66804,0.0
chr1_109133637_109134097,6.6070245646306,0.0,2.73027,4.45814,0.0,7.97889,4.93585,0.0,0.0,0.0,0.0,0.0,5.10333,0.0
chr1_109262615_109262764,3.00927805418127,0.0,3.27081,0.0,0.0,4.78494,0.0,0.0,0.0,0.0,0.0,0.0,3.01668,0.0
chr1_10927237_10927380,70.3694623652478,0.0,0.0,0.0,4.69939,4.35476,5.81472,9.06843,0.0,6.39455,22.618,0.0,4.00627,0.0
chr1_109841804_109842152,3.30055328976029,0.0,4.61392,4.21024,3.64388,5.46966,4.65304,1.72955,0.0,0.0,0.0,0.0,2.74987,0.0
chr1_109842394_109842833,3.99840685763362,0.0,4.61392,4.21024,3.64388,5.46966,4.65304,0.0,0.0,0.0,0.0,0.0,2.74987,0.0
chr1_109913179_109913623,7.67185264601384,2.07222,3.8628,0.0,0.0,5.0813,5.44003,1.46335,0.0,5.20799,0.0,0.0,0.0,0.0
chr1_109938897_109939079,6.2925269072859,0.0,2.23856,2.55311,0.0,0.0,3.76139,3.06707,0.0,0.0,0.0,2.76107,2.26485,0.0
chr1_109981518_109981703,5.48311371418168,0.0,2.64198,6.0357,0.0,11.41203,5.44656,0.0,0.0,0.0,0.0,0.0,4.63831,0.0
chr1_110160052_110160461,8.59322510748565,1.80257,0.0,2.26081,0.0,5.18439,0.0,1.77329,0.0,0.0,0.0,0.0,2.90168,0.0
chr1_110334849_110335164,48.9310836390028,0.0,0.0,3.64344,3.92033,6.12942,4.11412,10.14633,0.0,0.0,11.81479,0.0,2.45051,0.0
chr1_110335775_110336041,3.17132022465186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45051,0.0
chr1_110363861_110364229,8.79424682360119,0.0,0.0,3.05741,3.66994,5.70409,3.76593,2.17923,0.0,0.0,0.0,0.0,2.41485,0.0
chr1_110420039_110420145,37.0456714212779,0.0,0.0,4.93516,4.98201,7.44227,4.96376,4.25164,0.0,4.53756,4.80388,0.0,2.89494,0.0
chr1_110476602_110476703,6.99275738060344,0.0,2.73017,0.0,3.14139,6.80836,3.20016,0.0,0.0,0.0,0.0,0.0,3.21404,0.0
chr1_110672728_110673048,3.85701090854886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13279,0.0,0.0,0.0,3.20419,0.0
chr1_110976504_110976901,8.55367333974795,0.0,0.0,0.0,0.0,0.0,3.96757,4.21318,0.0,0.0,5.11864,0.0,4.12259,0.0
chr1_111178912_111179243,5.73607223341392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111182665_111183078,3.82119559493273,0.0,0.0,0.0,0.0,3.54555,0.0,0.0,0.0,0.0,0.0,0.0,2.82441,0.0
chr1_111764327_111764759,4.49333723771202,0.0,0.0,0.0,0.0,3.54182,0.0,0.0,0.0,0.0,0.0,0.0,2.80423,0.0
chr1_112058803_112059167,9.34929030955551,2.00067,0.0,4.11184,3.52481,5.71823,6.48462,2.80659,0.0,5.34711,6.91581,2.64676,4.40504,0.0
chr1_112135698_112135869,8.00651598066583,0.0,3.27997,4.19045,3.64523,7.1276,4.36426,0.0,0.0,4.51576,0.0,0.0,3.47571,0.0
chr1_112163412_112163797,5.88756795282604,0.0,2.45299,4.76933,5.41776,0.0,4.49063,1.61545,0.0,0.0,0.0,2.73598,0.0,0.0
chr1_112163826_112164071,8.72605846213902,0.0,0.0,0.0,0.0,0.0,4.49063,0.0,0.0,0.0,0.0,2.73598,0.0,0.0
chr1_112276731_112276883,3.85740710492612,1.8281,0.0,2.54643,0.0,5.1032,0.0,0.0,0.0,0.0,0.0,0.0,2.24436,0.0
chr1_112901525_112901779,33.4943158773636,0.0,2.95433,4.63459,0.0,3.75022,4.70982,8.37795,0.0,0.0,20.15465,3.30764,3.61989,0.0
chr1_113086746_113087141,5.27504444627667,0.0,4.00568,3.62362,3.73891,5.58132,3.50771,0.0,0.0,0.0,0.0,0.0,2.91472,0.0
chr1_1136667_1137146,9.22253654955108,3.79076,0.0,0.0,4.75706,7.49061,5.19152,0.0,0.0,6.86327,0.0,0.0,2.59969,0.0
chr1_113675675_113676049,3.82119559493273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_11376903_11377179,4.69865892563426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_115722074_115722498,6.919080075345475,0.0,2.94667,4.42711,3.36413,8.97793,5.25612,3.20922,0.0,0.0,0.0,2.71488,3.76823,0.0
chr1_115732772_115733197,12.2988155535325,2.49361,4.99053,3.36773,0.0,6.14763,4.10733,2.04951,0.0,0.0,0.0,0.0,2.96986,0.0
chr1_115873164_115873576,3.850572876053455,1.63155,0.0,3.11946,3.11121,5.47055,3.66669,2.66351,0.0,0.0,5.19542,0.0,2.49224,0.0
chr1_115968975_115969167,9.28199837629916,0.0,0.0,5.38755,3.18134,5.16027,3.42762,2.36083,0.0,0.0,0.0,0.0,3.36167,0.0
chr1_116088478_116088732,7.9605196322113,1.51906,3.60969,5.53664,4.18265,7.3055,5.70728,3.90153,0.0,4.1419,7.20084,0.0,4.60824,0.0
chr1_116221756_116221883,5.52342542730434,0.0,0.0,4.32694,0.0,7.23749,4.61332,0.0,0.0,0.0,0.0,0.0,4.25566,0.0
chr1_116920378_116921129,4.68211378694034,1.33758,2.10924,3.22451,3.05017,4.16368,2.83656,0.0,0.0,0.0,0.0,2.2173,2.53156,0.0
chr1_116923407_116923493,4.12680288978336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2173,0.0,0.0
chr1_117040346_117040781,4.00852366299224,0.0,0.0,0.0,0.0,5.53106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117047053_117047428,3.08387424638917,0.0,0.0,3.25211,3.52407,4.05674,0.0,0.0,0.0,0.0,0.0,0.0,3.61238,0.0
chr1_117305811_117306472,3.06462522294811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117363043_117363386,6.60091084322412,0.0,0.0,0.0,0.0,8.44048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117424835_117425013,7.87106883467295,0.0,0.0,0.0,0.0,5.91918,0.0,0.0,0.0,0.0,0.0,0.0,2.70047,0.0
chr1_118176414_118176771,4.44493994954709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118197868_118198044,3.26235407911195,0.0,0.0,0.0,0.0,3.1408,0.0,0.0,0.0,0.0,0.0,0.0,2.34556,0.0
chr1_118302292_118302520,4.04875580305497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118678137_118678411,4.42597130852441,0.0,0.0,3.70746,0.0,5.72187,0.0,0.0,0.0,0.0,0.0,0.0,3.04071,0.0
chr1_11968510_11969143,9.0497079864281,8.96772,4.07864,5.16673,4.2969,4.65813,5.00496,0.0,0.0,6.70865,2.76147,0.0,3.07865,0.0
chr1_12112067_12112502,6.70637899960001,0.0,0.0,4.35855,3.38942,7.73998,6.67987,0.0,0.0,0.0,0.0,0.0,4.93598,0.0
chr1_12124472_12125118,4.3019736031339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68303,0.0,0.0,0.0,0.0,3.1015
chr1_12127865_12128182,6.32825813950863,0.0,0.0,4.75538,5.43919,4.9453,4.74454,0.0,0.0,0.0,0.0,0.0,4.42498,0.0
chr1_12213128_12213883,7.44645828705385,0.0,3.45626,4.32521,3.75848,8.35943,3.77441,0.0,0.0,0.0,0.0,0.0,2.8866,0.0
chr1_12221931_12222397,3.15053880691018,0.0,0.0,4.29655,3.4123,7.57665,2.88637,0.0,0.0,0.0,0.0,0.0,2.92762,0.0
chr1_12227833_12229578,4.4948015065805,0.0,3.10768,3.17489,3.47205,0.0,3.34382,0.0,2.72508,5.33713,0.0,2.53704,2.46194,0.0
chr1_12233600_12234159,6.58753765386141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_12235070_12235463,2.98285961631906,0.0,0.0,0.0,0.0,0.0,2.80403,0.0,0.0,0.0,0.0,0.0,1.76756,0.0
chr1_12237719_12238747,3.43893676005915,0.0,2.97715,2.89016,2.76101,6.56931,3.81284,0.0,0.0,0.0,0.0,0.0,2.42797,0.0
chr1_12238984_12239461,5.5932773779363,0.0,0.0,2.89016,2.76101,6.56931,3.81284,0.0,0.0,0.0,0.0,0.0,2.42797,2.45577
chr1_12243852_12244671,48.240693552554,2.07307,0.0,3.30154,3.29837,7.1171,3.74946,5.81129,0.0,0.0,8.37111,0.0,2.52305,0.0
chr1_12579035_12579403,8.16578757021956,0.0,2.91191,3.61876,4.21008,6.23538,6.63012,3.71277,0.0,0.0,0.0,0.0,5.02609,0.0
chr1_12599928_12600179,20.6981863309372,0.0,0.0,3.69696,3.48132,6.11569,4.06014,3.14778,0.0,0.0,5.27859,0.0,2.62405,0.0
chr1_12600525_12600853,3.454797208790755,0.0,0.0,3.69696,3.48132,6.11569,4.06014,3.14778,0.0,0.0,0.0,0.0,2.62405,0.0
chr1_12609717_12610039,10.1750416318418,0.0,3.07865,3.71377,3.27623,7.96369,6.35675,1.70484,0.0,4.52792,0.0,0.0,2.82865,0.0
chr1_12616547_12616769,10.2566814657811,0.0,0.0,4.48379,4.9276,8.21428,4.08212,2.17923,0.0,0.0,0.0,0.0,2.73477,0.0
chr1_1295535_1296332,3.3794042533327,0.0,2.96368,2.16517,0.0,3.94193,2.88825,0.0,0.0,0.0,0.0,2.44522,2.59937,0.0
chr1_13949833_13950153,4.0905897891649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_14027926_14028325,3.36350615517179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3945,0.0
chr1_14054762_14055166,5.97658083009769,0.0,0.0,3.26578,0.0,0.0,3.8264,0.0,0.0,0.0,0.0,0.0,3.51725,0.0
chr1_142538903_142539547,4.27928696928543,0.0,2.29826,0.0,0.0,2.20868,0.0,0.0,2.75689,0.0,0.0,2.39815,0.0,0.0
chr1_144986415_144987071,4.78218783910255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88101,0.0,0.0
chr1_144987154_144987391,6.65792102308832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88101,0.0,0.0
chr1_145023690_145024549,11.8534635172552,0.0,2.08143,3.28044,3.35596,2.84151,3.63335,0.0,3.20084,0.0,0.0,2.76286,3.70949,3.0307
chr1_145058996_145059322,233.880640451342,0.0,2.83651,0.0,3.25953,4.6663,0.0,3.63206,2.97833,0.0,5.34822,2.43379,2.59722,2.91574
chr1_145064438_145064839,3.57149861192177,0.0,0.0,3.5552,0.0,0.0,4.62545,0.0,0.0,0.0,0.0,0.0,3.49729,0.0
chr1_145090155_145090603,6.4045252711896,0.0,0.0,0.0,0.0,4.06806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13775
chr1_145092450_145092883,5.39567993812629,0.0,2.62656,2.77984,4.47374,3.5903,4.17986,0.0,0.0,3.85218,0.0,0.0,3.27101,0.0
chr1_145455122_145455741,7.52033539705577,2.04351,3.28564,3.98437,4.79459,6.95082,6.00722,1.80942,0.0,4.89695,0.0,0.0,3.46769,0.0
chr1_146764405_146764804,10.907226489736,3.52182,3.99986,4.05416,4.69023,7.22893,4.76767,1.49493,0.0,0.0,0.0,0.0,3.91797,0.0
chr1_147775754_147775884,3.7633604902586,0.0,0.0,4.19222,6.40591,10.7001,7.33591,0.0,0.0,9.34447,0.0,0.0,2.95271,0.0
chr1_147806841_147807184,8.62052307036678,15.76976,0.0,6.0442,4.93932,5.68094,5.48988,0.0,2.16438,6.55769,0.0,0.0,3.40129,0.0
chr1_149978692_149979077,8.43209397683542,0.0,2.68991,0.0,0.0,3.36035,0.0,0.0,0.0,0.0,0.0,3.0538,3.3809,0.0
chr1_149981648_149981889,6.71404852430917,3.90113,0.0,3.97209,4.79092,5.28611,3.47704,0.0,0.0,5.08356,0.0,0.0,0.0,0.0
chr1_150135231_150135764,11.4306858985414,5.17338,2.54616,2.93423,4.33103,5.26765,3.38442,1.81603,0.0,4.89345,3.46574,0.0,1.97793,0.0
chr1_150159099_150159241,4.08634759663084,0.0,0.0,3.55663,0.0,4.58274,5.21808,6.1518,0.0,0.0,0.0,0.0,3.6176,0.0
chr1_150577042_150577503,3.2411389363567,2.92039,3.59732,4.18554,4.60052,9.13804,4.58752,0.0,0.0,0.0,0.0,0.0,3.73624,0.0
chr1_150585815_150586394,6.34436049122101,3.1111,3.27711,2.79265,3.69636,6.5564,3.42017,0.0,0.0,0.0,0.0,0.0,2.43187,0.0
chr1_150592182_150592667,33.0347874015958,2.7414,2.90287,2.66132,3.68515,6.20261,3.99531,4.49299,0.0,0.0,8.66296,0.0,2.97372,0.0
chr1_151172142_151172526,3.08802910598105,0.0,2.25747,3.4406,4.58318,5.34485,2.92972,0.0,0.0,5.35708,0.0,2.53126,0.0,0.0
chr1_151172620_151173197,6.42874657825264,0.0,2.25747,0.0,0.0,5.34485,2.92972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_151284018_151284391,4.01892797269687,0.0,3.26843,0.0,2.72316,7.4483,2.89145,1.8264,0.0,0.0,0.0,0.0,2.25507,0.0
chr1_151913815_151914271,5.18258429774124,0.0,3.50545,0.0,0.0,7.22191,3.04466,0.0,0.0,0.0,0.0,0.0,2.64163,0.0
chr1_151916920_151917624,4.33266115803829,0.0,0.0,3.29803,0.0,0.0,3.46893,0.0,0.0,0.0,0.0,0.0,2.7923,0.0
chr1_151960875_151961433,3.14494124933476,1.78809,2.07547,3.0265,0.0,3.27077,2.03545,0.0,0.0,0.0,0.0,0.0,2.70081,0.0
chr1_151961675_151962369,6.53751714495922,1.78809,2.07547,3.0265,0.0,3.27077,2.03545,0.0,0.0,0.0,0.0,0.0,2.70081,2.59945
chr1_151968368_151968560,5.12237406195217,0.0,0.0,0.0,0.0,5.55932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_152006910_152007460,32.6583245311692,3.5722,2.67868,3.50145,3.84888,3.06838,3.09496,2.25994,0.0,4.74328,6.10123,2.78662,3.2366,0.0
chr1_153488459_153488748,5.07819718648859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_153541018_153541368,174.423131296612,2.09002,0.0,3.30308,3.12203,3.00354,3.64764,8.52092,0.0,4.50088,18.24813,2.2618,2.75485,0.0
chr1_153762591_153763309,5.42969867009164,1.89148,3.7627,4.38706,4.68504,5.00105,4.97581,0.0,0.0,4.55091,0.0,0.0,3.71262,0.0
chr1_153936554_153936861,4.45417959994698,0.0,0.0,2.82861,3.21996,0.0,2.47743,0.0,0.0,3.13333,0.0,2.48592,2.13466,0.0
chr1_154154606_154155027,4.66640784756628,5.6825,1.93912,4.36682,4.80589,5.65419,3.90857,2.50612,0.0,5.75542,0.0,2.42631,0.0,0.0
chr1_154392646_154393050,4.92320193012503,0.0,2.53785,3.87918,3.06747,6.44625,3.78917,2.54244,0.0,0.0,0.0,0.0,2.14974,0.0
chr1_154404273_154404562,7.70999374326382,0.0,2.86856,2.77151,0.0,7.61024,3.63122,1.76946,0.0,0.0,0.0,0.0,2.31428,0.0
chr1_154579303_154579782,6.56911501650813,0.0,1.84891,4.05239,0.0,4.85542,3.98009,2.60297,0.0,0.0,0.0,2.16726,0.0,0.0
chr1_154724205_154724584,4.1338248566006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_154910155_154910399,8.22250620829833,3.08315,0.0,4.95275,5.19709,5.8331,4.61943,1.53955,0.0,6.03498,2.45473,0.0,2.69959,0.0
chr1_154914634_154915296,3.06330128066193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91728,0.0,0.0,0.0,2.73003,0.0
chr1_154972628_154972915,3.97902049310559,0.0,0.0,2.46723,2.59658,0.0,2.3156,0.0,0.0,2.76281,0.0,0.0,3.33456,0.0
chr1_154973335_154973935,9.71464362848172,2.24772,0.0,2.46723,2.59658,4.18492,2.3156,0.0,0.0,2.76281,2.63459,0.0,0.0,0.0
chr1_155469100_155469412,3.2358853355205,0.0,0.0,0.0,0.0,4.27664,0.0,0.0,0.0,0.0,0.0,0.0,3.1458,0.0
chr1_155916072_155916212,5.18626111937902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10944
chr1_155946363_155946660,5.8070755936685,3.35583,1.78125,0.0,1.87579,3.26897,1.81959,0.0,0.0,2.35847,0.0,0.0,0.0,0.0
