name_E,H3k4me2_E,H3k9ac_E,H4k20me1_E,H3k4me1_E,H3k4me3_E,Smc3_E,H3k36me3_E,H3k27ac_E,DNaseI_E,H3k79me2_E,Ctcf_E,H3k27me3_E
chr10_3893365_3894190,9.626787,7.67224,0.0,6.755114,4.93567,1.91535,0.0,21.895513,0.0346,0.0,0.0,1.157315
chr10_3907871_3908141,7.41762,0.0,0.0,5.686843,6.591591,0.0,0.0,0.0,0.0,0.0,0.0,1.157315
chr10_3908597_3908886,7.41762,0.0,0.0,5.686843,5.845566,0.0,0.0,10.226687,0.0,0.0,0.0,1.157315
chr10_3911352_3911510,7.431601,0.0,0.0,5.686843,0.0,0.0,0.0,3.824319,0.0,0.0,0.0,1.157315
chr10_3917358_3918120,21.282699,6.440869,0.0,7.814103,7.7759755,3.39081,0.0,21.685767,0.0427,3.7332325,0.0,1.157315
chr10_3928866_3929216,9.044012,0.0,0.0,5.448086,2.805056,3.91776,0.0,9.262843,0.0,0.0,0.0,1.157315
chr10_3929991_3930887,9.044012,6.03853,0.0,5.448086,2.805056,3.77265,0.0,11.4872155,0.0577,0.0,11.77471,1.157315
chr10_3944367_3944901,7.294065,10.6672045,0.0,6.810239,3.368982,2.56001,0.0,13.502995,0.0942,0.0,9.411318,1.157315
chr10_4088404_4088528,3.997511,0.0,0.0,6.890762,2.8457355,0.0,0.0,0.0,0.0574,0.0,0.0,1.157315
chr10_4162773_4163003,2.83893,0.0,0.0,3.83025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157315
chr10_4163748_4164495,9.4059535,0.0,0.0,3.83025,6.706938,0.0,0.0,0.0,0.0,0.0,0.0,1.157315
chr10_4172866_4173257,5.431207,0.0,0.0,6.387573,4.697408,0.0,0.0,0.0,0.0,0.0,0.0,1.157315
chr10_4173688_4174411,5.431207,6.39605,0.0,6.387573,4.697408,2.24908,0.0,9.267509,0.0513,0.0,0.0,1.157315
chr10_4556552_4557090,12.909836,0.0,0.0,3.237974,5.770801,0.0,0.0,0.0,0.0383,0.0,0.0,1.444911
chr10_4891874_4892173,12.77102,0.0,1.639535,5.637505,6.65939,20.81145,0.0,0.0,0.1039,0.0,45.329232,1.446367
chr10_5593718_5593999,6.51154,0.0,1.993346,2.494426,0.0,0.0,0.0,0.0,0.0694,0.0,0.0,1.7800115
chr10_5883027_5883237,11.261098,21.719993,0.0,7.690205,5.184264,4.56035,0.0,13.513497,0.1135,0.0,0.0,0.0
chr10_5888274_5888577,11.261098,0.0,0.0,7.690205,5.344383,11.31797,0.0,12.453776,0.0276,0.0,0.0,0.0
chr10_990446_990769,16.887709,4.833311,0.0,6.951859,5.275637,145.53758,0.0,6.859915,0.075,0.0,1.100408,0.0
chr1_100512510_100512716,10.086355,14.284247,1.716972,3.3623220000000003,5.785326,2.56818,3.282746,11.196553,0.0329,9.583163,0.0,0.0
chr1_1005293_1005547,4.556933,4.184379,0.0,4.022189333333333,4.13562,0.0,0.0,0.0,0.3004,0.0,0.0,0.0
chr1_100820585_100820838,13.082382,0.0,1.874173,2.22365,10.297219,0.0,1.823645,0.0,0.0,4.711598,0.0,0.0
chr1_100996437_100996829,9.877085,0.0,2.119055,5.868516,3.835316,0.0,0.0,0.0,0.0372,0.0,0.0,1.947481
chr1_101000887_101001063,7.754905,0.0,2.119055,8.531042,4.188905,0.0,0.0,0.0,0.0,0.0,0.0,1.947481
chr1_10127211_10127315,9.922789,0.0,0.0,3.723009,5.267029,0.0,2.110164,15.130333,0.0359,5.200613,0.0,0.0
chr1_1014834_1015095,12.0149245,10.100165,0.0,4.631961,5.114147,0.0,0.0,0.0,0.1473,0.0,0.0,0.0
chr1_101577594_101578108,13.661996,0.0,0.0,4.628362,2.810606,2.75162,0.0,10.023042,0.0443,0.0,8.182429,0.0
chr1_101774729_101775525,15.538213,17.069588,0.0,5.680382,8.127133,5.84392,2.639615,31.38811,0.0344,8.635388,36.838657,0.0
chr1_101776223_101776281,15.538213,17.069588,0.0,5.680382,8.127133,0.0,2.639615,31.38811,0.0,8.635388,0.0,0.0
chr1_10269964_10270260,10.899113,11.490261,0.0,0.0,6.724095,7.82247,2.110164,7.051635,0.4432,2.954274,30.161558,0.0
chr1_10556105_10556527,10.619454,13.329498,1.992952,6.583618,8.826299,0.0,2.110164,15.472847,0.0,5.553183,0.0,0.0
chr1_10557233_10557456,10.619454,0.0,1.992952,6.583618,3.055845,0.0,2.110164,15.472847,0.0,5.553183,0.0,0.0
chr1_10558276_10558621,10.619454,9.833435,1.992952,6.583618,4.925209,0.0,2.110164,9.497472,0.0,5.553183,0.0,0.0
chr1_10757179_10757344,4.365026,0.0,1.853101,0.0,0.0,0.0,2.110164,0.0,0.0294,0.0,0.0,1.453146
chr1_108329022_108329589,10.581901,0.0,0.0,4.345035,3.975067,0.0,0.0,0.0,0.0,1.836517,0.0,1.878116
chr1_108478082_108478329,5.24112,0.0,1.197656,2.86817,6.562446,0.0,0.0,10.428196,0.0425,2.159897,10.299686,1.878116
chr1_108479405_108480123,5.24112,0.0,1.197656,2.86817,6.562446,2.54525,0.0,10.428196,0.0,2.159897,0.0,1.878116
chr1_108483614_108484145,5.24112,0.0,1.197656,2.86817,2.486864,0.0,0.0,0.0,0.0,2.159897,0.0,1.878116
chr1_10853986_10854555,5.630476,0.0,1.776556,3.652059,2.606209,0.0,0.0,0.0,0.0491,0.0,0.0,1.453146
chr1_108741685_108742156,11.407424,8.048569,0.0,3.115164,7.067389,0.0,0.0,0.0,0.0,0.0,0.0,3.638121
chr1_109100040_109100237,7.2882375,5.440316,0.0,5.392605,7.111012,5.50325,0.0,8.662077,0.0296,2.066671,0.0,0.0
chr1_109104473_109104583,7.2882375,0.0,1.726755,5.392605,7.111012,22.06803,0.0,0.0,0.0718,2.066671,34.485116,0.0
chr1_109127044_109127234,4.063651,0.0,0.0,4.551519,6.850669,0.0,0.0,0.0,0.0,1.874062,0.0,0.0
chr1_10927237_10927380,7.329771,0.0,1.776556,3.367587,2.590284,10.31859,0.0,0.0,0.0937,0.0,18.372412,1.453146
chr1_1093610_1093958,19.315676,30.834767,0.0,8.098172,6.914191,0.0,0.0,16.607566,0.4261,0.0,0.0,0.0
chr1_109913179_109913623,11.451734,0.0,1.448127,4.640631,6.398586,0.0,0.0,3.688164,0.0,0.0,0.0,0.0
chr1_109933790_109934137,8.566467,9.893478,1.448127,6.46903,4.735104,0.0,0.0,7.046995,0.1069,2.395551,0.0,0.0
chr1_109938897_109939079,9.104892,0.0,1.448127,5.438542,5.492503,0.0,4.128695,0.0,0.0,2.395551,0.0,4.71481
chr1_110358971_110359415,11.565369333333336,9.106616,0.0,8.523595,4.62355,2.93506,0.0,10.343265,0.1713,0.0,3.330949,0.0
chr1_110363861_110364229,2.609032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110364881_110365302,2.609032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110366477_110366702,2.609032,0.0,0.0,5.529158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110406868_110407271,6.090178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110429456_110429734,4.067681,0.0,0.0,6.311059,0.0,0.0,0.0,0.0,0.0397,0.0,0.0,0.0
chr1_110448900_110449220,10.025925,15.1588965,0.0,9.934052,4.009229,5.68669,2.708807,10.036639,0.2246,0.0,0.0,0.0
chr1_110451717_110451917,12.505925,11.438227,0.0,3.511544,6.752787,0.0,2.708807,0.0,0.0,0.0,0.0,0.0
chr1_110454846_110455290,12.505925,11.438227,2.258365,3.511544,6.752787,0.0,2.708807,8.140575,0.0384,10.554158,0.0,0.0
chr1_110626726_110627062,13.917385,11.2750375,2.085787,3.590772,6.113648,0.0,0.0,0.0,0.0973,0.0,0.0,2.272068
chr1_110879130_110879445,7.105403,15.668958,3.004823,4.378163,10.944174,0.0,3.499043,31.892301,0.0,10.538626,0.0,0.0
chr1_110927812_110928210,9.413466,5.315046,0.0,6.181119,4.273065,0.0,3.499043,10.214401,0.052,0.0,0.0,0.0
chr1_111162611_111162919,9.5305855,12.005074,2.412483,6.575831,5.832326,0.0,0.0,16.70699,0.1786,0.0,24.720513,2.174321
chr1_111163364_111163623,9.5305855,0.0,2.412483,6.575831,5.832326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111170436_111170835,5.744533499999999,0.0,0.0,9.723841,2.40843,0.0,0.0,9.705406,0.0,0.0,3.269601,0.0
chr1_111177471_111177854,9.4746995,7.599286,0.0,9.723841,5.719567,3.17965,0.0,15.056261,0.0723,0.0,0.0,0.0
chr1_111178912_111179243,9.4746995,7.599286,0.0,9.723841,5.719567,0.0,0.0,15.056261,0.0,0.0,0.0,0.0
chr1_111182665_111183078,5.498053,0.0,0.0,9.723841,0.0,0.0,0.0,9.705406,0.0,0.0,0.0,0.0
chr1_111189973_111190443,5.498053,0.0,0.0,9.723841,2.549465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111211165_111211475,15.425273,0.0,0.0,5.207897,8.3886,0.0,1.826725,0.0,0.0,0.0,0.0,1.527138
chr1_111212876_111213052,15.425273,0.0,0.0,5.207897,8.3886,0.0,0.0,0.0,0.0,4.908123,0.0,1.527138
chr1_111329904_111330079,11.683414,9.613576,0.0,10.601396,6.488029,3.23315,0.0,29.876283,0.0585,2.987694,3.599762,0.0
chr1_111417124_111417532,18.588062,25.334828,3.219766,3.533887,15.0511285,0.0,4.437714,11.030569,0.0,18.594778,1.799589,0.0
chr1_111735402_111735659,7.591547,15.537391,2.086564,5.264192,5.684069,1.85276,4.553859,42.004709,0.0,11.456607,2.852063,0.0
chr1_111735691_111736003,7.591547,15.537391,2.086564,5.264192,5.684069,1.85276,4.553859,42.004709,0.0,11.456607,2.852063,0.0
chr1_111757482_111757860,7.591547,15.537391,0.0,5.264192,5.684069,2.72869,0.0,54.899753,0.0342,11.456607,2.852063,0.0
chr1_111758440_111759106,7.591547,15.537391,0.0,5.264192,5.684069,2.94974,0.0,54.899753,0.0525,11.456607,2.852063,0.0
chr1_111764327_111764759,7.591547,15.537391,0.0,5.264192,5.684069,6.77685,0.0,54.899753,0.0695,11.456607,6.987862,0.0
chr1_112013331_112014031,13.80683475,3.624437,0.0,5.332439,3.509355,0.0,3.751689,9.588925,0.0257,0.0,2.22303,0.0
chr1_112048437_112048734,9.295556,14.86179,0.0,9.315061,7.327983,1.67214,0.0,29.692502,0.0795,4.854798,4.516282,0.0
chr1_112050044_112050594,9.295556,14.86179,0.0,9.315061,7.859902,6.2737,0.0,29.692502,0.094,10.320247,21.358607,0.0
chr1_112058341_112058601,8.835373,9.276985,0.0,9.315061,5.007719,0.0,0.0,7.432045,0.0485,3.41083,11.41052,0.0
chr1_112058803_112059167,8.835373,9.276985,0.0,9.315061,5.007719,4.88504,0.0,7.432045,0.0485,3.41083,11.41052,0.0
chr1_112135698_112135869,5.85816,10.945036,0.0,4.781661,4.182094,3.12506,0.0,38.459428,0.0871,11.475606,0.0,0.0
chr1_112163412_112163797,5.85816,15.7082145,2.305999,4.781661,4.182094,2.42643,3.802816,14.606432,0.0,11.475606,0.0,0.0
chr1_112163826_112164071,5.85816,15.7082145,2.305999,4.781661,4.182094,2.42643,3.802816,14.606432,0.0,11.475606,0.0,0.0
chr1_112196411_112196803,5.85816,0.0,2.305999,4.781661,4.182094,0.0,3.802816,5.593874,0.0,11.475606,0.0,0.0
chr1_112942216_112942335,11.059959,4.103914,0.0,2.709932,8.292047,0.0,2.47725,11.034728,0.0461,7.7201955,0.0,1.684056
chr1_113525578_113525919,6.575879,0.0,0.0,4.552343,0.0,0.0,2.697432,6.279991,0.0,7.144371,0.0,0.0
chr1_113584893_113585079,9.562194,0.0,0.0,5.986844,6.092657,7.53945,0.0,6.867828,0.0,0.0,0.0,0.0
chr1_1136075_1136463,11.48964,3.859405,0.0,3.76384,1.35805,0.0,0.0,0.0,0.1284,0.0,0.0,0.0
chr1_1136667_1137146,16.202395,3.859405,0.0,0.0,1.35805,26.00285,0.0,0.0,0.1284,0.0,0.0,0.0
chr1_113734243_113734639,11.70963,12.734929,1.211162,5.947204,6.262417,0.0,0.0,9.107214,0.0564,0.0,0.0,1.869981
chr1_114326143_114326379,8.581569,5.770827,1.88054,6.759727,5.190899,2.27009,3.422671,5.863299,0.0,11.520451,0.0,0.0
chr1_1143531_1144198,10.657811,0.0,1.890931,5.55154,2.4075596666666663,0.0,0.0,0.0,0.102,0.0,0.0,2.620082
chr1_115052481_115052766,10.022392,19.936417,1.828875,3.605141,10.625646,0.0,3.233983,19.763701,0.0,6.156229,0.0,0.0
chr1_115641281_115641604,9.028221,3.44823,0.0,7.661945,6.355239,0.0,0.0,0.0,0.0957,0.0,0.0,1.478431
chr1_116918925_116919548,17.10402,22.521879,1.327167,6.24214,14.428209,0.0,5.279628,30.543582,0.0,21.754762,1.83109,1.478431
chr1_116920378_116921129,17.10402,22.521879,1.327167,6.24214,14.428209,2.04078,5.279628,30.543582,0.0624,21.754762,1.83109,1.478431
chr1_116923407_116923493,17.10402,22.521879,1.327167,6.24214,14.428209,0.0,5.279628,30.543582,0.0,21.754762,1.83109,1.478431
chr1_117032033_117032296,11.602838,0.0,1.327167,7.630631,3.37937,0.0,4.093109,5.381285,0.0501,0.0,0.0,1.478431
chr1_117046366_117046546,13.4317715,4.9676465,1.327167,9.163579,3.830989,0.0,4.093109,8.138554,0.0,13.454919,0.0,1.478431
chr1_117047053_117047428,14.489608333333331,10.624296,1.327167,9.163579,3.830989,0.0,4.093109,8.138554,0.13,13.454919,0.0,1.478431
chr1_117050808_117051139,7.431483,2.713419,1.327167,9.163579,3.082569,0.0,4.093109,8.138554,0.0,13.454919,0.0,1.478431
chr1_117051576_117051921,7.431483,6.0187365,1.327167,9.163579,3.082569,0.0,4.093109,8.138554,0.0291,13.454919,0.0,1.478431
chr1_117080047_117080432,10.645151,0.0,1.327167,5.976025,7.382836,0.0,4.093109,22.573833,0.0,13.454919,0.0,0.0
chr1_117081238_117081452,10.645151,6.155102,1.327167,5.976025,7.382836,2.40767,4.093109,22.573833,0.0329,13.454919,0.0,0.0
chr1_117082797_117083071,10.645151,6.155102,1.327167,5.976025,7.382836,0.0,4.093109,22.573833,0.0697,13.454919,0.0,0.0
chr1_117100772_117101124,10.645151,14.048621,1.327167,5.976025,7.382836,0.0,8.8770345,22.573833,0.0,13.454919,2.838417,0.0
chr1_117111804_117112156,10.645151,18.71152,1.327167,5.976025,7.382836,0.0,4.093109,22.573833,0.0,13.454919,2.838417,0.0
chr1_117112460_117112738,10.645151,18.71152,1.327167,5.976025,7.382836,0.0,4.093109,22.573833,0.0,13.454919,12.8854775,0.0
chr1_117129425_117129671,12.660966,3.963991,1.327167,5.976025,5.921442,0.0,0.0,14.174414,0.0547,0.0,0.0,0.0
chr1_117280613_117280924,9.125861,7.797745,0.0,8.477684,4.254525,8.58507,0.0,21.612484,0.0,0.0,0.0,0.0
chr1_117281390_117281752,9.125861,7.797745,0.0,8.477684,4.254525,2.50147,0.0,21.612484,0.0814,0.0,0.0,0.0
chr1_1173386_1173736,5.238638,0.0,2.115719,0.0,0.0,0.0,0.0,0.0,0.0419,0.0,0.0,0.0
chr1_117421623_117422020,11.860412,11.59974,1.254151,5.80999,6.296702,2.90886,0.0,9.158032,0.0452,4.999573,0.0,1.940072
chr1_117422443_117422644,11.860412,11.59974,1.254151,5.80999,6.296702,0.0,0.0,9.158032,0.0,0.0,0.0,1.940072
chr1_118174879_118175156,8.9690475,0.0,2.448079,5.055774,2.320306,0.0,0.0,0.0,0.0502,0.0,0.0,2.658593
chr1_118176414_118176771,3.269624,0.0,2.448079,5.055774,2.320306,0.0,0.0,0.0,0.0,0.0,0.0,2.658593
chr1_118197244_118197521,10.968465,5.905606,2.448079,11.483691,3.579041,0.0,0.0,10.175951,0.095,0.0,1.906852,2.658593
chr1_118197868_118198044,10.968465,5.905606,2.448079,11.483691,3.579041,0.0,0.0,10.175951,0.0,0.0,1.906852,2.658593
chr1_118198788_118199247,10.968465,5.905606,2.448079,11.483691,3.579041,0.0,0.0,10.175951,0.0878,0.0,1.906852,2.658593
chr1_118201472_118201699,10.968465,0.0,2.448079,11.483691,3.579041,0.0,0.0,10.175951,0.0366,0.0,0.0,2.658593
chr1_118206889_118207267,14.170721,0.0,2.448079,11.483691,2.838528,0.0,0.0,12.434383,0.1305,0.0,0.0,2.658593
chr1_119503304_119503581,7.08106,0.0,0.0,5.467264,5.056426,0.0,0.0,0.0,0.0,0.0,0.0,2.734074
chr1_11968510_11969143,8.540603,18.160794,0.0,2.352995,5.343092,0.0,0.0,32.718292,0.1433,0.0,21.221201,0.0
chr1_11990003_11990329,17.38285,7.459403999999999,0.0,4.5659790000000005,3.364765,0.0,0.0,12.679223,0.0793,0.0,0.0,0.0
chr1_120255895_120256325,11.917262,9.350543,1.295916,3.508324,7.191352,0.0,2.183909,0.0,0.0,3.314161,0.0,1.569819
chr1_120530787_120531205,5.631357,0.0,1.295916,3.921641,2.588081,0.0,0.0,0.0,0.0,0.0,0.0,1.569819
chr1_12112067_12112502,9.741767,9.063781,0.0,5.773007,4.745461,5.91599,0.0,19.162219,0.1107,10.442125,2.577407,0.0
chr1_12124472_12125118,9.741767,21.977029,0.0,5.773007,4.745461,1.96544,4.623095,19.162219,0.0,10.442125,7.576831,0.0
chr1_12127865_12128182,9.741767,21.977029,0.0,5.773007,4.745461,2.37063,4.623095,19.162219,0.067,10.442125,2.577407,0.0
chr1_12210430_12211346,12.070556,8.59839,1.933875,7.448149,5.263996,0.0,4.623095,27.172865,0.0296,4.649932,1.545637,0.0
chr1_12213128_12213883,12.070556,8.59839,1.933875,7.448149,5.263996,2.54525,4.623095,27.172865,0.0344,3.194992,1.545637,0.0
chr1_12221931_12222397,11.581171,16.288757,1.933875,7.448149,4.978398,3.1054,3.297844,23.065943,0.2129,0.0,1.545637,0.0
chr1_12225396_12225718,12.868843,0.0,1.933875,7.448149,0.0,0.0,3.297844,0.0,0.0,0.0,1.545637,0.0
chr1_12227833_12229578,12.868843,16.520657,1.933875,7.448149,8.674453,6.6039,3.297844,11.142188,0.1259,13.538507,1.545637,0.0
chr1_12231693_12231881,12.868843,5.911454,1.933875,7.448149,8.674453,0.0,3.297844,6.971879,0.035,13.538507,1.545637,0.0
chr1_12232096_12232448,12.868843,5.911454,1.933875,7.448149,8.674453,0.0,3.297844,6.971879,0.0,13.538507,1.545637,0.0
chr1_12233600_12234159,12.868843,5.911454,1.933875,7.448149,8.674453,0.0,3.297844,6.971879,0.0908,13.538507,1.545637,0.0
chr1_12235070_12235463,12.868843,0.0,1.933875,7.448149,8.674453,0.0,3.297844,6.971879,0.025,13.538507,0.0,0.0
chr1_12237719_12238747,13.597471333333331,0.0,1.933875,7.448149,3.444821,0.0,3.297844,0.0,0.0,13.538507,0.0,0.0
chr1_12238984_12239461,10.431154,5.883488,1.933875,7.448149,3.444821,0.0,3.297844,6.059641,0.0506,13.538507,0.0,0.0
chr1_12243852_12244671,4.378262,9.048064,1.933875,7.448149,0.0,5.86662,3.297844,16.912049,0.0878,13.538507,7.76652,0.0
chr1_12406013_12406127,12.788801,0.0,0.0,8.630589,5.961386,0.0,7.6619835,9.62248,0.0,0.0,0.0,0.0
chr1_12493313_12493712,7.873851,0.0,1.892366,9.258077,4.063405,0.0,3.018934,0.0,0.0,0.0,0.0,1.578777
chr1_12493910_12494304,7.873851,0.0,1.892366,9.258077,4.063405,0.0,3.018934,0.0,0.0,0.0,0.0,1.578777
chr1_12508783_12509005,6.569929,0.0,1.892366,8.4287,6.24929,0.0,3.018934,0.0,0.0,0.0,0.0,1.578777
chr1_12509354_12509466,6.569929,0.0,1.892366,8.4287,6.24929,0.0,3.018934,3.901476,0.1158,0.0,0.0,1.578777
chr1_12533412_12533678,5.856055,0.0,1.892366,4.564141,2.432218,0.0,3.018934,0.0,0.0327,0.0,0.0,0.0
chr1_1368471_1368786,4.476183,0.0,2.1376,2.642435,3.774034,0.0,0.0,0.0,0.239,0.0,0.0,0.0
chr1_14027926_14028325,15.360875,22.65784,1.631885,4.359119,10.198296,0.0,3.733669,31.81588,0.04,12.15652,0.0,0.0
chr1_14029077_14029879,15.360875,22.65784,1.631885,4.359119,10.198296,1.74269,3.733669,31.81588,0.0894,12.15652,3.58262,0.0
chr1_14054762_14055166,11.375805,9.942087,1.631885,7.086325,8.452442,0.0,3.733669,11.847915,0.0,12.15652,0.0,0.0
chr1_142538903_142539547,6.455358,7.940956,8.577978,7.293482,6.119626,1.44555,3.666929,6.144048,0.0,0.0,8.711425,3.976924
chr1_144533627_144534178,24.149774,4.196921,1.829797,4.765183,7.136423,1.67849,1.9951,12.113725,0.0605,0.0,6.131384,6.094199
chr1_144536201_144536370,19.223638,4.196921,1.829797,4.765183,7.136423,0.0,0.0,0.0,0.0309,0.0,3.126854,5.9374530000000005
chr1_144908312_144908601,11.2202425,0.0,0.0,7.840647,7.821795,0.0,2.858354,17.512775,0.0353,0.0,2.058837,0.0
chr1_144908806_144909147,11.2202425,8.311594,0.0,7.840647,7.821795,0.0,2.858354,17.512775,0.0,0.0,2.058837,0.0
chr1_144927217_144927550,20.363559,9.1784415,1.807005,6.251823,10.643537,0.0,2.858354,3.820409,0.0,8.831300500000001,4.720603,1.995747
chr1_145042783_145043227,5.277169,0.0,3.669641,2.169651,3.03345,0.0,2.600477,0.0,0.0,0.0,2.058837,5.418441
chr1_145058996_145059322,2.171073,2.322228,3.669641,4.935259,3.03345,4.5727,2.600477,0.0,0.0866,0.0,24.886292,5.418441
chr1_145090155_145090603,5.095795,4.585275,3.669641,2.169651,3.03345,0.0,2.600477,0.0,0.0,0.0,2.058837,5.418441
chr1_145092450_145092883,9.662405,9.2128635,3.669641,4.948769,7.571495,3.16436,2.600477,0.0,0.0,0.0,6.612723,5.418441
chr1_145437595_145437817,14.817687,16.993738,0.0,4.735863,13.335708,0.0,0.0,16.877864,0.0443,8.388686,0.0,0.0
chr1_145454760_145454851,11.462969,9.616779,0.0,9.877542,5.930165,0.0,1.945609,21.104318,0.029,0.0,0.0,0.0
chr1_145455122_145455741,11.462969,9.616779,0.0,9.877542,5.930165,2.40002,1.945609,21.104318,0.1148,0.0,11.628875,0.0
chr1_147775754_147775884,13.725969,0.0,0.0,0.0,11.757063,0.0,0.0,0.0,0.026,0.0,0.0,1.767177
chr1_147806841_147807184,13.80238,14.237798,0.0,4.678884,8.635539,0.0,0.0,16.092992,0.0551,0.0,0.0,1.767177
chr1_148000699_148000802,13.066066,11.477915,0.0,0.0,8.087654,4.91853,0.0,0.0,0.0,0.0,10.62758,0.0
chr1_14843752_14844090,5.5365705,13.852656,0.0,8.02423,3.363229,2.90886,0.0,13.896155,0.0341,0.0,0.0,0.0
chr1_149215297_149215704,5.390351,7.957984,0.0,0.0,3.590529,0.0,0.0,8.239813,0.0814,0.0,0.0,1.828522
chr1_14926383_14926731,17.698438,5.541063,1.716972,4.525463,4.144573,2.24716,0.0,0.0,0.0689,0.0,0.0,1.706791
chr1_149978692_149979077,3.300977,0.0,1.83601,0.0,6.343436,0.0,2.701112,0.0,0.0,8.350047,0.0,0.0
chr1_149981648_149981889,9.322558,16.338422,1.83601,0.0,6.343436,0.0,2.701112,15.690305,0.0,8.350047,1.581033,0.0
chr1_149984633_149984917,3.300977,0.0,1.83601,3.930839,2.823962,0.0,2.701112,0.0,0.0,0.0,1.581033,0.0
chr1_150135231_150135764,8.341217,24.899031,0.0,4.815284,5.589719,2.33888,0.0,21.056948,0.1179,8.769194,8.4426555,0.0
chr1_150185878_150186128,10.094618,10.946977,0.0,5.244709,5.776945,0.0,2.729538,13.387578,0.2438,0.0,9.0503505,0.0
chr1_150294873_150295138,16.631726,17.945241,0.0,5.324477,16.454568,0.0,2.994039,31.422248,0.0295,14.139039,3.136301,0.0
chr1_150585815_150586394,9.652108,17.246163000000003,0.0,6.982529,4.690277,2.2013,3.779206,12.10107,0.0668,7.755670999999999,0.0,0.0
chr1_15059594_15059681,6.59246,0.0,0.0,7.011205,2.50478,4.95292,0.0,4.83673,0.0872,0.0,0.0,0.0
chr1_150600412_150600701,11.505041,17.8253,0.0,6.863008333333333,8.857166,0.0,5.904815,11.183173,0.0,10.852906,0.0,0.0
chr1_150735950_150736336,10.952327,13.982121,0.0,3.07685,9.970828,0.0,3.305106,17.419177,0.0,8.908705,0.0,0.0
chr1_151168297_151168505,9.633354,0.0,0.0,6.446189,10.521899,0.0,3.535751,0.0,0.0,6.34957,0.0,0.0
chr1_151172142_151172526,9.633354,22.54609,2.261729,0.0,10.521899,0.0,3.535751,19.898209,0.0,6.34957,0.0,0.0
chr1_151172620_151173197,9.633354,22.54609,2.261729,0.0,10.521899,0.0,3.535751,19.898209,0.0,6.34957,0.0,0.0
chr1_151249767_151250096,10.883059,3.740217,0.0,5.224855,7.6297885,0.0,3.535751,8.664339,0.0448,0.0,0.0,0.0
