name_E,H3k79me2_E,Rad21_E,Ctcf_E,Pol2_E,H3k36me3_E,H4k20me1_E,H3k4me1_E,H3k9ac_E,DNaseI_E,Smc3_E,H3k27ac_E,H3k4me2_E,H3k27me3_E,H3k4me3_E
chr1_108741685_108742156,2.84804,0.0,0.0,1.69423,0.0,0.0,0.0,4.29079,4.96355,0.0,4.4126699999999985,3.51044,0.0,4.98881
chr1_109104473_109104583,3.04603,2.84511,5.16785,0.0,0.0,3.06611,3.39413,0.0,0.0,0.0,0.0,5.39227,0.0,0.0
chr1_109938897_109939079,2.76107,3.06707,0.0,0.0,0.0,2.23856,2.26485,0.0,0.0,6.2925269072859,2.55311,3.76139,0.0,0.0
chr1_110364881_110365302,2.45345,0.0,0.0,0.0,0.0,0.0,2.41485,0.0,5.70409,0.0,0.0,0.0,0.0,0.0
chr1_110454846_110455290,1.99404,0.0,0.0,0.0,0.0,2.37163,2.0522400000000003,3.54797,0.0,0.0,0.0,2.74539,0.0,3.93965
chr1_111735402_111735659,2.71222,0.0,0.0,0.0,0.0,0.0,2.56878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111735691_111736003,2.71222,0.0,0.0,0.0,0.0,0.0,2.56878,2.53812,0.0,0.0,0.0,0.0,0.0,0.0
chr1_112050044_112050594,2.74002,9.47241,11.46168,0.0,0.0,0.0,5.36701,5.00554,5.53302,0.0,6.0198,6.04212,0.0,3.69986
chr1_112058341_112058601,2.64676,2.8065900000000004,0.0,2.00067,0.0,0.0,4.4050400000000005,3.52481,5.71823,0.0,4.11184,6.48462,0.0,5.34711
chr1_112058803_112059167,2.64676,2.8065900000000004,6.9158100000000005,2.00067,0.0,0.0,4.4050400000000005,3.52481,5.71823,9.34929030955551,4.11184,6.48462,0.0,5.34711
chr1_112163412_112163797,2.73598,1.61545,0.0,0.0,0.0,2.45299,0.0,5.41776,0.0,5.88756795282604,4.76933,4.49063,0.0,0.0
chr1_112163826_112164071,2.73598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72605846213902,0.0,4.49063,0.0,0.0
chr1_112901525_112901779,3.30764,8.37795,20.15465,0.0,0.0,2.95433,3.61989,0.0,3.75022,33.494315877363604,4.63459,4.70982,0.0,0.0
chr1_112942216_112942335,2.3755900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_113013577_113014004,2.8446,0.0,0.0,0.0,2.85432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_113683682_113683919,2.8362700000000003,0.0,0.0,0.0,0.0,0.0,4.2812800000000015,3.43835,0.0,0.0,3.71006,3.5077800000000003,0.0,0.0
chr1_114326143_114326379,2.85217,0.0,0.0,0.0,0.0,2.658,2.6413900000000003,0.0,3.69817,0.0,3.07765,0.0,0.0,0.0
chr1_115052481_115052766,2.6629,0.0,0.0,0.0,0.0,3.01717,0.0,4.1887300000000005,0.0,0.0,4.20486,3.26766,0.0,4.38696
chr1_115722074_115722498,2.71488,3.20922,0.0,0.0,0.0,2.94667,3.76823,3.3641300000000003,8.97793,6.919080075345475,4.42711,5.25612,0.0,0.0
chr1_116920378_116921129,2.2173,0.0,0.0,1.33758,0.0,2.10924,2.53156,3.05017,4.16368,4.68211378694034,3.22451,2.83656,0.0,0.0
chr1_116923407_116923493,2.2173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12680288978336,0.0,0.0,0.0,0.0
chr1_117050808_117051139,3.14212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117100772_117101124,2.7221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117112460_117112738,3.1370400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118153815_118153988,1.81162,0.0,0.0,0.0,2.76864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_120255895_120256325,2.31926,0.0,0.0,4.86338,3.51809,0.0,2.70278,4.39441,5.15255,0.0,3.9671,3.29221,0.0,4.85326
chr1_12050736_12051137,2.36405,0.0,0.0,0.0,0.0,0.0,3.03861,0.0,4.58865,0.0,3.04048,0.0,0.0,0.0
chr1_120530787_120531205,2.55931,0.0,0.0,0.0,0.0,2.68261,2.96564,0.0,2.8639,0.0,3.01181,3.3352800000000005,0.0,0.0
chr1_12227833_12229578,2.53704,0.0,0.0,0.0,0.0,3.10768,2.46194,3.47205,0.0,4.4948015065805,3.17489,3.34382,2.72508,5.33713
chr1_12245348_12245387,2.5322,0.0,0.0,0.0,0.0,0.0,2.52305,3.29837,0.0,0.0,3.30154,3.74946,0.0,0.0
chr1_1295535_1296332,2.44522,0.0,0.0,0.0,0.0,2.96368,2.59937,0.0,3.94193,3.3794042533327,2.1651700000000003,2.88825,0.0,0.0
chr1_14029077_14029879,2.8778200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_142538903_142539547,2.39815,0.0,0.0,0.0,0.0,2.29826,0.0,0.0,2.20868,4.279286969285431,0.0,0.0,2.7568900000000003,0.0
chr1_144871122_144871347,2.40508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_144986415_144987071,2.88101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78218783910255,0.0,0.0,0.0,0.0
chr1_144987154_144987391,2.88101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6579210230883215,0.0,0.0,0.0,0.0
chr1_144988079_144988414,2.88101,0.0,0.0,0.0,0.0,0.0,2.71512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_145023690_145024549,2.76286,0.0,0.0,0.0,3.0307,2.08143,3.70949,3.35596,2.84151,11.853463517255197,3.28044,3.63335,3.2008400000000004,0.0
chr1_145054975_145055306,2.86534,0.0,0.0,0.0,0.0,0.0,3.01899,0.0,3.46239,0.0,3.24933,3.14805,0.0,0.0
chr1_145058996_145059322,2.43379,3.63206,5.34822,0.0,2.91574,2.83651,2.59722,3.25953,4.6663,233.880640451342,0.0,0.0,2.97833,0.0
chr1_145640932_145641287,2.1182,0.0,0.0,0.0,0.0,0.0,3.04005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_149978692_149979077,3.0538,0.0,0.0,0.0,0.0,2.68991,3.3809,0.0,3.36035,8.43209397683542,0.0,0.0,0.0,0.0
chr1_150294873_150295138,3.7104,0.0,0.0,0.0,0.0,3.18075,2.61421,0.0,0.0,0.0,0.0,5.81531,0.0,0.0
chr1_150600412_150600701,3.01803,0.0,0.0,0.0,0.0,3.01802,2.71132,0.0,0.0,0.0,0.0,3.805,0.0,0.0
chr1_151172142_151172526,2.53126,0.0,0.0,0.0,0.0,2.25747,0.0,4.5831800000000005,5.34485,3.0880291059810494,3.4406,2.92972,0.0,5.357080000000002
chr1_151871280_151871437,3.72122,0.0,0.0,0.0,0.0,0.0,2.9641900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_151945068_151945221,2.71901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_152006910_152007460,2.78662,2.2599400000000003,6.10123,3.5722,0.0,2.67868,3.2366,3.84888,3.06838,32.6583245311692,3.50145,3.09496,0.0,4.74328
chr1_152007615_152008057,2.78662,0.0,6.10123,3.5722,0.0,0.0,3.2366,3.84888,3.06838,0.0,3.50145,3.09496,0.0,4.74328
chr1_153541018_153541368,2.2618,8.52092,18.24813,2.09002,0.0,0.0,2.75485,3.12203,3.00354,174.423131296612,3.3030800000000005,3.64764,0.0,4.50088
chr1_153583449_153583810,2.06887,0.0,0.0,0.0,0.0,2.91023,1.85084,0.0,2.36947,0.0,0.0,0.0,0.0,0.0
chr1_153715466_153715694,2.54959,0.0,0.0,0.0,2.15522,2.55024,3.38947,0.0,0.0,0.0,3.0025,0.0,0.0,0.0
chr1_153936554_153936861,2.48592,0.0,0.0,0.0,0.0,0.0,2.13466,3.21996,0.0,4.454179599946982,2.82861,2.47743,0.0,3.13333
chr1_154154606_154155027,2.42631,2.50612,0.0,5.6825,0.0,1.93912,0.0,4.80589,5.65419,4.666407847566281,4.36682,3.90857,0.0,5.75542
chr1_154299137_154299452,2.4003,0.0,0.0,5.08067,0.0,0.0,2.67103,3.79821,3.50646,0.0,3.68424,2.94786,0.0,4.113180000000002
chr1_154579303_154579782,2.16726,2.60297,0.0,0.0,0.0,1.84891,0.0,0.0,4.85542,6.56911501650813,4.05239,3.98009,0.0,0.0
chr1_154582047_154582244,1.70002,0.0,0.0,0.0,0.0,0.0,2.8680000000000003,0.0,4.85542,0.0,0.0,0.0,0.0,0.0
chr1_154977099_154977253,2.54658,0.0,0.0,0.0,0.0,0.0,2.68063,0.0,0.0,0.0,0.0,2.3156,0.0,0.0
chr1_155496665_155497012,1.93334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_155944562_155945214,1.64713,0.0,0.0,0.0,0.0,1.78125,1.81739,0.0,0.0,0.0,1.7254,1.81959,0.0,0.0
chr1_155945743_155946196,1.64713,0.0,0.0,0.0,0.0,1.78125,0.0,1.87579,3.26897,0.0,1.7254,1.81959,0.0,2.35847
chr1_156066868_156067143,2.14615,12.30973,0.0,0.0,2.28285,0.0,3.59182,3.9445,0.0,4.31524296192375,4.64686,4.34684,0.0,0.0
chr1_156073854_156074351,2.14589,0.0,0.0,3.75046,0.0,0.0,2.04077,2.96938,2.95686,7.93225973411852,2.8643,2.13186,0.0,0.0
chr1_156095033_156095181,1.5872700000000002,0.0,0.0,2.76042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_156251648_156251762,2.98683,0.0,0.0,2.9514400000000003,0.0,2.63492,2.86398,0.0,5.06557,0.0,0.0,4.1155599999999986,0.0,5.74716
chr1_156468556_156468776,1.91016,2.21746,0.0,6.3085,0.0,1.88116,0.0,0.0,2.21139,0.0,0.0,2.31888,0.0,3.46376
chr1_156629760_156630406,2.93447,9.93289,22.59764,0.0,0.0,3.30902,1.98592,2.46912,4.1490800000000005,123.11976559077,2.44846,2.61389,0.0,0.0
chr1_156645551_156645913,2.4165,0.0,0.0,0.0,0.0,2.65109,2.2322900000000003,2.89446,3.62908,0.0,2.96006,2.9894,0.0,3.67753
chr1_156718467_156719136,1.84549,0.0,0.0,1.98563,0.0,0.0,2.15206,2.1871,0.0,5.722223328697032,2.29737,2.05073,0.0,0.0
chr1_156719450_156719815,1.84549,0.0,0.0,2.5622700000000003,3.22035,0.0,2.15206,2.36907,0.0,4.45065934618879,0.0,2.05073,0.0,0.0
chr1_157106691_157107326,3.59628,0.0,0.0,5.95061,0.0,3.4467800000000004,3.23674,4.20852,0.0,0.0,3.54538,4.1036,0.0,4.88899
chr1_15738146_15738632,2.67761,0.0,0.0,2.91553,0.0,2.58497,2.32287,0.0,0.0,4.892054941181195,0.0,3.40397,0.0,0.0
chr1_15738661_15738986,2.67761,0.0,0.0,0.0,0.0,0.0,2.32287,0.0,0.0,4.58419187514533,0.0,0.0,0.0,0.0
chr1_157938818_157938961,3.21667,0.0,0.0,0.0,0.0,3.52186,3.3756,3.11507,4.9107,16.004594740292,3.67078,4.14727,0.0,0.0
chr1_157964633_157965029,1.78482,2.72653,0.0,0.0,0.0,2.08929,0.0,2.81459,2.5746,7.651102836636139,2.71241,2.88215,0.0,3.46125
chr1_158982200_158982857,2.84256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88301,0.0,0.0
chr1_158994687_158995148,3.00615,0.0,0.0,0.0,3.00414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_159851477_159851987,2.73698,0.0,0.0,0.0,0.0,2.75973,3.93157,3.48049,6.68323,10.7217088142351,3.59852,4.44729,0.0,0.0
chr1_159859603_159860031,2.77398,1.96736,0.0,0.0,0.0,0.0,5.43883,4.16814,7.378139999999998,13.2009006525792,5.94905,6.77729,0.0,0.0
chr1_159880076_159880706,2.48471,0.0,0.0,1.48471,0.0,0.0,2.92879,3.24078,8.27166,4.38397627338741,3.3211699999999995,3.29787,0.0,0.0
chr1_159892447_159892988,2.06201,1.43292,0.0,9.79202,0.0,2.01104,2.11717,3.04148,0.0,4.32680008190134,2.63561,2.63832,0.0,0.0
chr1_16030221_16030623,1.87407,2.39715,0.0,2.2752,0.0,0.0,3.10468,4.01893,6.33539,9.793969681083722,4.12678,5.18656,0.0,3.22236
chr1_16087189_16087372,2.20919,0.0,0.0,3.05771,0.0,0.0,2.59865,3.36277,4.95927,8.26832468078982,3.1603,3.22633,0.0,2.82595
chr1_161359666_161360218,3.5925199999999995,0.0,0.0,4.25629,0.0,0.0,3.47861,7.191089999999999,7.718839999999998,4.791642849200801,7.444369999999998,7.36228,0.0,8.45352
chr1_16176617_16176801,2.17792,1.85912,0.0,3.94645,0.0,2.96289,2.6680200000000003,3.58713,3.63168,12.812957537766199,3.05423,3.58212,0.0,3.42253
chr1_16212759_16213091,2.33905,1.77896,0.0,0.0,0.0,2.98128,2.89981,6.32166,7.1878,9.89575514431253,4.44772,4.89515,0.0,6.87803
chr1_162511455_162511984,2.79388,1.88413,0.0,0.0,0.0,3.12045,3.4661,3.3373,6.43394,3.0793371677147103,3.14639,4.28181,0.0,0.0
chr1_162603017_162603226,2.6290400000000003,2.70225,5.16785,2.53864,0.0,0.0,0.0,3.2247,3.5249,13.3731143414536,2.34535,2.61179,0.0,2.91455
chr1_16277350_16278224,1.80932,0.0,0.0,2.9559599999999997,0.0,0.0,1.88778,0.0,0.0,8.31157873087863,2.36576,0.0,0.0,0.0
chr1_164723371_164723492,2.71717,0.0,0.0,0.0,0.0,0.0,2.64569,3.45028,4.50502,4.24930151406289,0.0,4.1158199999999985,0.0,0.0
chr1_16478939_16479163,1.95664,0.0,0.0,0.0,0.0,0.0,2.10806,2.10843,0.0,0.0,2.17299,0.0,0.0,0.0
chr1_16479299_16479465,1.95664,0.0,0.0,0.0,0.0,0.0,2.10806,2.10843,0.0,0.0,2.17299,2.2011700000000003,0.0,0.0
chr1_16508402_16508642,2.52767,1.79008,0.0,0.0,0.0,0.0,2.9253,4.72128,5.78691,9.21191954105374,4.29639,5.44188,0.0,3.63279
chr1_165797615_165798367,2.30787,2.71982,0.0,6.74119,0.0,0.0,0.0,3.71084,4.3693300000000015,8.275375960464366,3.26558,4.49067,0.0,4.55771
chr1_16677236_16677843,2.63381,0.0,0.0,0.0,0.0,2.36295,0.0,0.0,4.53948,0.0,0.0,3.82735,0.0,0.0
chr1_167954240_167954407,2.80553,0.0,0.0,0.0,3.07517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_168149052_168149361,3.15701,0.0,0.0,1.93278,0.0,2.89469,0.0,6.13291,0.0,3.83896731299917,4.47936,4.67174,0.0,6.7427600000000005
chr1_169860308_169860488,3.32301,0.0,0.0,0.0,0.0,0.0,3.67606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_170633923_170634526,1.98875,2.8187900000000004,6.1289,1.78653,0.0,0.0,0.0,2.47997,2.38824,15.254594282034304,2.33328,2.19445,0.0,3.5923
chr1_170635008_170635144,1.98875,2.8187900000000004,0.0,0.0,2.53431,0.0,0.0,0.0,0.0,0.0,0.0,2.19445,0.0,0.0
chr1_170636506_170636902,1.98875,0.0,0.0,0.0,2.53431,0.0,2.18847,0.0,0.0,3.27573366320363,0.0,0.0,0.0,0.0
chr1_170669976_170670263,2.5821400000000003,0.0,0.0,0.0,0.0,0.0,3.56558,0.0,4.33979,0.0,2.83137,0.0,0.0,0.0
chr1_172291507_172291926,3.01445,2.09206,0.0,0.0,0.0,0.0,2.84789,5.52775,4.22499,5.36419413066338,4.65929,4.30403,0.0,4.37806
chr1_172369341_172369683,3.88164,0.0,0.0,0.0,0.0,0.0,3.32025,4.28779,0.0,0.0,4.19618,0.0,0.0,0.0
chr1_17254357_17254559,2.54073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_172882769_172883147,3.09501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_172900674_172900969,2.98557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_172917653_172917863,2.9477,2.93591,0.0,0.0,0.0,0.0,2.9211400000000003,2.96542,6.57924,11.9243654623584,0.0,3.72424,0.0,0.0
chr1_173164805_173165199,2.3090200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_173379915_173380349,2.72075,0.0,0.0,0.0,3.33714,2.50977,2.62793,0.0,0.0,0.0,3.00473,0.0,0.0,0.0
chr1_173398914_173399297,3.58002,3.3636,10.39084,0.0,0.0,4.50842,3.88349,5.60637,6.30294,25.549371517400772,5.56626,6.0769400000000005,0.0,4.60302
chr1_173447359_173447668,3.28317,1.91902,0.0,4.23246,0.0,2.54074,0.0,3.91844,3.50659,6.9675026197893715,2.93757,2.76701,0.0,4.60691
chr1_173984193_173984403,2.2456400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_17494378_17494745,2.98821,2.2330400000000004,0.0,0.0,0.0,3.12421,2.99362,3.7274,5.51959,17.019994590655802,4.08094,4.89949,0.0,3.19641
chr1_1772108_1772256,1.7014599999999998,0.0,0.0,0.0,0.0,1.88022,2.27528,0.0,2.3353900000000003,0.0,0.0,0.0,0.0,0.0
chr1_178121154_178121309,2.62951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79666,0.0,0.0,0.0,0.0,0.0
chr1_179290775_179290979,2.70626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1793829_1793862,1.84958,0.0,0.0,0.0,2.49789,0.0,0.0,0.0,2.3713,0.0,0.0,0.0,0.0,0.0
chr1_181060502_181060611,2.36835,0.0,0.0,4.632630000000002,0.0,2.07913,0.0,0.0,0.0,0.0,0.0,2.1365,0.0,0.0
chr1_181104473_181105818,3.88632,1.42887,2.2637400000000003,1.767,0.0,3.17982,3.20119,3.67255,4.30897,3.0148694357027,4.048019999999998,3.70896,0.0,0.0
chr1_181110732_181111003,2.45713,7.59059,0.0,1.58575,0.0,0.0,2.79682,4.08682,5.79619,5.02959652484986,3.4860300000000004,4.3941300000000005,0.0,0.0
chr1_1814762_1815124,1.80939,0.0,0.0,0.0,0.0,1.89135,2.74055,0.0,2.7643,0.0,0.0,0.0,0.0,0.0
chr1_182998797_182999044,2.1493900000000004,0.0,0.0,0.0,2.62909,1.98227,2.94831,0.0,3.69595,5.13917588733318,0.0,2.48667,0.0,0.0
chr1_183776671_183777014,2.6924,0.0,0.0,0.0,0.0,2.65145,3.07317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_184005350_184005919,3.33094,2.16151,0.0,0.0,0.0,0.0,3.45584,4.31489,3.13084,3.82252445283384,0.0,4.90129,3.22284,6.27994
chr1_184475712_184475981,2.5849900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_184924828_184925180,3.08468,0.0,0.0,0.0,3.28487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_185250433_185250655,2.92731,0.0,0.0,0.0,3.43371,0.0,2.8292,0.0,2.99685,0.0,0.0,0.0,0.0,0.0
chr1_185344563_185345243,2.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_185346055_185346679,2.95744,0.0,0.0,0.0,0.0,0.0,3.2143,0.0,9.17298,0.0,3.75076,3.5349,0.0,0.0
chr1_19274997_19275345,1.74013,0.0,0.0,0.0,0.0,0.0,2.00611,0.0,2.96926,4.16474283625791,0.0,0.0,0.0,0.0
chr1_19276270_19276542,1.74013,2.1007,0.0,1.85326,0.0,0.0,2.00611,3.48536,2.96926,5.6165592621716165,3.41059,2.658,0.0,3.15364
chr1_19280139_19280583,2.04463,0.0,0.0,0.0,2.88581,0.0,2.157,0.0,0.0,4.396811568956951,0.0,0.0,0.0,0.0
chr1_19762527_19762798,1.7552,0.0,0.0,0.0,2.65025,1.58907,0.0,0.0,3.71968,10.243468948501699,0.0,0.0,0.0,0.0
chr1_197747792_197747875,4.48016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_19778785_19779174,1.82845,0.0,0.0,0.0,0.0,0.0,1.77055,0.0,2.18698,0.0,0.0,0.0,0.0,0.0
chr1_19794978_19795283,1.68218,0.0,0.0,0.0,0.0,0.0,2.23587,0.0,0.0,3.8635632960580097,3.13009,3.10097,0.0,0.0
chr1_19803336_19803680,1.56077,0.0,0.0,0.0,0.0,1.85899,2.31855,0.0,7.73866,14.3154247669276,0.0,2.63789,0.0,0.0
chr1_19803913_19804113,1.56077,0.0,0.0,0.0,0.0,0.0,2.31855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_198090244_198090551,3.51506,3.28614,0.0,2.17044,0.0,0.0,3.43767,0.0,4.87721,4.356220260574885,2.14379,2.72981,0.0,0.0
chr1_198128112_198128944,2.73707,2.38678,0.0,3.57066,0.0,0.0,0.0,3.58455,4.20482,10.4451266181557,2.89311,3.30016,0.0,3.61677
chr1_198136529_198137056,1.91332,0.0,0.0,0.0,0.0,2.07758,2.49812,0.0,5.5277,3.46974884521269,0.0,0.0,0.0,0.0
chr1_198898987_198899513,3.53886,0.0,0.0,0.0,0.0,2.91869,2.65835,0.0,2.75353,0.0,0.0,0.0,0.0,0.0
chr1_198901469_198901869,2.45827,0.0,0.0,0.0,0.0,2.36829,0.0,0.0,3.21968,0.0,0.0,2.6570400000000003,0.0,0.0
chr1_198903935_198904934,2.64299,3.14778,0.0,3.75267,3.32228,3.34996,0.0,4.25096,4.94064,9.349455287758198,2.82249,2.6570400000000003,0.0,3.1356900000000003
chr1_19926811_19926972,2.25712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_201515368_201515617,2.1480200000000003,0.0,8.21115,0.0,0.0,2.57381,2.50917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_201520953_201521395,2.0821,2.50942,0.0,2.027,0.0,0.0,2.38098,2.68269,5.33139,8.58298463563435,2.8304,0.0,0.0,0.0
chr1_201524172_201524339,2.0821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_201540345_201540578,1.97121,0.0,0.0,0.0,0.0,0.0,2.6382,4.05881,0.0,3.2883763183935297,3.42506,4.11284,0.0,0.0
chr1_201639932_201640262,1.9074,0.0,0.0,0.0,0.0,1.94966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_201739210_201739573,2.82354,0.0,0.0,0.0,0.0,0.0,3.05515,3.5697400000000004,4.6543800000000015,0.0,3.2511400000000004,3.58847,0.0,0.0
chr1_201883288_201883655,1.97568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_201904072_201904465,2.27935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_203296328_203297068,2.97517,4.20281,7.22717,0.0,0.0,0.0,2.66739,3.66045,5.19799,5.0679391283639434,3.2966,5.23651,0.0,7.816789999999999
chr1_203481982_203482534,2.12094,3.38992,0.0,2.62194,0.0,0.0,2.6518,3.09401,6.41173,22.8829762938248,3.56505,3.6180000000000003,0.0,0.0
chr1_203491011_203491485,2.96763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96027,5.264034424685152,0.0,0.0,0.0,0.0
chr1_203598711_203598999,1.8801,3.98681,0.0,3.58169,0.0,2.069,2.5725,2.48103,0.0,12.339953964085801,2.40108,2.66065,0.0,2.86126
chr1_203599092_203599518,1.8801,3.98681,0.0,3.58169,0.0,2.069,2.5725,2.48103,0.0,12.339953964085801,2.40108,2.66065,0.0,2.86126
chr1_203617500_203617713,1.63028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_203619380_203619832,1.70284,5.14414,0.0,0.0,0.0,2.02418,3.08154,3.06136,4.13815,3.61375412489046,2.65705,4.61188,0.0,0.0
