name,H3k27ac_E,Ctcf_E,H3k4me2_E,DNaseI_E,H3k4me3_E,H3k79me2_E,H3k9ac_E,H3k36me3_E,H4k20me1_E,H3k27me3_E,H3k4me1_E,H3k27me3_P,Ctcf_P,H3k27ac_P,H3k79me2_P,H3k36me3_P,H3k9ac_P,H3k4me1_P,H4k20me1_P,H3k4me2_P,H3k4me3_P,DNaseI_P,corr,distance,css,label
chr1_1295535_1296332-chr1_713150_714250,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2072,0.0,11.991191,9.763957000000001,7.560207000000001,0.0,15.825839000000002,11.012437,0.0,9.714947,13.293557999999999,212.0,0.2637362637362637,581285,0.0,1
chr1_2509702_2510198-chr1_745441_746541,9.673910000000001,17.247445000000006,7.091900999999999,65.0,3.351515,0.0,10.538749000000001,0.0,0.0,0.0,10.539568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.2802197802197801,1763161,0.0,1
chr1_2501788_2502413-chr1_943509_944609,0,0,0,0,0,0,0,0,0,0,0,2.3172349999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1557179,0.0,1
chr1_1136075_1136463-chr1_28554_29654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20329670329670335,1106421,0.0,1
chr1_3229711_3230157-chr1_1624067_1625167,11.976280000000001,0.0,4.488236,129.0,0.0,0.0,5.117543,0.0,0.0,0.0,5.146609,0.0,0.0,12.635709,0.0,0.0,18.470545,0.0,0.0,9.264299,10.108798,112.33333333333331,-0.5329670329670331,1604544,0.0,1
chr1_2172142_2172385-chr1_332136_333236,4.6817150000000005,2.2124040000000003,0.0,0.0,0.0,19.443424,0.0,2.420665,2.764168,0.0,4.52117,0,0,0,0,0,0,0,0,0,0,0,0.5659340659340659,1838906,0.0,1
chr1_1714020_1714715-chr1_29706_30806,7.10977,2.013776,7.953164,38.333333333333336,7.4596,16.996735,5.200075,3.613637,3.6210839999999997,0.0,6.307373999999999,0,0,0,0,0,0,0,0,0,0,0,0.23076923076923073,1683214,0.0,1
chr1_2230678_2230895-chr1_1209603_1210703,12.347356,2.0324150000000003,0.0,24.0,0.0,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,0.0,0.0,15.786864000000001,10.354766,2.959582,24.918944,5.3868184999999995,1.7459209999999998,11.698472,20.3889,27.0,0.27472527472527475,1019975,0.0,1
chr1_2221868_2222548-chr1_450810_451910,17.999736,8.445765,8.555139,119.5,9.515644,19.443424,9.846811,2.423616,2.764168,0.0,8.478064,0,0,0,0,0,0,0,0,0,0,0,-0.01098901098901095,1769958,0.0,1
chr1_1060905_1061095-chr1_2486078_2487178,0,0,0,0,0,0,0,0,0,0,0,0.0,26.112831,8.618652,2.659418,0.0,9.020164999999999,8.888785,0.0,7.7602,4.978242,46.33333333333334,-0.06593406593406592,1424983,0.0,1
chr1_1143531_1144198-chr1_1654951_1656051,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2.5251930000000002,0.0,0.0,0.0,0.0,13.755533999999999,10.413135,6.233462,0.0,22.538257,0.0,0.0,10.410397,18.3321195,271.0,-0.24725274725274726,510753,0.0,1
chr1_1772108_1772256-chr1_2486078_2487178,0.0,0.0,0.0,0.0,0.0,16.996735,0.0,3.613637,7.723891,0.0,0.0,0.0,26.112831,8.618652,2.659418,0.0,9.020164999999999,8.888785,0.0,7.7602,4.978242,46.33333333333334,0.20329670329670335,713822,0.0,1
chr1_1063914_1064111-chr1_91005_92105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9835164835164835,971809,0.0,1
chr1_2772559_2772713-chr1_1354625_1355725,0,0,0,0,0,0,0,0,0,0,0,0.0,12.773889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.6373626373626373,1416834,0.48,1
chr1_1136075_1136463-chr1_1369853_1370953,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.528388499999998,0.0,5.431611,5.093225,32.5,-0.20879120879120872,233390,0.46,1
chr1_3817648_3818071-chr1_2115728_2116828,22.163969,13.576114000000002,13.602387,214.0,22.483592,11.354719000000001,26.107247,2.358574,1.550629,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.10989010989010994,1700820,1.45,1
chr1_1840449_1840835-chr1_3569225_3570325,9.08579,21.857543,13.46124,152.0,8.044628,0.0,9.38278,0.0,0.0,0.0,0.0,9.069137,0.0,0.0,0.0,2.608632,0.0,0.0,0.0,0.0,0.0,0.0,-0.08791208791208782,1728390,0.02,1
chr1_1840449_1840835-chr1_752992_754092,9.08579,21.857543,13.46124,152.0,8.044628,0.0,9.38278,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.4835164835164836,1086357,0.0,1
chr1_2230678_2230895-chr1_894589_895689,12.347356,2.0324150000000003,0.0,24.0,0.0,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,0.0,0.0,10.250465,8.944195,2.402607,20.519946,0.0,0.0,10.0738965,15.577739999999999,55.0,0.18131868131868134,1334989,0.02,1
chr1_1136075_1136463-chr1_700205_701305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20329670329670335,434770,0.0,1
chr1_1060905_1061095-chr1_522009_523109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34065934065934067,537796,0.0,1
chr1_2177615_2177829-chr1_762802_763902,11.081985000000001,0.0,13.03969,0.0,7.013793,19.443424,9.146594,2.420665,2.764168,0.0,5.078678999999998,0.0,10.119233,14.047935,0.0,0.0,24.178037,0.0,0.0,0.0,13.398232,86.0,0.3131868131868132,1413713,0.0,1
chr1_1063914_1064111-chr1_659830_660930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7527472527472527,402984,0.0,1
chr1_1136075_1136463-chr1_807672_808772,0,0,0,0,0,0,0,0,0,0,0,3.241933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1648351648351648,327303,0.0,1
chr1_2509702_2510198-chr1_900877_901977,9.673910000000001,17.247445000000006,7.091900999999999,65.0,3.351515,0.0,10.538749000000001,0.0,0.0,0.0,10.539568,0.0,0.0,10.817896000000001,0.0,2.402607,10.392486,6.249272,0.0,8.358661999999999,15.00354,55.0,0.8241758241758241,1607725,0.02,1
chr1_2478276_2478817-chr1_1141971_1143071,8.079839,12.256718,6.787425999999999,160.0,7.8244940000000005,3.1753,14.926932999999998,0.0,0.0,0.0,7.672366999999999,7.292947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-0.04395604395604402,1335205,0.48,1
chr1_2171824_2171946-chr1_948473_949573,4.6817150000000005,2.2124040000000003,0.0,0.0,0.0,19.443424,0.0,2.420665,2.764168,0.0,4.52117,0.0,0.0,14.968734,5.452582,0.0,22.657714000000002,8.450752999999999,0.0,13.024629,17.135617,86.0,-0.39560439560439553,1222251,0.48,1
chr1_2221868_2222548-chr1_2563007_2564107,17.999736,8.445765,8.555139,119.5,9.515644,19.443424,9.846811,2.423616,2.764168,0.0,8.478064,2.202734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2142857142857142,340459,1.91,1
chr1_918449_918555-chr1_1845266_1846366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3172349999999997,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,926711,0.02,1
chr1_2501788_2502413-chr1_3630762_3631862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9175824175824175,1128349,0.02,1
chr1_1368471_1368786-chr1_2461584_2462684,0,0,0,0,0,0,0,0,0,0,0,7.19445,0.0,0.0,0.0,2.6318490000000003,0.0,3.252081,0.0,0.0,0.0,31.0,0.8076923076923077,1092798,0.48,1
chr1_1772108_1772256-chr1_564020_565120,0.0,0.0,0.0,0.0,0.0,16.996735,0.0,3.613637,7.723891,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.25274725274725274,1206988,0.0,1
chr1_3290271_3290590-chr1_2984901_2986001,0,0,0,0,0,0,0,0,0,0,0,9.317907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.2582417582417582,304270,0.02,1
chr1_1005293_1005547-chr1_762802_763902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.134783,0.0,10.119233,14.047935,0.0,0.0,24.178037,0.0,0.0,0.0,13.398232,86.0,-0.1923076923076923,241391,0.0,1
chr1_2232428_2232896-chr1_2284159_2285259,12.347356,2.0324150000000003,8.041907,114.0,8.5008225,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,0,0,0,0,0,0,0,0,0,0,0,0.14835164835164838,51263,0.48,1
chr1_956563_956812-chr1_1343476_1344576,0.0,0.0,9.550403,74.0,9.637508,0.0,9.514723,0.0,0.0,0.0,10.435428,0.0,12.476536999999999,9.921762,9.943745,3.38975,24.203705,9.62055,0.0,9.975552,23.092319,0.0,0.11538461538461542,386664,0.0,1
chr1_941791_942135-chr1_565454_566554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3172349999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,0.41208791208791207,375237,0.0,1
chr1_1136667_1137146-chr1_2457939_2459039,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.815966,16.199271,2.6318490000000003,19.805608,10.669856500000002,0.0,4.398471,19.022627,110.0,0.1923076923076923,1320793,0.02,1
chr1_2140151_2140337-chr1_621953_623053,8.994553,0.0,4.002841,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.960051,0,0,0,0,0,0,0,0,0,0,0,0.3516483516483516,1517098,0.0,1
chr1_1136667_1137146-chr1_1051641_1052741,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180417,0.0,0.0,9.367777,0.0,0.0,10.833464999999999,13.442257999999999,203.0,0.1923076923076923,83926,0.0,1
chr1_1173386_1173736-chr1_1186614_1187714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5251930000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.959582,0.0,3.231933,1.7459209999999998,0.0,0.0,0.0,0.6098901098901099,12878,0.0,1
chr1_2059932_2059994-chr1_2076618_2077718,0.0,3.4764739999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4764739999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945054945054945,16624,3.74,1
chr1_3463934_3464260-chr1_2294967_2296067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9120879120879121,1167867,0.48,1
chr1_2177615_2177829-chr1_1406143_1407243,11.081985000000001,0.0,13.03969,0.0,7.013793,19.443424,9.146594,2.420665,2.764168,0.0,5.078678999999998,0.0,5.007924,6.789086999999999,7.1883339999999984,0.0,12.352769,10.834506,0.0,20.17432,19.527251,114.66666666666669,0.3131868131868132,770372,0.02,1
chr1_2230678_2230895-chr1_2731463_2732563,12.347356,2.0324150000000003,0.0,24.0,0.0,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,500568,0.0,1
chr1_2505035_2505361-chr1_2322267_2323367,0.0,0.0,3.051437,0.0,0.0,0.0,0.0,0.0,0.0,4.1806470000000004,0.0,0.0,0.0,13.091972,8.240642,3.311289,27.44020900000001,11.141153,1.650927,12.810428,20.72053,224.5,0.06593406593406592,181668,0.02,1
chr1_1136667_1137146-chr1_948473_949573,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.968734,5.452582,0.0,22.657714000000002,8.450752999999999,0.0,13.024629,17.135617,86.0,-0.07692307692307687,187094,0.02,1
chr1_1840449_1840835-chr1_2115728_2116828,9.08579,21.857543,13.46124,152.0,8.044628,0.0,9.38278,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.2197802197802199,274893,0.02,1
chr1_1978731_1978937-chr1_1149418_1150518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.686528,0.0,0.0,0.0,1.813305,0.0,2.5251930000000002,0.0,6.754872,0.0,0.0,0.0,0.0,0.43956043956043955,828213,0.48,1
chr1_1136075_1136463-chr1_751751_752851,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.017374,0.0,11.774894999999999,0.0,0.0,0.6043956043956045,383224,0.0,1
chr1_1295535_1296332-chr1_745441_746541,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.10989010989010994,548994,0.0,1
chr1_2172142_2172385-chr1_2516930_2518030,4.6817150000000005,2.2124040000000003,0.0,0.0,0.0,19.443424,0.0,2.420665,2.764168,0.0,4.52117,0.0,0.0,14.3171585,6.6089660000000015,0.0,13.867532,8.441081,0.0,10.932989,8.069510000000001,157.66666666666666,-0.3076923076923077,344545,0.02,1
chr1_3421438_3421558-chr1_3569225_3570325,17.900466,0.0,6.064736,44.0,0.0,0.0,15.601401000000001,0.0,0.0,0.0,8.935711999999997,9.069137,0.0,0.0,0.0,2.608632,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307687,147667,2.95,1
chr1_1952050_1952360-chr1_567915_569015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.052112333333335,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.08241758241758235,1383035,0.0,1
chr1_2082729_2083012-chr1_1342593_1343693,0,0,0,0,0,0,0,0,0,0,0,0.0,13.107781999999998,9.921762,9.943745,3.38975,24.203705,9.62055,0.0,9.975552,23.092319,119.0,0.038461538461538436,739036,0.02,1
chr1_858256_858648-chr1_1549795_1550895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4073585,0.0,0.0,0.0,31.90977800000001,6.85182,0.0,28.213198,11.8465705,3.283861,11.897153999999999,17.698294,358.0,-0.07692307692307687,691147,0.02,1
chr1_1136075_1136463-chr1_3050173_3051273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5384615384615384,1913710,0.48,1
chr1_1093610_1093958-chr1_1265694_1266794,13.423648000000002,9.757832,13.638924,87.0,11.76639,0.0,18.670209,0.0,0.0,0.0,6.208074,0.0,0.0,0.0,4.672343,2.217135,0.0,0.0,3.4393910000000005,0.0,0.0,0.0,-0.37362637362637363,171736,2.31,1
chr1_1978731_1978937-chr1_68091_69191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.686528,0.0,0,0,0,0,0,0,0,0,0,0,0,0.17032967032967028,1909540,0.0,1
chr1_3581269_3581645-chr1_1845266_1846366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9945054945054945,1734903,0.02,1
chr1_2478276_2478817-chr1_1980909_1982009,8.079839,12.256718,6.787425999999999,160.0,7.8244940000000005,3.1753,14.926932999999998,0.0,0.0,0.0,7.672366999999999,7.686528,11.006979,0.0,0.0,0.0,0.0,0.0,0.0,12.222961999999999,12.885494,0.0,0.10989010989010994,496267,1.91,1
chr1_918449_918555-chr1_140239_141339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3172349999999997,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,777110,0.0,1
chr1_2232428_2232896-chr1_2315811_2316911,12.347356,2.0324150000000003,8.041907,114.0,8.5008225,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,0.0,0.0,0.0,0.0,3.311289,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604391,82915,0.48,1
chr1_2230678_2230895-chr1_1103737_1104837,12.347356,2.0324150000000003,0.0,24.0,0.0,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31868131868131866,1125841,0.0,1
chr1_3086923_3087330-chr1_3568084_3569184,0,0,0,0,0,0,0,0,0,0,0,9.069137,0.0,0.0,0.0,2.608632,0.0,0.0,0.0,0.0,0.0,20.0,0.02197802197802201,480754,1.1,1
chr1_3231556_3231634-chr1_2425818_2426918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.070369,5.146609,0,0,0,0,0,0,0,0,0,0,0,0.4945054945054945,804638,1.58,1
chr1_1173386_1173736-chr1_1590373_1591473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5251930000000002,0.0,0.0,0.0,0.0,17.336752666666666,21.5981905,0.0,0.0,32.033013000000004,0.0,0.0,3.7158010000000004,12.9879675,258.0,0.005494505494505475,416637,1.83,1
chr1_3594206_3594277-chr1_2563007_2564107,0,0,0,0,0,0,0,0,0,0,0,2.202734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065934065934066,1030099,0.0,1
chr1_2059932_2059994-chr1_1845266_1846366,0.0,3.4764739999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,213566,0.02,1
chr1_2574343_2574764-chr1_1342593_1343693,14.822606,9.712864999999999,12.512499,182.0,14.300405,0.0,27.517390000000002,0.0,0.0,0.0,4.167301999999999,0.0,13.107781999999998,9.921762,9.943745,3.38975,24.203705,9.62055,0.0,9.975552,23.092319,119.0,-0.43956043956043955,1230650,2.31,1
chr1_3817648_3818071-chr1_1822395_1823495,22.163969,13.576114000000002,13.602387,214.0,22.483592,11.354719000000001,26.107247,2.358574,1.550629,0.0,0.0,0.0,0.0,11.262744999999999,16.996735,3.613637,23.193985,11.225659,3.6210839999999997,10.314121,22.141661,144.33333333333334,0.1208791208791209,1994153,1.45,1
chr1_858256_858648-chr1_2323046_2324146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4073585,0.0,0.0,0.0,13.091972,8.240642,3.311289,27.44020900000001,8.709328,1.650927,23.266514,20.72053,146.66666666666666,-0.07692307692307687,1464398,0.02,1
chr1_3421438_3421558-chr1_1589786_1590886,17.900466,0.0,6.064736,44.0,0.0,0.0,15.601401000000001,0.0,0.0,0.0,8.935711999999997,0.0,10.574139,30.804252,0.0,0.0,44.529469,0.0,0.0,4.364318,13.525449333333333,144.5,-0.05494505494505497,1830552,0.0,1
chr1_3463934_3464260-chr1_2488370_2489470,0,0,0,0,0,0,0,0,0,0,0,0.0,10.213805,8.618652,2.659418,0.0,9.020164999999999,8.888785,0.0,7.7602,15.239985999999998,0.0,-0.2912087912087913,974464,0.48,1
chr1_2501788_2502413-chr1_1514136_1515236,0,0,0,0,0,0,0,0,0,0,0,3.547933,0.0,0.0,0.0,0.0,0.0,0.0,2.15271,0.0,0.0,0.0,0.9945054945054945,986552,0.0,1
chr1_3594206_3594277-chr1_1980909_1982009,0,0,0,0,0,0,0,0,0,0,0,7.686528,11.006979,0.0,0.0,0.0,0.0,0.0,0.0,12.222961999999999,12.885494,0.0,0.06043956043956045,1612197,0.0,1
chr1_858256_858648-chr1_469971_471071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4073585,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,387185,0.0,1
chr1_2171824_2171946-chr1_943509_944609,4.6817150000000005,2.2124040000000003,0.0,0.0,0.0,19.443424,0.0,2.420665,2.764168,0.0,4.52117,2.3172349999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2417582417582418,1227215,0.0,1
chr1_858256_858648-chr1_563442_564542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4073585,0.0,0,0,0,0,0,0,0,0,0,0,0,0.6098901098901099,293714,0.0,1
chr1_1060905_1061095-chr1_2461584_2462684,0,0,0,0,0,0,0,0,0,0,0,7.19445,0.0,0.0,0.0,2.6318490000000003,0.0,3.252081,0.0,0.0,0.0,31.0,0.5384615384615384,1400489,0.48,1
chr1_2478276_2478817-chr1_532778_533878,8.079839,12.256718,6.787425999999999,160.0,7.8244940000000005,3.1753,14.926932999999998,0.0,0.0,0.0,7.672366999999999,0,0,0,0,0,0,0,0,0,0,0,-0.06593406593406592,1944398,0.0,1
chr1_3086923_3087330-chr1_1549795_1550895,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.90977800000001,6.85182,0.0,28.213198,11.8465705,3.283861,11.897153999999999,17.698294,358.0,-0.18131868131868134,1536028,1.56,1
chr1_3594206_3594277-chr1_2145520_2146620,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,0.0,45.0,0.7087912087912087,1447586,0.0,1
