name_P,H3k27me3_P,Ctcf_P,H3k27ac_P,H3k79me2_P,H3k36me3_P,H3k9ac_P,H3k4me1_P,H4k20me1_P,H3k4me2_P,H3k4me3_P,DNaseI_P
chr1_2718186_2719286,0.0,11.318253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
chr1_3527959_3529059,0.0,6.0945269999999985,0.0,0.0,0.0,4.2336290000000005,8.659928,0.0,6.414105,11.423904499999999,65.66666666666667
chr1_3540566_3541666,0.0,6.947437,9.292475999999999,3.1439470000000003,2.608632,18.074638,7.521272,0.0,9.982678,14.250978,186.5
chr1_3541207_3542307,0.0,6.947437,8.989782666666667,5.234789,2.608632,16.345314000000002,8.537703,0.0,9.982678,14.250978,199.5
chr1_567137_568237,0.0,15.198039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
chr1_568756_569856,0.0,14.323423000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9279.0
chr1_713150_714250,0.0,11.991191,9.763957,7.560207000000001,0.0,15.825839000000002,11.012437,0.0,9.714947,13.293558,212.0
chr1_713906_715006,0.0,11.991191,9.763957,0.0,0.0,24.331613,0.0,0.0,10.17465,13.293558,212.0
chr1_761988_763088,0.0,10.119233,14.047935,7.169791,0.0,24.178037,0.0,0.0,14.312862,13.398232,56.0
chr1_762802_763902,0.0,10.119233,14.047935,0.0,0.0,24.178037,0.0,0.0,0.0,13.398232,86.0
chr1_954503_955603,0.0,21.343713,3.1430000000000002,0.0,0.0,14.198037500000002,0.0,0.0,0.0,12.21695,95.33333333333331
chr1_998568_999668,0.0,44.92690800000001,8.737654,0.0,0.0,14.884996,6.8338350000000005,0.0,11.5856415,4.506337,124.33333333333331
chr1_1051641_1052741,0.0,0.0,3.180417,0.0,0.0,9.367777,0.0,0.0,10.833465,13.442258,203.0
chr1_1149418_1150518,0.0,0.0,1.813305,0.0,2.525193,0.0,6.754872,0.0,0.0,0.0,0.0
chr1_1167311_1168411,0.0,0.0,13.106978,9.514376,2.525193,40.498191,0.0,0.0,13.250689,33.419962500000004,237.0
chr1_1209165_1210265,0.0,0.0,15.786864,10.354766,2.959582,24.918944,5.3868185,1.7459209999999998,11.698472,20.3889,101.0
chr1_1209603_1210703,0.0,0.0,15.786864,10.354766,2.959582,24.918944,5.3868185,1.7459209999999998,11.698472,20.3889,27.0
chr1_1242947_1244047,0.0,0.0,10.5331235,4.672343,2.217135,12.560297,9.270968000000002,0.0,9.972016,13.907986,148.0
chr1_1259136_1260236,0.0,0.0,8.293345,4.672343,2.217135,16.283860999999998,8.3887085,0.0,7.028255499999999,13.70577,131.0
chr1_1259971_1261071,0.0,0.0,8.293345,4.672343,2.217135,16.283860999999998,6.743864,0.0,9.40805,13.70577,98.33333333333331
chr1_1341032_1342132,0.0,0.0,9.921762,9.943745,7.670247,24.203705,8.389915,2.062367,9.975552,23.092319,27.0
chr1_1446531_1447631,0.0,0.0,18.964918,4.951414,2.466664,28.857769,9.689631,0.0,24.937874,15.745107999999998,199.0
chr1_1475733_1476833,0.0,0.0,9.98977,5.6656580000000005,2.466664,12.180708333333332,6.42335,0.0,11.0551655,12.9998985,195.0
chr1_1510149_1511249,0.0,0.0,28.637201,15.228657,2.466664,48.749852,11.232143,2.15271,15.907195000000002,37.791971,115.5
chr1_1549795_1550895,0.0,0.0,31.909778000000006,6.85182,0.0,28.213198,11.8465705,3.283861,11.897154,17.698294,358.0
chr1_1551075_1552175,0.0,0.0,31.909778000000006,5.900068,0.0,28.213198,8.900195,1.955169,11.897154,17.698294,150.0
chr1_1624067_1625167,0.0,0.0,12.635709,0.0,0.0,18.470545,0.0,0.0,9.264299000000001,10.108798,112.33333333333331
chr1_1677331_1678431,0.0,0.0,16.029298999999998,0.0,3.613637,11.551251,0.0,0.0,0.0,11.542218,91.33333333333331
chr1_1821910_1823010,0.0,0.0,11.262745,16.996735,3.613637,23.193985,0.0,3.621084,10.314121,22.141661,104.75
chr1_1822395_1823495,0.0,0.0,11.262745,16.996735,3.613637,23.193985,11.225659,3.621084,10.314121,22.141661,144.33333333333334
chr1_2145520_2146620,0.0,0.0,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,0.0,45.0
chr1_2322267_2323367,0.0,0.0,13.091972,8.240642,3.311289,27.440209000000007,11.141153,1.650927,12.810428,20.72053,224.5
chr1_2323046_2324146,0.0,0.0,13.091972,8.240642,3.311289,27.440209000000007,8.709328,1.650927,23.266514,20.72053,146.66666666666666
chr1_2457939_2459039,0.0,0.0,7.815966,16.199271,2.6318490000000003,19.805608,10.669856500000002,0.0,4.398471,19.022627,110.0
chr1_2476904_2478004,0.0,0.0,8.079839,0.0,0.0,15.045511,7.672366999999999,0.0,6.787425999999999,7.824494,210.0
chr1_2511999_2513099,0.0,0.0,9.67391,0.0,0.0,10.831492,9.931911,0.0,9.362772999999999,5.348281500000001,46.0
chr1_2516930_2518030,0.0,0.0,14.3171585,6.6089660000000015,0.0,13.867532,8.441081,0.0,10.932989,8.069510000000001,157.66666666666666
chr1_894589_895689,0.0,0.0,10.250465,8.944195,2.402607,20.519946,0.0,0.0,10.0738965,15.57774,55.0
chr1_900877_901977,0.0,0.0,10.817896,0.0,2.402607,10.392486,6.249272,0.0,8.358661999999999,15.00354,55.0
chr1_947803_948903,0.0,0.0,14.968734,0.0,0.0,22.657714,9.129395666666666,0.0,13.024629,17.135617,86.0
chr1_948473_949573,0.0,0.0,14.968734,5.452582,0.0,22.657714,8.450752999999999,0.0,13.024629,17.135617,86.0
chr1_1244889_1245989,0.0,0.0,0.0,4.672343,2.217135,12.560297,8.635183999999999,0.0,9.972016,13.907986,0.0
chr1_1253969_1255069,0.0,0.0,0.0,4.672343,2.217135,0.0,3.152134,4.623942,0.0,0.0,0.0
chr1_1265694_1266794,0.0,0.0,0.0,4.672343,2.217135,0.0,0.0,3.4393910000000005,0.0,0.0,0.0
chr1_1499804_1500904,0.0,0.0,0.0,15.228657,2.466664,0.0,0.0,5.4472749999999985,0.0,0.0,0.0
chr1_894967_896067,0.0,0.0,0.0,8.944195,2.402607,9.460166,0.0,0.0,10.0738965,15.57774,55.75
chr1_1186614_1187714,0.0,0.0,0.0,0.0,2.959582,0.0,3.231933,1.7459209999999998,0.0,0.0,0.0
chr1_1313046_1314146,0.0,0.0,0.0,0.0,3.38975,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2315811_2316911,0.0,0.0,0.0,0.0,3.311289,0.0,0.0,0.0,0.0,0.0,0.0
chr1_989413_990513,0.0,0.0,0.0,0.0,2.117953,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1850612_1851712,0.0,0.0,0.0,0.0,0.0,4.771671,9.018046,0.0,5.383693,7.676664,335.0
chr1_1214816_1215916,0.0,0.0,0.0,0.0,0.0,0.0,3.231933,0.0,0.0,0.0,0.0
chr1_1357049_1358149,0.0,0.0,0.0,0.0,0.0,0.0,6.946306,0.0,0.0,0.0,21.0
chr1_1369241_1370341,0.0,0.0,0.0,0.0,0.0,0.0,7.419296000000001,0.0,5.431611,0.0,38.66666666666666
chr1_1369853_1370953,0.0,0.0,0.0,0.0,0.0,0.0,7.528388499999999,0.0,5.431611,5.093225,32.5
chr1_751751_752851,0.0,0.0,0.0,0.0,0.0,0.0,12.017374,0.0,11.774895,0.0,0.0
chr1_2496849_2497949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
chr1_565454_566554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5
chr1_745441_746541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
