name_E,H3k27ac_E,H4k20me1_E,H3k9ac_E,H3k27me3_E,H3k4me2_E,H3k36me3_E,H3k4me1_E,H3k79me2_E,Ctcf_E,DNaseI_E,H3k4me3_E
chr10_4855217_4855416,10.792751,0.0,0.0,0.0,0.0,0.0,8.461745,0.0,0.0,30.0,0.0
chr10_4891874_4892173,8.276172,0.0,0.0,0.0,7.118844,2.256818,8.142203,0.0,124.667864,71.0,0.0
chr10_5333644_5334212,22.528589,0.0,7.710965,0.0,9.491598,0.0,10.164786,0.0,0.0,35.0,0.0
chr10_5334474_5334640,22.528589,0.0,7.710965,0.0,0.0,0.0,10.164786,0.0,0.0,0.0,0.0
chr10_5336164_5336286,9.866728,0.0,6.110991,0.0,4.620625,0.0,10.927754,0.0,36.707039,11.0,0.0
chr10_5359534_5359986,3.269206,0.0,0.0,2.239837,0.0,0.0,5.03145,0.0,0.0,9.0,0.0
chr10_5587810_5588190,28.603385,0.0,9.0841895,0.0,10.620287,0.0,21.633257,0.0,0.0,77.0,0.0
chr10_5588881_5589169,28.603385,0.0,9.0841895,0.0,10.620287,0.0,21.633257,0.0,0.0,30.0,0.0
chr10_5590010_5590295,28.603385,0.0,9.0841895,0.0,10.620287,0.0,21.633257,0.0,4.036126,13.0,9.064827
chr10_5590959_5591270,28.603385,0.0,9.0841895,0.0,10.620287,0.0,21.633257,0.0,4.036126,102.0,7.610989
chr10_5596279_5596669,10.009211,0.0,6.9865185,0.0,7.33543,0.0,12.260222,0.0,0.0,40.0,8.501304
chr10_5638863_5639270,13.253294,0.0,0.0,0.0,9.27867,0.0,15.385235,0.0,0.0,13.0,0.0
chr10_5888274_5888577,9.27327,0.0,9.4958465,0.0,10.421314,0.0,9.153441,0.0,0.0,58.0,10.865303
chr10_699938_700531,12.109724,2.185849,11.106324,0.0,13.686853,0.0,7.048324,0.0,0.0,29.0,9.179872
chr10_830904_831008,4.325376,0.0,18.066933,0.0,12.952535,0.0,3.010765,0.0,14.402392,102.0,8.496564
chr10_990446_990769,12.436959,0.0,14.54332,0.0,17.677263,0.0,9.886677,0.0,0.0,90.0,10.879432
chr1_100104444_100104686,12.800949,0.0,11.748362,0.0,9.706432,0.0,7.274966,5.961008,0.0,47.0,4.774844
chr1_100113534_100114036,27.967462,0.0,47.346393,0.0,17.072503,5.39323,7.274966,5.961008,33.362877,84.0,54.952429
chr1_100138206_100138591,6.140054,2.075599,1.817613,0.0,4.121703,5.39323,7.274966,5.961008,0.0,0.0,0.0
chr1_100820585_100820838,16.948246,1.262024,26.082707,0.0,20.727732,2.106821,7.595101,2.559986,0.0,28.0,30.30612
chr1_100905821_100906168,4.452583,1.262024,0.0,0.0,0.0,2.328902,7.129104,0.0,0.0,0.0,0.0
chr1_100911126_100911538,11.161999,1.262024,0.0,0.0,7.708968,2.328902,9.997655,0.0,0.0,0.0,0.0
chr1_10127211_10127315,15.295448,1.555998,15.164089,0.0,12.81679,2.238599,13.150774,3.726958,0.0,51.0,0.0
chr1_1014834_1015095,7.447241,0.0,13.230414,0.0,11.790187,0.0,7.193384999999999,0.0,0.0,90.0,4.90876
chr1_101577594_101578108,14.475203,0.0,11.627026,0.0,12.550358333333334,2.023237,8.284585,0.0,0.0,106.0,0.0
chr1_101725356_101725679,13.441464,0.0,5.910945,0.0,8.253735500000001,0.0,14.269034,0.0,0.0,39.0,1.9574
chr1_101764288_101764549,13.857529,0.0,3.836955,0.0,9.899423,0.0,12.819422,0.0,0.0,61.0,3.423967
chr1_10269964_10270260,20.658365,1.555998,31.920153,0.0,17.732762,2.238599,0.0,5.285994,65.689611,57.0,29.892589
chr1_108479405_108480123,16.225737,0.0,10.109393,0.0,11.560322,0.0,10.329128,0.0,0.0,47.5,8.095964
chr1_108741685_108742156,21.9009,2.281102,33.742951,0.0,19.067045,5.077168,7.751243,6.152806,0.0,46.0,39.51318
chr1_109127044_109127234,6.326523,0.0,12.636741,0.0,7.89294,0.0,12.74743,0.0,0.0,13.0,4.087501
chr1_109133120_109133338,29.621053,0.0,16.712207,0.0,12.55663,0.0,13.487695,2.44886,0.0,48.0,10.284752
chr1_109133637_109134097,29.621053,0.0,16.712207,0.0,12.55663,0.0,13.487695,0.0,0.0,144.0,11.579481
chr1_109262615_109262764,7.250908,0.0,0.0,0.0,12.312537,0.0,6.405861,0.0,0.0,46.0,0.0
chr1_1093610_1093958,13.423648,0.0,18.670209,0.0,13.638924,0.0,6.208074,0.0,9.757832,87.0,11.76639
chr1_110160052_110160461,25.095267,0.0,23.044758,0.0,13.232087,0.0,14.065971,5.339935,15.407103,121.0,12.467928
chr1_110333273_110333688,6.962897,0.0,6.816823,0.0,7.862724,0.0,13.551457,0.0,46.551895,142.0,0.0
chr1_110334849_110335164,6.962897,0.0,6.816823,0.0,9.349197,0.0,13.551457,0.0,20.722818,85.0,0.0
chr1_110335775_110336041,6.962897,0.0,5.289799,0.0,7.8552,0.0,13.551457,0.0,0.0,0.0,0.0
chr1_110336950_110337403,6.962897,0.0,0.0,0.0,0.0,0.0,13.551457,0.0,0.0,0.0,0.0
chr1_110476602_110476703,11.305299,1.345124,0.0,0.0,4.998763,2.717843,8.105198,0.0,0.0,23.0,0.0
chr1_110879130_110879445,24.202539,1.345124,0.0,0.0,15.335209,2.763806,5.388941,8.501592,0.0,0.0,24.952005
chr1_112050044_112050594,18.016338,0.0,14.593677,2.631281,13.636981,0.0,8.326052,0.0,68.030773,38.0,9.279799
chr1_112058341_112058601,9.707644,0.0,7.801297,0.0,10.007878,0.0,8.627795,0.0,28.222652,58.0,7.480768
chr1_112058803_112059167,9.707644,0.0,7.801297,0.0,10.007878,0.0,8.627795,0.0,28.222652,51.0,7.480768
chr1_112163412_112163797,7.099754,2.166087,21.076642,2.485223,13.646665,2.014261,7.965984499999999,4.7266,0.0,22.0,18.771048
chr1_112163826_112164071,7.099754,2.166087,0.0,2.485223,13.646665,2.014261,7.965984499999999,4.7266,0.0,0.0,18.771048
chr1_112276731_112276883,18.510484,2.166087,11.64361,1.97626,7.537374,1.932418,10.385201,0.0,4.012566,21.0,5.084072
chr1_112942216_112942335,26.057826,2.480984,32.356713,0.0,21.391305,3.81279,6.87202,10.088041,0.0,36.0,33.327133
chr1_113086746_113087141,16.939338,0.0,16.585723,0.0,7.40482,0.0,9.08964,0.0,0.0,102.0,11.762303
chr1_113584893_113585079,15.142077,0.0,13.0962745,0.0,14.329272,0.0,11.798777,0.0,27.106548,0.0,7.655327
chr1_113683682_113683919,5.105578,0.0,0.0,0.0,4.666525,0.0,9.572722,0.0,60.329045,0.0,0.0
chr1_114997819_114998047,2.253195,2.469366,0.0,0.0,0.0,2.949936,4.600878,6.060033,0.0,0.0,0.0
chr1_115052481_115052766,9.728765,2.469366,22.835938,2.106725,15.468331,1.688587,7.895456,6.060033,0.0,0.0,29.581799
chr1_115605190_115605611,18.142615,0.0,15.673477,2.026597,9.939402,0.0,7.025241,0.0,0.0,34.0,8.288376
chr1_115605746_115606114,18.142615,0.0,15.673477,2.026597,9.939402,0.0,7.025241,0.0,0.0,11.0,8.288376
chr1_115627657_115627928,6.482437,0.0,9.790003,2.026597,9.881299,0.0,6.457734,0.0,0.0,56.0,7.363139
chr1_115709526_115709713,12.280176,0.0,6.482484,2.026597,9.86892,0.0,8.960948,0.0,0.0,28.0,7.713098
chr1_115722074_115722498,5.053116,0.0,4.090214,2.026597,4.479115,0.0,5.574196,0.0,0.0,0.0,0.0
chr1_115732772_115733197,9.73176,0.0,0.0,2.026597,6.810313,0.0,8.686363,0.0,0.0,0.0,0.0
chr1_115968975_115969167,9.094787,0.0,3.684517,2.026597,7.692293,0.0,5.922552,0.0,0.0,44.0,0.0
chr1_116088478_116088732,5.329939,0.0,8.869562,2.026597,7.368867,0.0,5.311881,0.0,29.709669,29.0,0.0
chr1_116918925_116919548,23.208157,2.414993,21.931614,2.026597,20.014951,5.43741,13.838039,12.713462,0.0,49.333333333333336,20.256821
chr1_116920378_116921129,23.208157,2.414993,21.931614,2.026597,20.014951,5.43741,13.838039,12.713462,0.0,92.0,20.256821
chr1_116923407_116923493,23.208157,2.414993,0.0,2.026597,20.014951,5.43741,13.838039,12.713462,0.0,0.0,3.020126
chr1_117030831_117031034,10.0615525,0.0,0.0,0.0,0.0,0.0,10.817097,0.0,0.0,0.0,0.0
chr1_117032033_117032296,10.0615525,0.0,0.0,0.0,10.359825,0.0,10.817097,0.0,0.0,81.0,7.566061
chr1_117050808_117051139,8.055215,0.0,0.0,0.0,6.773846,0.0,10.876908,0.0,0.0,0.0,0.0
chr1_117051576_117051921,8.055215,0.0,0.0,0.0,6.773846,0.0,10.876908,0.0,0.0,28.5,0.0
chr1_117111804_117112156,8.727877,1.767452,17.726592,0.0,11.924299,0.0,0.0,3.220974,0.0,0.0,15.290994
chr1_117112460_117112738,8.727877,1.767452,17.726592,0.0,11.924299,0.0,10.963817,3.220974,41.48901,0.0,15.290994
chr1_117421623_117422020,7.951413,0.0,9.150322,2.765564,12.568243,0.0,12.063624,0.0,4.332664,25.0,11.734291
chr1_117422443_117422644,7.951413,0.0,9.150322,2.765564,0.0,0.0,12.063624,0.0,0.0,0.0,0.0
chr1_117493512_117493635,4.250193,0.0,0.0,0.0,0.0,1.840219,5.500058,0.0,0.0,0.0,0.0
chr1_117533270_117533527,10.018312,0.0,0.0,0.0,0.0,0.0,3.073341,0.0,0.0,57.0,0.0
chr1_11968510_11969143,25.427343,0.0,20.736307,0.0,10.968181,0.0,7.543561,0.0,18.137564,52.0,23.150687
chr1_11990003_11990329,9.990571,0.0,0.0,0.0,12.811525,3.048383,11.875243,0.0,0.0,28.0,0.0
chr1_120255895_120256325,8.587591,0.0,11.720164,0.0,12.525284,2.760671,5.806603,5.17765,0.0,0.0,20.345417
chr1_12046023_12046196,23.700152,1.662029,13.2045555,0.0,11.009684,3.048383,10.26712,9.014712,0.0,76.0,11.406573
chr1_12050736_12051137,3.255467,1.662029,0.0,0.0,0.0,3.048383,4.088705,9.014712,0.0,0.0,0.0
chr1_12193120_12193399,7.951542,0.0,18.01674,0.0,11.516371,0.0,10.209774,0.0,0.0,71.0,4.448563
chr1_12213128_12213883,11.169738,0.0,6.021397,0.0,5.097958,2.276146,10.887473,0.0,0.0,30.0,0.0
chr1_12221931_12222397,14.029491,0.0,0.0,0.0,8.391245,2.276146,13.655658,4.099966,0.0,151.0,0.0
chr1_12227833_12229578,5.939372,1.940553,14.538592,0.0,14.228805,2.276146,12.939613,4.099966,0.0,41.66666666666666,17.203535
chr1_12233600_12234159,25.235671,1.940553,0.0,0.0,0.0,2.276146,12.458581,4.099966,0.0,0.0,0.0
chr1_12235070_12235463,25.235671,1.940553,9.374164,0.0,5.48686,2.276146,12.458581,4.099966,0.0,27.0,0.0
chr1_12236326_12236421,25.235671,0.0,0.0,0.0,0.0,5.631214999999999,12.458581,4.099966,0.0,0.0,0.0
chr1_12237719_12238747,25.235671,0.0,15.491036,0.0,8.892388,2.276146,12.458581,4.099966,0.0,52.0,0.0
chr1_12238984_12239461,25.235671,0.0,15.491036,0.0,8.892388,2.276146,12.458581,4.099966,0.0,110.0,11.590194
chr1_12240401_12240902,25.235671,0.0,15.491036,0.0,8.892388,2.276146,12.458581,4.099966,0.0,0.0,0.0
chr1_12243852_12244671,14.848694,0.0,11.456605,0.0,6.908433,2.276146,9.797621,4.099966,26.245203,145.0,3.38125
chr1_12245348_12245387,14.848694,1.590848,11.456605,0.0,6.908433,2.276146,9.797621,4.099966,0.0,0.0,3.38125
chr1_12493313_12493712,24.930129,0.0,25.375216,0.0,14.165221,2.276146,18.428043,0.0,0.0,60.0,6.450216
chr1_12493910_12494304,24.930129,0.0,25.375216,0.0,14.165221,2.276146,18.428043,0.0,0.0,44.5,6.450216
chr1_12508783_12509005,8.165606,0.0,0.0,0.0,0.0,2.276146,12.415819,1.496618,0.0,0.0,0.0
chr1_12509354_12509466,8.165606,0.0,0.0,0.0,0.0,2.276146,12.415819,1.496618,0.0,0.0,0.0
chr1_12533412_12533678,8.165606,0.0,0.0,0.0,0.0,2.276146,14.308155,0.0,0.0,0.0,0.0
chr1_12546528_12546819,8.165606,0.0,0.0,0.0,0.0,2.276146,0.0,0.0,0.0,0.0,0.0
chr1_12599928_12600179,5.463169,0.0,10.8902,0.0,14.009944,2.276146,6.716574,0.0,11.838886,34.0,0.0
chr1_12600525_12600853,5.463169,0.0,10.8902,0.0,4.932072,2.276146,6.716574,0.0,0.0,41.0,0.0
chr1_12609717_12610039,14.945007,0.0,16.677695,0.0,8.562954,2.276146,8.278167,0.0,0.0,145.0,7.393734
chr1_12675687_12675874,19.531801,1.877294,28.839129,0.0,18.293953,2.276146,7.911097,2.437727,0.0,0.0,28.663325
chr1_142538903_142539547,5.242497,6.973835,5.47583,6.488393,5.528965,6.733413,6.2431,4.284387,6.398707,30.0,9.228753
chr1_144533627_144534178,8.285633,2.011894,13.7589825,7.648882,12.8496475,1.665031,6.43461,0.0,2.442831,95.0,13.287972
chr1_144536201_144536370,8.285633,2.011894,3.587718,7.648882,8.6543,1.665031,6.43461,0.0,2.442831,35.0,9.705956
chr1_144908312_144908601,28.756694,0.0,16.213527,0.0,14.369108,3.432463,12.834322,6.986085,2.086326,32.0,5.782805
chr1_144908806_144909147,28.756694,0.0,16.213527,0.0,14.369108,3.432463,12.834322,6.986085,2.086326,42.5,5.782805
chr1_144927217_144927550,10.14744,2.106465,22.790998,0.0,42.76576,3.432463,17.183147,6.986085,7.734247499999999,22.5,41.924997
chr1_145009158_145009716,2.534713,3.09532,18.298901,0.0,14.9091905,2.625743,9.2522495,0.0,2.086326,125.0,2.022777
chr1_145012331_145013054,2.534713,3.09532,0.0,3.722108,3.900459,2.625743,3.521902,0.0,2.086326,0.0,2.022777
chr1_145042783_145043227,7.864843,3.09532,5.119141,0.0,16.026501,2.625743,9.6546645,0.0,2.086326,119.0,4.841622
chr1_145090155_145090603,15.892026,3.09532,4.029827,0.0,12.822002,2.625743,9.6170795,6.584401,2.086326,82.0,14.095721
chr1_145092450_145092883,15.892026,3.09532,26.188471,0.0,12.822002,2.625743,9.6170795,6.584401,6.825582,102.0,19.5876055
chr1_145113904_145114998,2.566576,3.09532,3.897838,3.727908,0.0,2.625743,1.787863,6.584401,2.086326,0.0,1.876738
chr1_145226678_145226829,6.2249895,0.0,0.0,0.0,4.962049,0.0,6.716676,3.483902,0.0,0.0,0.0
chr1_145437595_145437817,5.901766,0.0,10.974561,0.0,21.602547,0.0,8.136085,6.517351,0.0,35.0,29.143406
chr1_145454760_145454851,19.511351,0.0,13.8614195,0.0,10.717568,0.0,14.400276,0.0,0.0,34.0,0.0
chr1_145455122_145455741,19.511351,0.0,15.0302165,0.0,10.717568,0.0,14.400276,0.0,15.138055,181.0,7.507945
chr1_145526126_145526326,9.468784,0.0,0.0,0.0,7.89442,2.861499,9.560101,7.044005,0.0,0.0,11.749316
chr1_147806841_147807184,11.567536,0.0,14.663388,4.638769,19.193952,0.0,5.088505,0.0,1.273222,34.0,16.384544
chr1_149215297_149215704,8.523516,0.0,8.925053,2.613113,14.096962,0.0,0.0,0.0,0.0,36.0,8.370746
chr1_149981648_149981889,19.5511,2.101414,33.040333,0.0,20.393509,2.72004,0.0,4.779473,0.0,70.0,38.146508
chr1_150135231_150135764,8.041483,2.246676,11.416499,0.0,11.979587,0.0,11.019626,0.0,0.0,124.0,7.900197
chr1_150185878_150186128,6.814075,0.0,18.607312,0.0,14.242213,0.0,5.620891,0.0,8.0630415,97.0,20.239909
chr1_150294873_150295138,22.262916,0.0,18.47907,0.0,15.418944,3.354651,6.92824,9.973339,0.0,0.0,33.492276
chr1_150577042_150577503,47.045191,0.0,13.814629,0.0,8.655129,0.0,10.843716,0.0,0.0,155.0,10.009268
chr1_150585815_150586394,36.887437,0.0,19.857144,0.0,11.04338,3.646509,10.569226,7.014858,0.0,94.0,12.6279165
chr1_150592182_150592667,9.182711,0.0,4.997038,0.0,4.665182,3.646509,9.6702,7.116143,22.303616,47.0,0.0
chr1_150600412_150600701,18.292267,0.0,27.705401,0.0,16.78149,3.646509,7.895801,7.116143,0.0,0.0,34.745259
chr1_150735950_150736336,15.890999,0.0,0.0,0.0,8.581198,0.0,8.792389,0.0,0.0,0.0,0.0
chr1_150949569_150950014,14.737471,0.0,10.155293,0.0,16.290331,0.0,5.5874655,0.0,0.0,67.0,8.06623
chr1_151166314_151166527,13.149613,1.962759,0.0,0.0,0.0,3.071992,0.0,0.0,0.0,0.0,0.0
chr1_151168297_151168505,13.149613,1.962759,22.401259,0.0,13.416922,3.071992,5.643874,0.0,0.0,0.0,10.759316
chr1_151172142_151172526,13.149613,1.962759,22.401259,0.0,13.416922,3.071992,5.643874,11.415076,0.0,0.0,50.046338
chr1_151172620_151173197,13.149613,1.962759,22.401259,0.0,13.416922,3.071992,5.643874,11.415076,0.0,22.0,50.046338
chr1_151284018_151284391,8.824001,2.43397,8.121633,0.0,6.109399,3.884523,14.607442,5.610264,0.0,125.0,0.0
chr1_151445792_151446161,7.001526,0.0,15.040469,0.0,14.430132,0.0,3.268072,0.0,0.0,35.0,11.487429
chr1_151871280_151871437,10.924895,0.0,0.0,0.0,10.950504,2.12463,6.517207,4.407867,0.0,22.0,0.0
chr1_151877533_151877895,15.04327,0.0,12.102794,0.0,8.386571,0.0,7.441123,4.407867,0.0,31.0,10.842958
chr1_151916920_151917624,11.602346,0.0,0.0,0.0,8.059629,0.0,10.132818,0.0,0.0,0.0,0.0
chr1_151918898_151919222,11.602346,0.0,11.430829,0.0,8.059629,0.0,10.132818,0.0,0.0,0.0,5.208074
chr1_151945068_151945221,11.64673,0.0,14.656741,0.0,17.465874,0.0,11.963083,0.0,0.0,22.0,4.646469
chr1_151960875_151961433,19.655739,4.325932,22.212134,0.0,22.302156,4.8526895,15.033908,13.066869,0.0,52.0,25.933757
chr1_151961675_151962369,19.655739,4.386429,22.212134,0.0,22.302156,4.8526895,15.033908,13.066869,0.0,34.0,25.933757
chr1_151968368_151968560,19.655739,0.0,0.0,5.151191,0.0,0.0,15.033908,0.0,0.0,0.0,0.0
chr1_152006910_152007460,15.098817,1.738919,28.194183,5.151191,23.710707,6.684404,12.586849,9.945936,42.157406,38.5,48.545955
chr1_152007615_152008057,15.098817,1.738919,28.194183,5.151191,23.710707,6.684404,12.586849,9.945936,25.729244,27.0,48.545955
chr1_152022022_152022514,7.989762,0.0,0.0,5.151191,0.0,0.0,10.003754,0.0,0.0,0.0,0.0
chr1_15335392_15335732,16.121422,0.0,8.492238,0.0,8.840693,0.0,12.724153666666666,0.0,0.0,104.0,6.946472
chr1_153504746_153504953,27.274552,0.0,24.549352,0.0,21.719141,0.0,13.60442,11.264111,32.317223,23.0,30.377544
chr1_153541018_153541368,47.15583,0.0,20.31852,0.0,7.095731,0.0,16.144418,0.0,88.020533,88.0,0.0
chr1_153583449_153583810,49.801545,0.0,45.773869,0.0,11.9977055,3.523866,14.239656,14.964506,4.095677,0.0,27.429877
chr1_153670755_153671012,25.988613,0.0,13.431051,0.0,9.610849,0.0,12.783034,0.0,0.0,134.0,4.289851
chr1_153762591_153763309,10.916357,0.0,5.54108,0.0,11.146225,0.0,6.784417,0.0,0.0,55.0,4.235192
chr1_153936554_153936861,14.113054,0.0,18.938586,0.0,18.496155,2.460776,9.1985655,6.362936,0.0,0.0,21.144735
chr1_154154606_154155027,16.5211845,3.30702,23.716694,0.0,16.524605,5.119587,9.934131,13.428677,0.0,56.0,24.945106
chr1_15416988_15417263,2.947485,1.238846,3.62729,0.0,7.258884,0.0,6.487046,0.0,0.0,64.0,0.0
chr1_154299137_154299452,8.740979,0.0,11.328501,2.348363,12.985219,0.0,14.360217,4.882424,29.842134,0.0,14.440531
chr1_154391539_154392211,10.3898605,0.0,13.062331,0.0,14.410228,0.0,11.348168,0.0,0.0,132.0,5.998063
chr1_154392646_154393050,10.3898605,0.0,13.062331,0.0,14.410228,0.0,11.348168,0.0,0.0,127.0,5.998063
chr1_154397743_154397997,3.244601,0.0,0.0,0.0,0.0,0.0,11.348168,0.0,0.0,0.0,0.0
chr1_154404273_154404562,5.675548999999999,0.0,0.0,0.0,0.0,0.0,4.49868,0.0,0.0,26.0,0.0
chr1_154405181_154405498,3.244601,0.0,0.0,0.0,0.0,0.0,4.49868,0.0,0.0,0.0,0.0
chr1_154468503_154468634,11.510406,0.0,10.087464,0.0,8.445809,5.24082,12.149971,7.434326,0.0,30.0,23.095318
chr1_154579303_154579782,13.74927,2.47503,25.061989,0.0,14.74846,3.783201,4.3535225,7.247903,0.0,0.0,28.237863
chr1_154582047_154582244,13.74927,2.47503,25.061989,0.0,14.74846,3.783201,7.032276,7.247903,0.0,0.0,28.237863
chr1_154910155_154910399,38.107584,0.0,42.338003,0.0,20.927461,0.0,11.297981,0.0,14.775266,0.0,23.68015
chr1_154972628_154972915,8.176968,0.0,11.200748,0.0,11.87393,0.0,5.987325,5.633016,6.746864,24.0,16.573275
chr1_154973036_154973200,8.176968,0.0,11.200748,0.0,11.87393,0.0,5.987325,5.633016,6.746864,0.0,16.573275
chr1_154973335_154973935,8.176968,0.0,11.200748,0.0,11.87393,0.0,5.987325,5.633016,6.746864,102.0,16.573275
chr1_154977099_154977253,8.176968,0.0,11.200748,0.0,11.87393,1.722302,5.987325,5.633016,6.746864,0.0,16.573275
chr1_154978035_154978657,8.176968,0.0,0.0,0.0,11.87393,1.722302,5.987325,5.633016,6.746864,0.0,16.573275
chr1_155098409_155098801,21.28133,0.0,23.561336,0.0,14.399596,0.0,5.557814,0.0,0.0,0.0,31.240339
chr1_15519488_15519688,4.26313,1.238846,0.0,0.0,0.0,1.677718,0.0,2.715599,0.0,0.0,0.0
chr1_155830201_155830522,17.131091,0.0,24.812301,0.0,15.790328,3.468808,11.3906605,3.122634,0.0,91.0,20.594283
chr1_15585949_15586132,19.322553,1.238846,0.0,2.633461,10.826555,0.0,10.592404,0.0,0.0,0.0,0.0
chr1_15587144_15587415,19.322553,1.238846,12.922317,2.633461,10.826555,0.0,10.592404,0.0,0.0,52.0,0.0
chr1_155944562_155945214,7.505957,4.712072,14.617188,0.0,9.3948445,3.468808,15.792368,8.685766,2.27692,20.0,20.390102
chr1_155945743_155946196,7.505957,4.712072,14.617188,0.0,9.3948445,3.468808,15.792368,8.685766,2.27692,24.0,20.390102
