name_P,H3k4me3_P,H3k9ac_P,H3k4me2_P,H4k20me1_P,Smc3_P,H3k27ac_P,Ctcf_P,H3k4me1_P,DNaseI_P,H3k27me3_P,H3k36me3_P,H3k79me2_P
chr1_1850612_1851712,7.865528,8.852295999999997,10.559528,2.2242610000000003,11.96166,8.643047500000002,6.760547000000001,9.254913,0.9454,3.351421,0.0,0.0
chr1_1935176_1936276,6.6652095000000005,0.0,10.287332,2.2242610000000003,0.0,0.0,0.0,3.014068,0.2003,8.760805,0.0,0.0
chr1_2115728_2116828,4.34665,0.0,0.0,2.2242610000000003,0.0,5.427852,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2120237_2121337,6.913071,9.091369,12.11738,2.2242610000000003,14.1365,6.914098666666665,0.0,9.246817333333334,0.645,0.0,3.319927,7.854182000000001
chr1_2142962_2144062,6.1504585,10.699365,15.69756,2.2242610000000003,0.0,6.8331045,12.610885,5.547586,0.1583,0.0,0.0,0.0
chr1_2143913_2145013,6.1504585,10.699365,15.69756,2.2242610000000003,12.6866,6.8331045,12.610885,5.547586,0.1583,0.0,0.0,0.0
chr1_2144059_2145159,6.1504585,10.699365,15.69756,2.2242610000000003,12.6866,6.8331045,12.610885,5.547586,0.0924,0.0,0.0,0.0
chr1_2145520_2146620,4.34665,0.0,0.0,2.2242610000000003,0.0,5.427852,0.0,5.547586,0.0,0.0,0.0,0.0
chr1_2159134_2160234,12.866105,16.66391,19.025737,2.2242610000000003,0.0,8.717087,2.194973,6.4402025,0.6585,0.0,2.23002,8.529383000000001
chr1_2322267_2323367,15.149725,12.6054,15.997841,2.2242610000000003,8.4819,7.8682729999999985,0.0,7.2085409999999985,0.4583,0.0,5.0680809999999985,8.240976
chr1_2323046_2324146,15.149725,12.6054,15.997841,2.2242610000000003,11.3092,7.8682729999999985,0.0,5.579867,0.4583,0.0,5.0680809999999985,8.240976
chr1_2345136_2346236,13.428199,17.007785000000002,19.244647,2.2242610000000003,18.69009,12.586577,32.110009999999996,7.965136,0.6193,2.042338,0.0,5.482486
chr1_2457939_2459039,12.55476,11.606727,16.758976999999998,5.974391000000002,0.0,8.891367,0.0,6.255537,0.2174,2.463114,0.0,19.885871
chr1_2476904_2478004,9.689468,7.552408,11.259093,2.2242610000000003,0.0,10.147254,11.432335000000002,9.738202,0.5955,0.0,0.0,3.574066
chr1_2488370_2489470,8.607992999999999,7.930889,10.944112,2.2242610000000003,0.0,0.0,8.1525265,5.610867,0.0686,0.0,0.0,0.0
chr1_2516930_2518030,10.01707,16.604953,13.261492,2.2242610000000003,10.87423,9.707881,1.573161,4.703729,0.7143,0.0,0.0,4.469558
chr1_3369990_3371090,8.88327,0.0,7.011357,2.055661,12.052275,0.0,17.225185999999994,7.067351,0.2825,2.226734,0.0,0.0
chr1_3540566_3541666,9.896551,9.219208,16.345791000000002,2.055661,9.78681,0.0,4.294852,4.3432260000000005,0.6629,6.268749499999998,2.218798,0.0
chr1_3541207_3542307,9.896551,9.076245,16.345791000000002,2.055661,9.243095,10.656006,7.332188,9.405107,0.6629,2.081857,2.218798,0.0
chr1_3568084_3569184,5.1486589999999985,4.064696,9.270572,2.055661,0.0,0.0,0.0,0.0,0.1938,2.576759,2.218798,0.0
chr1_3569225_3570325,5.1486589999999985,4.064696,9.270572,2.055661,0.0,0.0,0.0,7.0131679999999985,0.1938,2.576759,2.218798,0.0
chr1_713150_714250,13.254572,24.81793433333333,20.803417666666668,0.0,13.48405,20.973722666666667,30.225418,0.0,0.2401,0.0,0.0,11.782717666666665
chr1_713906_715006,16.999964000000002,23.104059,20.296086000000006,0.0,13.48405,21.487030999999998,30.225418,0.0,0.2401,0.0,0.0,9.600656
chr1_751751_752851,7.317439999999999,0.0,9.730903999999999,0.0,0.0,8.114921,0.0,8.335227,0.0801,0.0,0.0,0.0
chr1_761988_763088,7.5213705,9.055922,7.629628666666667,0.0,0.0,18.666383,0.0,3.4816620000000005,0.2818,0.0,1.939304,8.286361
chr1_762802_763902,8.672318666666667,9.055922,7.629628666666667,0.0,0.0,18.666383,0.0,0.0,0.2818,0.0,1.939304,8.286361
chr1_839214_840314,4.1235089999999985,3.896113,5.181808,0.0,29.63229,9.706519,15.418249,3.1484875,0.2978,2.818966,0.0,0.0
chr1_856296_857396,7.1580070000000005,0.0,7.6106525,3.317241000000001,20.62725,0.0,8.1383215,5.0593335,0.20485,4.240943,0.0,0.0
chr1_859260_860360,10.634466499999998,0.0,4.68985,3.317241000000001,11.41794,0.0,2.900571,2.578462,0.2138,0.0,0.0,0.0
chr1_894589_895689,12.67915,11.721022,15.183782999999998,3.317241000000001,0.0,11.0298555,0.0,0.0,0.4485,0.0,0.0,11.11376
chr1_894967_896067,12.67915,11.721022,15.183782999999998,3.317241000000001,0.0,4.729408,0.0,0.0,0.4485,0.0,0.0,11.11376
chr1_900877_901977,10.85679,7.383766,11.577009,2.142703,0.0,6.498575,0.0,3.843496,0.3093,0.0,0.0,0.0
chr1_933331_934431,10.699393,15.29481,15.764967,0.0,0.0,14.745829999999998,0.0,0.0,0.2029,0.0,0.0,0.0
chr1_935452_936552,10.699393,15.29481,15.764967,0.0,12.689485,14.745829999999998,7.197781,8.4280375,0.3748,0.0,0.0,5.3376484999999985
chr1_947803_948903,16.295745,10.960297,21.621951,2.289942,0.0,9.734554,6.329365,3.939982,0.083,0.0,0.0,2.895963
chr1_948473_949573,16.295745,10.960297,21.621951,2.289942,0.0,9.734554,9.07628,3.939982,0.083,0.0,0.0,2.895963
chr1_954503_955603,6.701494,9.1427755,7.091784,2.289942,7.611960000000002,5.982815,13.11553,7.210797,0.4513,0.0,0.0,4.3151980000000005
chr1_994114_995214,8.68852,10.898955,11.810527,1.760547,22.98446,7.2421479999999985,5.802432,5.576514,0.336,0.0,0.0,0.0
chr1_998568_999668,10.021453,10.940495,11.810527,1.760547,24.28579,9.653609,46.087084,5.576514,0.1928,0.0,0.0,2.800072
chr1_1141971_1143071,0.0,2.920937,0.0,1.724152,0.0,0.0,9.143597,0.0,0.04065,0.0,0.0,0.0
chr1_139279_140379,0.0,6.227207,3.930661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44592
chr1_568756_569856,0.0,8.13402,0.0,10.593509,72.85738,0.0,39.52215800000001,0.0,0.0,12.926173,0.0,13.697539
chr1_2486078_2487178,0.0,0.0,10.944112,2.2242610000000003,23.19837,0.0,14.5708965,5.610867,0.0686,11.376404,0.0,0.0
chr1_752992_754092,0.0,0.0,3.205738,0.0,0.0,0.0,0.0,0.0,0.0801,0.0,0.0,0.0
chr1_1009587_1010687,0.0,0.0,0.0,1.760547,0.0,0.0,0.0,0.0,0.05065,8.739287999999998,0.0,0.0
chr1_1101484_1102584,0.0,0.0,0.0,1.790919,0.0,0.0,0.0,0.0,0.0382,2.924664,0.0,0.0
chr1_1102243_1103343,0.0,0.0,0.0,1.790919,0.0,0.0,0.0,0.0,0.0449,2.924664,0.0,0.0
chr1_1103385_1104485,0.0,0.0,0.0,1.790919,0.0,0.0,0.0,0.0,0.0516,6.3360970000000005,0.0,0.0
chr1_1103737_1104837,0.0,0.0,0.0,1.790919,0.0,0.0,0.0,0.0,0.0516,6.3360970000000005,0.0,0.0
chr1_1108264_1109364,0.0,0.0,0.0,1.790919,0.0,0.0,0.0,0.0,0.0,2.924664,0.0,0.0
chr1_1114835_1115935,0.0,0.0,0.0,1.790919,0.0,0.0,0.0,0.0,0.0509,2.924664,0.0,0.0
chr1_1149418_1150518,0.0,0.0,0.0,1.724152,0.0,0.0,0.0,0.0,0.0392,0.0,2.430067,0.0
chr1_1182002_1183102,0.0,0.0,0.0,2.5049650000000003,0.0,0.0,0.0,0.0,0.02665,0.0,2.606298,0.0
chr1_1186614_1187714,0.0,0.0,0.0,2.5049650000000003,0.0,0.0,9.658505,0.0,0.0,0.0,2.606298,0.0
chr1_1214816_1215916,0.0,0.0,0.0,2.5049650000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.606298,0.0
chr1_1253969_1255069,0.0,0.0,0.0,2.5049650000000003,0.0,10.071789,0.0,5.576228,0.0,0.0,3.153054,6.008417
chr1_1265694_1266794,0.0,0.0,0.0,2.5049650000000003,0.0,0.0,0.0,0.0,0.0358,0.0,0.0,6.008417
chr1_1475733_1476833,0.0,0.0,0.0,2.4224330000000003,0.0,0.0,0.0,0.0,0.0358,0.0,2.7806610000000003,8.322797999999999
chr1_1499804_1500904,0.0,0.0,0.0,2.4224330000000003,0.0,7.933213,0.0,4.6883110000000014,0.0,0.0,2.7806610000000003,8.322797999999999
chr1_1514136_1515236,0.0,0.0,0.0,2.4224330000000003,0.0,0.0,0.0,5.5645500000000006,0.0,0.0,2.7806610000000003,8.322797999999999
chr1_1669027_1670127,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1845266_1846366,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0,3.351421,0.0,0.0
chr1_1946869_1947969,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0436,3.351421,0.0,0.0
chr1_1949780_1950880,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0759,3.351421,0.0,0.0
chr1_1980909_1982009,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,10.202273,0.0,0.07615,3.351421,0.0,0.0
chr1_1981409_1982509,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.1243,3.351421,0.0,0.0
chr1_2076618_2077718,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0,3.351421,0.0,0.0
chr1_2257581_2258681,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0,3.366875,0.0,0.0
chr1_2258032_2259132,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0,3.366875,0.0,0.0
chr1_2283196_2284296,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0312,3.366875,0.0,0.0
chr1_2284159_2285259,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0355,3.366875,0.0,0.0
chr1_2294967_2296067,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0,3.366875,0.0,0.0
chr1_2306692_2307792,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0249,3.366875,0.0,0.0
chr1_2309699_2310799,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0257,7.8782605,0.0,0.0
chr1_2315811_2316911,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,4.526232,0.0,0.0427,3.366875,0.0,0.0
chr1_2356419_2357519,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0287,6.780944666666668,0.0,0.0
chr1_2424597_2425697,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.04005,9.354864999999998,0.0,0.0
chr1_2425818_2426918,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0421,1.871112,0.0,0.0
chr1_2461584_2462684,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.1229,5.037294,0.0,0.0
chr1_2496849_2497949,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,5.464698,0.0,0.0308,3.702268,0.0,0.0
chr1_2511999_2513099,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,1.573161,0.0,0.0,8.126003,0.0,0.0
chr1_2563007_2564107,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0245,1.83821,0.0,0.0
chr1_2564381_2565481,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0,0.0,0.0379,0.0,0.0,0.0
chr1_2718186_2719286,0.0,0.0,0.0,2.055661,24.19517,0.0,24.011044,0.0,0.2727,0.0,0.0,0.0
chr1_2729157_2730257,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2731463_2732563,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2937046_2938146,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.02945,0.0,0.0,0.0
chr1_2978859_2979959,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2984732_2985832,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0277,2.10473,0.0,0.0
chr1_2984901_2986001,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0277,2.10473,0.0,0.0
chr1_3050173_3051273,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0,2.217088,0.0,0.0
chr1_3226560_3227660,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0,2.217088,0.0,0.0
chr1_3402810_3403910,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0,2.226734,0.0,0.0
chr1_3477254_3478354,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.02705,2.226734,0.0,0.0
chr1_3527959_3529059,0.0,0.0,0.0,2.055661,0.0,0.0,4.294852,3.104966,0.192,2.081857,0.0,0.0
chr1_3585236_3586336,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,3.113831,0.0877,2.576759,0.0,0.0
chr1_3630762_3631862,0.0,0.0,0.0,2.055661,0.0,0.0,0.0,0.0,0.0305,2.576759,0.0,0.0
chr1_845815_846915,0.0,0.0,0.0,3.317241000000001,0.0,0.0,2.900571,4.317513,0.1357,0.0,0.0,0.0
chr1_848551_849651,0.0,0.0,0.0,3.317241000000001,0.0,0.0,8.434823999999999,2.578462,0.0525,4.240943,0.0,0.0
chr1_866345_867445,0.0,0.0,0.0,3.317241000000001,0.0,0.0,6.947100999999999,0.0,0.0409,4.699564,0.0,0.0
chr1_917397_918497,0.0,0.0,0.0,2.142703,0.0,0.0,0.0,0.0,0.0271,6.0087215,0.0,0.0
chr1_989413_990513,0.0,0.0,0.0,1.760547,0.0,0.0,0.0,0.0,0.0,0.0,3.339439,0.0
chr1_1630369_1631469,0.0,0.0,0.0,0.0,0.0,1.537593,0.0,0.0,0.1221,0.0,0.0,0.0
chr1_228675_229775,0.0,0.0,0.0,0.0,0.0,7.7418179999999985,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1602429_1603529,0.0,0.0,0.0,0.0,0.0,0.0,2.141526,0.0,0.0,0.0,8.463859,0.0
chr1_1603714_1604814,0.0,0.0,0.0,0.0,0.0,0.0,2.141526,0.0,0.0,0.0,0.0,0.0
chr1_1071397_1072497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7302339999999985,0.0725,0.0,0.0,0.0
chr1_1297057_1298157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8510800000000005,0.0,0.0,0.0,0.0
chr1_1357049_1358149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.103579,0.1537,0.0,0.0,0.0
chr1_1384069_1385169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.789489,0.0,0.0,0.0,0.0
chr1_1354625_1355725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262,0.0,0.0,0.0
chr1_1360508_1361608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,0.0,0.0,0.0
chr1_1566474_1567574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259,0.0,0.0,0.0
chr1_564020_565120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5442400000000003,0.0,0.0
chr1_564290_565390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5442400000000003,0.0,0.0
chr1_565454_566554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.542264999999999,0.0,0.0
chr1_812183_813283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.818966,0.0,0.0
chr1_817043_818143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.818966,0.0,0.0
