name_E,Pol2_E
chr1_215130656_215131050,2.98033
chr1_21588176_21588724,5.64451
chr1_21588829_21589430,5.64451
chr1_2162325_2162996,2.45414
chr1_21643831_21644195,2.0809
chr1_21664400_21664833,1.80512
chr1_21664947_21665143,1.80512
chr1_216774004_216774285,1.90123
chr1_2177615_2177829,2.46907
chr1_221913881_221914483,4.18323
chr1_221916049_221916599,4.18323
chr1_222002644_222003471,1.69531
chr1_2221868_2222548,2.21397
chr1_222638782_222639204,1.43293
chr1_2231691_2232185,3.10204
chr1_2232428_2232896,3.10204
chr1_223901276_223901546,4.21907
chr1_223903033_223903347,2.21127
chr1_223914239_223914747,1.51721
chr1_223964690_223965055,1.61
chr1_224032316_224032686,6.14404
chr1_224811590_224812043,1.96557
chr1_2253622_2253773,1.87334
chr1_225845408_225845613,2.98346
chr1_225934674_225934968,2.70114
chr1_226187685_226188168,5.44044
chr1_226297611_226298113,4.40149
chr1_226849753_226849884,1.83205
chr1_226852222_226852636,1.83205
chr1_226890098_226890374,2.13888
chr1_226890865_226891416,2.13888
chr1_227002760_227003096,1.90467
chr1_227751865_227752213,4.44595
chr1_228273480_228273740,4.12852
chr1_228338299_228338457,3.04379
chr1_228688608_228688902,2.26392
chr1_230220475_230220731,1.67162
chr1_230240540_230240902,3.54401
chr1_230241590_230241986,3.54401
chr1_230249347_230250007,3.66861
chr1_23076914_23077145,3.40967
chr1_233249275_233249581,1.76431
chr1_234630919_234631525,2.26324
chr1_234736336_234736615,6.6036
chr1_234737347_234737653,6.6036
chr1_234738546_234738834,6.6036
chr1_234746093_234747674,6.6036
chr1_234748100_234748931,6.6036
chr1_234749342_234749645,6.6036
chr1_234792654_234793437,2.57104
chr1_234793934_234794239,2.57104
chr1_234857710_234858181,3.38064
chr1_234858843_234859287,3.38064
chr1_234891292_234891478,1.84273
chr1_234908151_234908764,2.1142
chr1_235070340_235070651,2.39178
chr1_235091073_235091332,1.85417
chr1_235091427_235091813,1.85417
chr1_235097868_235098070,3.64812
chr1_235104770_235105153,3.45512
chr1_235106929_235107153,3.45512
chr1_235108272_235108467,3.45512
chr1_235114050_235115068,2.0847
chr1_235120162_235120433,1.51468
chr1_235122652_235122939,2.57477
chr1_235133014_235133422,4.15604
chr1_235134086_235134438,4.15604
chr1_235146978_235147112,3.41151
chr1_235183936_235184197,1.88869
chr1_23523350_23523682,3.63967
chr1_235246558_235246857,2.70016
chr1_235668656_235669018,5.76695
chr1_236030835_236031025,2.12413
chr1_236031049_236031919,2.12413
chr1_236135691_236135959,2.7533
chr1_238811242_238811567,1.66324
chr1_23882500_23882866,8.76454
chr1_23888678_23889201,8.76454
chr1_23903714_23904323,5.04884
chr1_23912037_23912393,1.98677
chr1_23961555_23961694,3.02734
chr1_240562823_240563040,1.84273
chr1_24349340_24349488,2.44934
chr1_244462616_244463099,2.59956
chr1_244763140_244763529,1.88485
chr1_245255337_245255432,1.93947
chr1_246035151_246035554,1.49476
chr1_246038342_246038749,1.49476
chr1_246730569_246731007,5.00169
chr1_246862505_246862699,1.97435
chr1_2478276_2478817,3.82401
chr1_25344029_25344296,2.40213
chr1_25559638_25560067,3.42546
chr1_25566195_25566411,3.6918
chr1_25566618_25566670,3.6918
chr1_26201699_26201757,2.10597
chr1_26613887_26614371,2.19259
chr1_26827232_26827869,3.11509
chr1_26946837_26947249,3.4676
chr1_26947342_26948198,3.4676
chr1_27024638_27025138,3.20542
chr1_27191386_27191927,4.69457
chr1_27321452_27321840,1.61045
chr1_27625914_27626081,2.06733
chr1_27626897_27627231,2.06733
chr1_27691785_27692261,2.7574
chr1_27986111_27986384,2.05502
chr1_28189568_28190269,2.8028
chr1_29451057_29451462,2.85415
chr1_31320336_31320627,3.85564
chr1_31401933_31402089,1.7509
chr1_31537719_31538012,4.80039
chr1_31627566_31627958,3.15896
chr1_32180603_32180986,2.36425
chr1_32253647_32254040,2.58734
chr1_3229711_3230157,3.17864
chr1_3231556_3231634,3.17864
chr1_32405536_32405898,1.86996
chr1_32420307_32420572,4.53857
chr1_32421622_32422096,4.53857
chr1_32966228_32966602,4.21195
chr1_33220297_33220575,2.98346
chr1_33446816_33447482,4.64443
chr1_33457914_33458607,1.76261
chr1_33564918_33565286,4.25407
chr1_3459907_3460197,2.48684
chr1_36183411_36183689,4.13025
chr1_36555347_36555633,4.82619
chr1_36616485_36616868,2.43782
chr1_36626561_36626969,4.28716
chr1_36839449_36839891,3.76947
chr1_36840093_36840535,3.76947
chr1_37937293_37937526,4.30909
chr1_37942874_37943354,4.30909
chr1_37944084_37944971,4.30909
chr1_3817648_3818071,2.2404
chr1_38465723_38465839,1.60013
chr1_38495782_38495936,1.8322
chr1_39874208_39874673,1.85583
chr1_40841336_40841595,5.1348
chr1_40860574_40860824,2.05332
chr1_41961925_41962146,1.69332
chr1_42127851_42128791,4.94797
chr1_42328578_42328878,1.85611
chr1_43406108_43407009,1.66846
chr1_43407355_43407700,1.66846
chr1_43427522_43427762,1.74287
chr1_43428386_43429108,1.6486399999999999
chr1_43429290_43429917,1.55441
chr1_45195062_45195154,3.38171
chr1_46268583_46268737,2.61492
chr1_46712372_46712767,2.98597
chr1_47800262_47800514,3.05461
chr1_51703075_51703494,5.4982
chr1_54739679_54739787,1.60288
chr1_54868582_54868776,3.46316
chr1_54873075_54873515,2.26621
chr1_54953784_54954325,2.14358
chr1_56184456_56184884,1.38089
chr1_57042744_57043185,3.32577
chr1_57043287_57044160,3.32577
chr1_59228706_59229186,3.2698
chr1_59229881_59230252,2.70768
chr1_59280773_59281281,2.09344
chr1_59281510_59281579,2.09344
chr1_59281873_59282217,2.09344
chr1_59369049_59370138,4.7209
chr1_65381647_65381826,1.57948
chr1_65383044_65383557,2.14895
chr1_65398951_65399446,2.28338
chr1_6661008_6661639,7.05905
chr1_67029191_67029437,2.90967
chr1_67029939_67030347,2.90967
chr1_70877943_70877992,6.5336
chr1_72749220_72749791,3.93072
chr1_72750417_72750888,3.93072
chr1_7327634_7328033,2.49072
chr1_7359415_7359679,4.43577
chr1_7461964_7462325,1.77345
chr1_7531062_7531540,4.45594
chr1_7538871_7539273,3.06659
chr1_7609389_7609632,3.91945
chr1_7843556_7843653,2.15384
chr1_78567287_78567595,1.66174
chr1_8070132_8070398,5.66033
chr1_8143203_8143348,2.60547
chr1_8154517_8154933,2.19372
chr1_8262223_8262541,3.18854
chr1_8272041_8272390,1.54724
chr1_84971050_84971209,5.39218
chr1_85038681_85038996,4.81191
chr1_85737728_85738105,4.73845
chr1_85779776_85780132,1.74287
chr1_85794698_85795078,2.52772
chr1_85795855_85796291,2.52772
chr1_85796595_85797055,2.52772
chr1_85991291_85991622,1.43812
chr1_86049987_86050100,8.84169
chr1_86072885_86073441,4.85076
chr1_86077140_86077408,3.62243
chr1_86077578_86077925,3.62243
chr1_86078461_86078819,3.62243
chr1_87171187_87171726,4.06278
chr1_8720526_8720683,2.09427
chr1_8933581_8933925,2.20047
chr1_90309838_90310280,2.09264
chr1_9271499_9271772,1.54119
chr1_9293549_9293739,1.74796
chr1_95009926_95010072,6.84177
chr1_9504221_9504505,1.80512
chr1_95113814_95114327,2.02351
chr1_956563_956812,2.54472
