name_E,H3k27ac_E,Ctcf_E,H3k4me2_E,DNaseI_E,H3k4me3_E,H3k79me2_E,H3k9ac_E,H3k36me3_E,H4k20me1_E,H3k27me3_E,H3k4me1_E
chr10_3929991_3930887,39.599536,18.960819,10.082487,98.0,11.7535375,0.0,15.486645999999999,0.0,0.0,0.0,11.539981
chr10_3932191_3932411,39.599536,0.0,10.082487,21.0,0.0,0.0,15.486645999999999,0.0,0.0,0.0,11.539981
chr10_3936015_3936390,39.599536,0.0,0.0,0.0,0.0,0.0,15.486645999999999,0.0,0.0,0.0,11.539981
chr10_3938329_3938538,39.599536,0.0,0.0,0.0,0.0,0.0,15.486645999999999,0.0,0.0,0.0,11.539981
chr10_3984866_3985563,4.288837,0.0,0.0,19.0,0.0,0.0,10.503509,0.0,0.0,0.0,6.2927045
chr10_3991165_3991394,3.257117,0.0,11.367075,41.0,0.0,0.0,9.761567,0.0,0.0,0.0,6.4098795
chr10_4172866_4173257,20.925407,0.0,13.21841,25.0,5.63352,0.0,10.421554,0.0,0.0,0.0,17.926498000000006
chr10_4173688_4174411,20.925407,0.0,13.21841,53.0,5.63352,0.0,10.421554,0.0,0.0,0.0,17.926498000000006
chr10_4289203_4289519,43.514187,0.0,8.673572,23.0,0.0,0.0,8.909104,0.0,0.0,0.0,12.681194
chr10_4396174_4396330,15.82939,0.0,9.260773,59.0,4.973651,0.0,11.535504,0.0,0.0,0.0,13.749673
chr10_4414900_4415114,8.250316,0.0,0.0,64.0,0.0,0.0,5.783799,0.0,0.0,0.0,4.600437
chr10_4685784_4686138,9.518828,0.0,0.0,0.0,0.0,5.450675,0.0,2.984026,0.0,0.0,0.0
chr10_4705159_4705783,24.558906,0.0,8.559175999999999,62.0,8.008961,5.450675,9.7250385,2.984026,0.0,0.0,13.3359315
chr10_4711881_4712067,9.518828,0.0,0.0,0.0,0.0,5.450675,0.0,2.984026,0.0,0.0,0.0
chr10_4712833_4713220,9.518828,0.0,0.0,0.0,0.0,5.450675,0.0,2.984026,0.0,0.0,0.0
chr10_4813646_4813900,32.822953000000005,14.389219,8.107839,32.0,6.353569,1.97589,17.49549,2.839876,0.0,0.0,7.737739
chr10_4852300_4852352,15.549766,0.0,4.447986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.615112
chr10_4855217_4855416,10.792751,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461745
chr10_4891874_4892173,8.276172,124.667864,7.118844,71.0,0.0,0.0,0.0,2.256818,0.0,0.0,8.142203
chr10_5333644_5334212,22.528589,0.0,9.491598,35.0,0.0,0.0,7.710965,0.0,0.0,0.0,10.164786
chr10_5334474_5334640,22.528589,0.0,0.0,0.0,0.0,0.0,7.710965,0.0,0.0,0.0,10.164786
chr10_5336164_5336286,9.866728,36.707039,4.620625,11.0,0.0,0.0,6.110991,0.0,0.0,0.0,10.927754
chr10_5359534_5359986,3.269206,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.239837,5.03145
chr10_5587810_5588190,28.603385,0.0,10.620287,77.0,0.0,0.0,9.0841895,0.0,0.0,0.0,21.633257
chr10_5588881_5589169,28.603385,0.0,10.620287,30.0,0.0,0.0,9.0841895,0.0,0.0,0.0,21.633257
chr10_5590010_5590295,28.603385,4.036126,10.620287,13.0,9.064827000000001,0.0,9.0841895,0.0,0.0,0.0,21.633257
chr10_5590959_5591270,28.603385,4.036126,10.620287,102.0,7.610989,0.0,9.0841895,0.0,0.0,0.0,21.633257
chr10_5596279_5596669,10.009211,0.0,7.3354300000000014,40.0,8.501304,0.0,6.9865185,0.0,0.0,0.0,12.260222
chr10_5638863_5639270,13.253294,0.0,9.27867,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385235
chr10_5888274_5888577,9.27327,0.0,10.421314,58.0,10.865303,0.0,9.4958465,0.0,0.0,0.0,9.153441
chr10_699938_700531,12.109724,0.0,13.686853,29.0,9.179872,0.0,11.106324,0.0,2.185849,0.0,7.048324000000001
chr10_830904_831008,4.325376,14.402392,12.952535,102.0,8.496564,0.0,18.066933,0.0,0.0,0.0,3.010765
chr10_990446_990769,12.436959,0.0,17.677263,90.0,10.879432,0.0,14.54332,0.0,0.0,0.0,9.886677
chr1_100104444_100104686,12.800949,0.0,9.706432,47.0,4.774844,5.9610080000000005,11.748362,0.0,0.0,0.0,7.274966
chr1_100113534_100114036,27.967462,33.362877000000005,17.072503,84.0,54.952429,5.9610080000000005,47.346393,5.39323,0.0,0.0,7.274966
chr1_100138206_100138591,6.140054,0.0,4.121703,0.0,0.0,5.9610080000000005,1.817613,5.39323,2.075599,0.0,7.274966
chr1_100820585_100820838,16.948245999999994,0.0,20.727732,28.0,30.30612,2.559986,26.082707,2.106821,1.262024,0.0,7.595101
chr1_100905821_100906168,4.452583,0.0,0.0,0.0,0.0,0.0,0.0,2.328902,1.262024,0.0,7.129103999999999
chr1_100911126_100911538,11.161999,0.0,7.708968,0.0,0.0,0.0,0.0,2.328902,1.262024,0.0,9.997655
chr1_10127211_10127315,15.295448,0.0,12.81679,51.0,0.0,3.726958,15.164089,2.238599,1.555998,0.0,13.150773999999998
chr1_1014834_1015095,7.447241,0.0,11.790187,90.0,4.90876,0.0,13.230414,0.0,0.0,0.0,7.193385000000001
chr1_101577594_101578108,14.475203,0.0,12.550358333333335,106.0,0.0,0.0,11.627026,2.023237,0.0,0.0,8.284585
chr1_101725356_101725679,13.441464000000002,0.0,8.2537355,39.0,1.9574,0.0,5.910945,0.0,0.0,0.0,14.269034
chr1_101764288_101764549,13.857529,0.0,9.899423,61.0,3.423967,0.0,3.836955,0.0,0.0,0.0,12.819422
chr1_10269964_10270260,20.658365,65.689611,17.732762,57.0,29.892589,5.2859940000000005,31.920153000000006,2.238599,1.555998,0.0,0.0
chr1_108479405_108480123,16.225737,0.0,11.560322,47.5,8.095964,0.0,10.109393,0.0,0.0,0.0,10.329128
chr1_108741685_108742156,21.9009,0.0,19.067045,46.0,39.51318,6.152806,33.742951,5.077168,2.281102,0.0,7.751243
chr1_109127044_109127234,6.326523,0.0,7.8929399999999985,13.0,4.0875010000000005,0.0,12.636741,0.0,0.0,0.0,12.74743
chr1_109133120_109133338,29.621053000000003,0.0,12.55663,48.0,10.284752,2.44886,16.712207,0.0,0.0,0.0,13.487695
chr1_109133637_109134097,29.621053000000003,0.0,12.55663,144.0,11.579481,0.0,16.712207,0.0,0.0,0.0,13.487695
chr1_109262615_109262764,7.250908,0.0,12.312537,46.0,0.0,0.0,0.0,0.0,0.0,0.0,6.405861
chr1_1093610_1093958,13.423648000000002,9.757832,13.638924,87.0,11.76639,0.0,18.670209,0.0,0.0,0.0,6.208074
chr1_110160052_110160461,25.095267,15.407103,13.232087,121.0,12.467928,5.339935,23.044758,0.0,0.0,0.0,14.065971
chr1_110333273_110333688,6.962897,46.551895,7.862724000000001,142.0,0.0,0.0,6.8168229999999985,0.0,0.0,0.0,13.551457
chr1_110334849_110335164,6.962897,20.722818,9.349197,85.0,0.0,0.0,6.8168229999999985,0.0,0.0,0.0,13.551457
chr1_110335775_110336041,6.962897,0.0,7.8552,0.0,0.0,0.0,5.289799,0.0,0.0,0.0,13.551457
chr1_110336950_110337403,6.962897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.551457
chr1_110476602_110476703,11.305299,0.0,4.9987629999999985,23.0,0.0,0.0,0.0,2.717843,1.345124,0.0,8.105198
chr1_110879130_110879445,24.202539,0.0,15.335209,0.0,24.952005,8.501592,0.0,2.763806,1.345124,0.0,5.388941
chr1_112050044_112050594,18.016338,68.030773,13.636981,38.0,9.279799,0.0,14.593677,0.0,0.0,2.631281,8.326052
chr1_112058341_112058601,9.707644,28.222652000000004,10.007878,58.0,7.4807679999999985,0.0,7.801297,0.0,0.0,0.0,8.627794999999999
chr1_112058803_112059167,9.707644,28.222652000000004,10.007878,51.0,7.4807679999999985,0.0,7.801297,0.0,0.0,0.0,8.627794999999999
chr1_112163412_112163797,7.099753999999999,0.0,13.646665,22.0,18.771048,4.7266,21.076642,2.014261,2.166087,2.485223,7.9659844999999985
chr1_112163826_112164071,7.099753999999999,0.0,13.646665,0.0,18.771048,4.7266,0.0,2.014261,2.166087,2.485223,7.9659844999999985
chr1_112276731_112276883,18.510484,4.0125660000000005,7.537374000000002,21.0,5.084072,0.0,11.64361,1.932418,2.166087,1.97626,10.385201
chr1_112942216_112942335,26.057826,0.0,21.391305,36.0,33.327133,10.088041,32.356713,3.81279,2.480984,0.0,6.87202
chr1_113086746_113087141,16.939338,0.0,7.40482,102.0,11.762303,0.0,16.585723,0.0,0.0,0.0,9.08964
chr1_113584893_113585079,15.142077,27.106548,14.329272,0.0,7.6553270000000015,0.0,13.0962745,0.0,0.0,0.0,11.798777
chr1_113683682_113683919,5.105578,60.329045,4.666525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.572722
chr1_114997819_114998047,2.2531950000000003,0.0,0.0,0.0,0.0,6.060033,0.0,2.949936,2.469366,0.0,4.600878
chr1_115052481_115052766,9.728765,0.0,15.468331,0.0,29.581799,6.060033,22.835938,1.6885869999999998,2.469366,2.106725,7.8954559999999985
chr1_115605190_115605611,18.142615,0.0,9.939402,34.0,8.288376,0.0,15.673476999999998,0.0,0.0,2.026597,7.025241
chr1_115605746_115606114,18.142615,0.0,9.939402,11.0,8.288376,0.0,15.673476999999998,0.0,0.0,2.026597,7.025241
chr1_115627657_115627928,6.482437,0.0,9.881299,56.0,7.363139,0.0,9.790003,0.0,0.0,2.026597,6.4577339999999985
chr1_115709526_115709713,12.280176,0.0,9.86892,28.0,7.713098,0.0,6.482484,0.0,0.0,2.026597,8.960948
chr1_115722074_115722498,5.053116,0.0,4.479115,0.0,0.0,0.0,4.090214,0.0,0.0,2.026597,5.574196
chr1_115732772_115733197,9.731760000000001,0.0,6.810313000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.026597,8.686363
chr1_115968975_115969167,9.094787,0.0,7.6922929999999985,44.0,0.0,0.0,3.684517,0.0,0.0,2.026597,5.922552
chr1_116088478_116088732,5.329939,29.709669,7.368867,29.0,0.0,0.0,8.869562,0.0,0.0,2.026597,5.311881
chr1_116918925_116919548,23.208157,0.0,20.014951,49.33333333333334,20.256821,12.713462,21.931614,5.43741,2.414993,2.026597,13.838039000000002
chr1_116920378_116921129,23.208157,0.0,20.014951,92.0,20.256821,12.713462,21.931614,5.43741,2.414993,2.026597,13.838039000000002
chr1_116923407_116923493,23.208157,0.0,20.014951,0.0,3.020126,12.713462,0.0,5.43741,2.414993,2.026597,13.838039000000002
chr1_117030831_117031034,10.0615525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.817097
chr1_117032033_117032296,10.0615525,0.0,10.359825,81.0,7.566061,0.0,0.0,0.0,0.0,0.0,10.817097
chr1_117050808_117051139,8.055214999999999,0.0,6.773846000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.876908
chr1_117051576_117051921,8.055214999999999,0.0,6.773846000000002,28.5,0.0,0.0,0.0,0.0,0.0,0.0,10.876908
chr1_117111804_117112156,8.727877000000001,0.0,11.924299,0.0,15.290994,3.220974,17.726592,0.0,1.767452,0.0,0.0
chr1_117112460_117112738,8.727877000000001,41.48901,11.924299,0.0,15.290994,3.220974,17.726592,0.0,1.767452,0.0,10.963817
chr1_117421623_117422020,7.951413,4.332664,12.568243,25.0,11.734291,0.0,9.150322,0.0,0.0,2.765564,12.063624
chr1_117422443_117422644,7.951413,0.0,0.0,0.0,0.0,0.0,9.150322,0.0,0.0,2.765564,12.063624
chr1_117493512_117493635,4.250193,0.0,0.0,0.0,0.0,0.0,0.0,1.840219,0.0,0.0,5.500058
chr1_117533270_117533527,10.018312,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,3.073341
chr1_11968510_11969143,25.427343,18.137564,10.968181,52.0,23.150687,0.0,20.736307,0.0,0.0,0.0,7.543561
chr1_11990003_11990329,9.990571,0.0,12.811525,28.0,0.0,0.0,0.0,3.0483830000000003,0.0,0.0,11.875243
chr1_120255895_120256325,8.587591,0.0,12.525284,0.0,20.345417,5.17765,11.720164,2.760671,0.0,0.0,5.806603
chr1_12046023_12046196,23.700152,0.0,11.009684,76.0,11.406573,9.014712,13.2045555,3.0483830000000003,1.662029,0.0,10.26712
chr1_12050736_12051137,3.255467,0.0,0.0,0.0,0.0,9.014712,0.0,3.0483830000000003,1.662029,0.0,4.088705
chr1_12193120_12193399,7.951542,0.0,11.516371,71.0,4.448563,0.0,18.01674,0.0,0.0,0.0,10.209774
chr1_12213128_12213883,11.169738,0.0,5.097958,30.0,0.0,0.0,6.021397,2.276146,0.0,0.0,10.887473
chr1_12221931_12222397,14.029491,0.0,8.391245,151.0,0.0,4.099966,0.0,2.276146,0.0,0.0,13.655658
chr1_12227833_12229578,5.9393720000000005,0.0,14.228805,41.66666666666666,17.203535000000002,4.099966,14.538592,2.276146,1.940553,0.0,12.939613
chr1_12233600_12234159,25.235671,0.0,0.0,0.0,0.0,4.099966,0.0,2.276146,1.940553,0.0,12.458581
chr1_12235070_12235463,25.235671,0.0,5.48686,27.0,0.0,4.099966,9.374164,2.276146,1.940553,0.0,12.458581
chr1_12236326_12236421,25.235671,0.0,0.0,0.0,0.0,4.099966,0.0,5.631214999999999,0.0,0.0,12.458581
chr1_12237719_12238747,25.235671,0.0,8.892388,52.0,0.0,4.099966,15.491036,2.276146,0.0,0.0,12.458581
chr1_12238984_12239461,25.235671,0.0,8.892388,110.0,11.590194,4.099966,15.491036,2.276146,0.0,0.0,12.458581
chr1_12240401_12240902,25.235671,0.0,8.892388,0.0,0.0,4.099966,15.491036,2.276146,0.0,0.0,12.458581
chr1_12243852_12244671,14.848694,26.245203000000004,6.9084330000000005,145.0,3.38125,4.099966,11.456605,2.276146,0.0,0.0,9.797621
chr1_12245348_12245387,14.848694,0.0,6.9084330000000005,0.0,3.38125,4.099966,11.456605,2.276146,1.590848,0.0,9.797621
chr1_12493313_12493712,24.930129,0.0,14.165221,60.0,6.450216,0.0,25.375216,2.276146,0.0,0.0,18.428043
chr1_12493910_12494304,24.930129,0.0,14.165221,44.5,6.450216,0.0,25.375216,2.276146,0.0,0.0,18.428043
chr1_12508783_12509005,8.165606,0.0,0.0,0.0,0.0,1.496618,0.0,2.276146,0.0,0.0,12.415819
chr1_12509354_12509466,8.165606,0.0,0.0,0.0,0.0,1.496618,0.0,2.276146,0.0,0.0,12.415819
chr1_12533412_12533678,8.165606,0.0,0.0,0.0,0.0,0.0,0.0,2.276146,0.0,0.0,14.308155
chr1_12546528_12546819,8.165606,0.0,0.0,0.0,0.0,0.0,0.0,2.276146,0.0,0.0,0.0
chr1_12599928_12600179,5.4631690000000015,11.838886,14.009944,34.0,0.0,0.0,10.8902,2.276146,0.0,0.0,6.7165740000000005
chr1_12600525_12600853,5.4631690000000015,0.0,4.932072,41.0,0.0,0.0,10.8902,2.276146,0.0,0.0,6.7165740000000005
chr1_12609717_12610039,14.945007,0.0,8.562954,145.0,7.3937339999999985,0.0,16.677695,2.276146,0.0,0.0,8.278167
chr1_12675687_12675874,19.531801,0.0,18.293953,0.0,28.663325,2.437727,28.839129,2.276146,1.877294,0.0,7.911097
chr1_142538903_142539547,5.242497,6.398707,5.528965,30.0,9.228753,4.2843870000000015,5.47583,6.7334130000000005,6.973835,6.488393,6.2431
chr1_144533627_144534178,8.285633,2.442831,12.849647500000001,95.0,13.287972,0.0,13.758982500000002,1.665031,2.011894,7.648882,6.43461
chr1_144536201_144536370,8.285633,2.442831,8.6543,35.0,9.705956,0.0,3.587718,1.665031,2.011894,7.648882,6.43461
chr1_144908312_144908601,28.756694,2.086326,14.369108,32.0,5.7828050000000015,6.986085000000001,16.213527,3.432463,0.0,0.0,12.834322
chr1_144908806_144909147,28.756694,2.086326,14.369108,42.5,5.7828050000000015,6.986085000000001,16.213527,3.432463,0.0,0.0,12.834322
chr1_144927217_144927550,10.14744,7.7342475,42.76576,22.5,41.924997,6.986085000000001,22.790998,3.432463,2.106465,0.0,17.183147
chr1_145009158_145009716,2.534713,2.086326,14.9091905,125.0,2.022777,0.0,18.298901,2.625743,3.09532,0.0,9.2522495
chr1_145012331_145013054,2.534713,2.086326,3.900459,0.0,2.022777,0.0,0.0,2.625743,3.09532,3.722108,3.521902
chr1_145042783_145043227,7.864843,2.086326,16.026501,119.0,4.841622,0.0,5.119141,2.625743,3.09532,0.0,9.6546645
chr1_145090155_145090603,15.892026,2.086326,12.822002000000001,82.0,14.095721,6.584401,4.029827,2.625743,3.09532,0.0,9.6170795
chr1_145092450_145092883,15.892026,6.825582000000001,12.822002000000001,102.0,19.5876055,6.584401,26.188471,2.625743,3.09532,0.0,9.6170795
chr1_145113904_145114998,2.566576,2.086326,0.0,0.0,1.876738,6.584401,3.897838,2.625743,3.09532,3.727908,1.7878630000000002
chr1_145226678_145226829,6.2249895,0.0,4.9620489999999995,0.0,0.0,3.483902,0.0,0.0,0.0,0.0,6.716676
chr1_145437595_145437817,5.901766,0.0,21.602547,35.0,29.143406,6.5173510000000014,10.974561,0.0,0.0,0.0,8.136085000000001
chr1_145454760_145454851,19.511351,0.0,10.717568,34.0,0.0,0.0,13.8614195,0.0,0.0,0.0,14.400276000000002
chr1_145455122_145455741,19.511351,15.138055,10.717568,181.0,7.5079449999999985,0.0,15.030216500000002,0.0,0.0,0.0,14.400276000000002
chr1_145526126_145526326,9.468784,0.0,7.894419999999998,0.0,11.749316,7.044005,0.0,2.861499,0.0,0.0,9.560101
chr1_147806841_147807184,11.567536,1.273222,19.193952,34.0,16.384544,0.0,14.663388,0.0,0.0,4.638769,5.0885050000000005
chr1_149215297_149215704,8.523516,0.0,14.096962,36.0,8.370746,0.0,8.925053,0.0,0.0,2.613113,0.0
chr1_149981648_149981889,19.5511,0.0,20.393509,70.0,38.146508,4.779473,33.040333000000004,2.72004,2.101414,0.0,0.0
chr1_150135231_150135764,8.041483,0.0,11.979587,124.0,7.900197,0.0,11.416499,0.0,2.246676,0.0,11.019626
chr1_150185878_150186128,6.814075,8.063041499999999,14.242213,97.0,20.239909,0.0,18.607312,0.0,0.0,0.0,5.620891
chr1_150294873_150295138,22.262916,0.0,15.418944,0.0,33.492276000000004,9.973339,18.47907,3.354651,0.0,0.0,6.92824
chr1_150577042_150577503,47.045191,0.0,8.655128999999999,155.0,10.009268,0.0,13.814629,0.0,0.0,0.0,10.843716
chr1_150585815_150586394,36.887437,0.0,11.04338,94.0,12.6279165,7.014858,19.857144,3.646509,0.0,0.0,10.569226
chr1_150592182_150592667,9.182711,22.303616,4.665182,47.0,0.0,7.116142999999999,4.997038,3.646509,0.0,0.0,9.6702
chr1_150600412_150600701,18.292267,0.0,16.781489999999998,0.0,34.745259000000004,7.116142999999999,27.705401,3.646509,0.0,0.0,7.895801
chr1_150735950_150736336,15.890999,0.0,8.581197999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.792389
chr1_150949569_150950014,14.737471,0.0,16.290331,67.0,8.066230000000001,0.0,10.155293,0.0,0.0,0.0,5.5874655
chr1_151166314_151166527,13.149613,0.0,0.0,0.0,0.0,0.0,0.0,3.071992,1.962759,0.0,0.0
chr1_151168297_151168505,13.149613,0.0,13.416922,0.0,10.759316,0.0,22.401259,3.071992,1.962759,0.0,5.6438739999999985
chr1_151172142_151172526,13.149613,0.0,13.416922,0.0,50.046338,11.415076,22.401259,3.071992,1.962759,0.0,5.6438739999999985
chr1_151172620_151173197,13.149613,0.0,13.416922,22.0,50.046338,11.415076,22.401259,3.071992,1.962759,0.0,5.6438739999999985
chr1_151284018_151284391,8.824000999999997,0.0,6.109399,125.0,0.0,5.610264,8.121633000000001,3.884523,2.43397,0.0,14.607442
chr1_151445792_151446161,7.001525999999999,0.0,14.430132,35.0,11.487429,0.0,15.040469,0.0,0.0,0.0,3.268072
chr1_151871280_151871437,10.924895,0.0,10.950504,22.0,0.0,4.407867,0.0,2.12463,0.0,0.0,6.517207
chr1_151877533_151877895,15.04327,0.0,8.386571,31.0,10.842958,4.407867,12.102794,0.0,0.0,0.0,7.441122999999998
chr1_151916920_151917624,11.602346,0.0,8.059629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.132818
chr1_151918898_151919222,11.602346,0.0,8.059629,0.0,5.208074,0.0,11.430829,0.0,0.0,0.0,10.132818
chr1_151945068_151945221,11.64673,0.0,17.465874,22.0,4.6464690000000015,0.0,14.656741,0.0,0.0,0.0,11.963083
chr1_151960875_151961433,19.655739,0.0,22.302156,52.0,25.933757,13.066869,22.212134,4.852689499999999,4.325932,0.0,15.033907999999998
chr1_151961675_151962369,19.655739,0.0,22.302156,34.0,25.933757,13.066869,22.212134,4.852689499999999,4.386429,0.0,15.033907999999998
chr1_151968368_151968560,19.655739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151191000000002,15.033907999999998
chr1_152006910_152007460,15.098817000000002,42.157406,23.710707,38.5,48.545955,9.945936,28.194183,6.684404,1.738919,5.151191000000002,12.586849
chr1_152007615_152008057,15.098817000000002,9.301082,23.710707,27.0,48.545955,9.945936,28.194183,6.684404,1.738919,5.151191000000002,12.586849
chr1_152022022_152022514,7.989762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151191000000002,10.003754
chr1_15335392_15335732,16.121422,0.0,8.840693,104.0,6.946472,0.0,8.492238,0.0,0.0,0.0,12.724153666666664
chr1_153504746_153504953,27.274552000000003,32.317223,21.719141,23.0,30.377544,11.264111,24.549352,0.0,0.0,0.0,13.60442
chr1_153541018_153541368,47.15583,88.020533,7.095731,88.0,0.0,0.0,20.31852,0.0,0.0,0.0,16.144417999999998
chr1_153583449_153583810,49.801545,4.0956769999999985,11.9977055,0.0,27.429877,14.964506,45.773869,3.5238660000000004,0.0,0.0,14.239656
chr1_153670755_153671012,25.988613,0.0,9.610849,134.0,4.2898510000000005,0.0,13.431051,0.0,0.0,0.0,12.783034
chr1_153762591_153763309,10.916357,0.0,11.146225,55.0,4.235192,0.0,5.54108,0.0,0.0,0.0,6.784417
chr1_153936554_153936861,14.113054,0.0,18.496155,0.0,21.144735,6.362936,18.938586,2.460776,0.0,0.0,9.198565499999999
chr1_154154606_154155027,16.5211845,0.0,16.524604999999998,56.0,24.945106,13.428677,23.716694,5.119587,3.30702,0.0,9.934131
chr1_15416988_15417263,2.947485,0.0,7.258883999999999,64.0,0.0,0.0,3.62729,0.0,1.238846,0.0,6.487046
chr1_154299137_154299452,8.740979,29.842134,12.985219,0.0,14.440531,4.8824239999999985,11.328501,0.0,0.0,2.348363,14.360217
chr1_154391539_154392211,10.3898605,0.0,14.410228,132.0,5.998063,0.0,13.062331,0.0,0.0,0.0,11.348168
chr1_154392646_154393050,10.3898605,0.0,14.410228,127.0,5.998063,0.0,13.062331,0.0,0.0,0.0,11.348168
chr1_154397743_154397997,3.244601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.348168
chr1_154404273_154404562,5.675549,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49868
chr1_154405181_154405498,3.244601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49868
chr1_154468503_154468634,11.510406,0.0,8.445808999999999,30.0,23.095318,7.434325999999999,10.087464,5.2408199999999985,0.0,0.0,12.149971
chr1_154579303_154579782,13.74927,0.0,14.74846,0.0,28.237863,7.247903,25.061989,3.783201,2.47503,0.0,4.3535224999999995
chr1_154582047_154582244,13.74927,0.0,14.74846,0.0,28.237863,7.247903,25.061989,3.783201,2.47503,0.0,7.032276
chr1_154910155_154910399,38.107584,14.775266,20.927461,0.0,23.68015,0.0,42.338003,0.0,0.0,0.0,11.297981
chr1_154972628_154972915,8.176967999999999,6.746864,11.87393,24.0,16.573275,5.6330160000000005,11.200748,0.0,0.0,0.0,5.987325
chr1_154973036_154973200,8.176967999999999,6.746864,11.87393,0.0,16.573275,5.6330160000000005,11.200748,0.0,0.0,0.0,5.987325
chr1_154973335_154973935,8.176967999999999,6.746864,11.87393,102.0,16.573275,5.6330160000000005,11.200748,0.0,0.0,0.0,5.987325
