name,H3k9ac_E,H3k79me2_E,H3k4me2_E,H3k4me3_E,DNaseI_E,H3k4me1_E,Pol2_E,H3k36me3_E,H3k27ac_E,H3k27me3_E,Ctcf_E,H4k20me1_E,DNaseI_P,H3k4me2_P,Pol2_P,H3k9ac_P,H3k4me3_P,H3k36me3_P,H3k4me1_P,H3k79me2_P,H3k27ac_P,H3k27me3_P,H4k20me1_P,Ctcf_P,corr,distance,css,label
chr1_2501788_2502413-chr1_2076618_2077718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,0.0,1.7916310000000002,0.0,1.0,424070,0.02,1
chr1_2989176_2989511-chr1_2937046_2938146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1791789999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5659340659340659,51030,0.48,1
chr1_3229711_3230157-chr1_2476904_2478004,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,2.344384,0.0,0.0,76.0,7.8772509999999984,0.0,7.289279,7.040214999999999,0.0,4.295566666666667,0.0,0.0,2.110391,0.0,0.0,-0.12637362637362637,751707,0.0,1
chr1_3232812_3232866-chr1_2729157_2730257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,502555,0.0,1
chr1_1714020_1714715-chr1_61948_63048,10.833736,14.197308999999999,8.158011,6.085439,37.0,7.631455,3.181755,0.0,0.0,0.0,0.0,4.124376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09340659340659341,1650972,0.0,1
chr1_2230678_2230895-chr1_2323046_2324146,0.0,13.419210999999999,7.955622,0.0,0.0,4.25232,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004,97.0,17.623486999999994,3.9342669999999997,14.226496,16.491191,6.134133,7.513431,7.487503,10.783648,0.0,2.769763,0.0,0.09340659340659341,92151,0.02,1
chr1_3463934_3464260-chr1_1630369_1631469,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.8690729999999998,0.0,1.339545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120879120879121,1832465,0.0,1
chr1_941791_942135-chr1_1182002_1183102,4.870193,0.0,9.428131,0.0,33.0,10.674263,0.0,0.0,0.0,7.103796000000001,0.0,0.0,19.0,3.3742099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7067865,0.0,0.0,0.5934065934065934,239867,1.85,1
chr1_3086923_3087330-chr1_2115728_2116828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,970095,1.56,1
chr1_2190530_2190674-chr1_839214_840314,0.0,13.419210999999999,0.0,0.0,0.0,5.733043,2.18966,2.424852,0.0,0.0,0.0,3.5427730000000004,69.0,5.867652,0.0,4.1612919999999995,3.8103860000000003,0.0,0.0,0.0,0.0,8.875681,0.0,17.289789499999998,-0.5274725274725274,1350216,0.0,1
chr1_3290271_3290590-chr1_2731463_2732563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918364,0.0,1.339545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,557708,0.0,1
chr1_3620035_3620325-chr1_2306692_2307792,3.4880269999999998,0.0,6.207195,3.3897785000000002,74.0,9.228012,0.0,0.0,7.880358,0.0,16.576964,1.339545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.371525,1.9749900000000002,0.0,0.9175824175824175,1312243,0.48,1
chr1_2574343_2574764-chr1_2345136_2346236,15.028381,0.0,9.944528,9.870039,100.5,3.395769,0.0,0.0,9.430052,2.7151549999999998,0.0,0.0,37.333333333333336,8.939286,2.342038,17.323055,12.888976,0.0,8.78369,7.487503,0.0,0.0,0.0,41.312646,0.13186813186813184,228107,0.0,1
chr1_1136667_1137146-chr1_1590373_1591473,4.9459089999999994,0.0,10.892559,0.0,35.5,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,162.0,8.577017999999999,0.0,15.19378025,14.9202565,0.0,0.0,0.0,6.3367830000000005,0.0,0.0,15.887251999999998,0.4340659340659341,453227,0.0,1
chr1_1772108_1772256-chr1_933331_934431,0.0,14.197308999999999,0.0,0.0,0.0,8.011892,3.181755,0.0,9.544533,0.0,0.0,4.124376,0.0,8.973523,4.322431,16.221198,7.467632000000001,0.0,3.3627019999999996,0.0,0.0,10.183063,1.945403,0.0,-0.07692307692307687,837677,0.02,1
chr1_2501788_2502413-chr1_1284630_1285730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278893,0.0,0.0,45.0,10.272766,3.1760330000000003,14.655504999999998,13.173851,2.862447,0.0,6.217383,10.960366,0.0,0.0,18.578444,-0.34615384615384626,1216058,0.0,1
chr1_1814762_1815124-chr1_28554_29654,0.0,14.197308999999999,0.0,0.0,0.0,0.0,3.181755,0.0,0.0,0.0,0.0,4.124376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478021978021978,1785108,0.0,1
chr1_3420761_3421065-chr1_2143913_2145013,12.436588,0.0,4.676755,0.0,85.0,11.729828999999999,0.0,0.0,0.0,2.8690729999999998,0.0,1.339545,62.0,7.197181,0.0,18.930679,8.259962,0.0,8.300421,0.0,14.430267,0.0,0.0,22.85228,-0.15934065934065944,1275748,0.0,1
chr1_2574343_2574764-chr1_1310775_1311875,15.028381,0.0,9.944528,9.870039,100.5,3.395769,0.0,0.0,9.430052,2.7151549999999998,0.0,0.0,246.0,14.8163195,4.431954,19.556867,15.788839000000001,0.0,7.856258,8.537504333333333,8.219299000000001,0.0,0.0,13.224658999999999,-0.14835164835164827,1262468,2.31,1
chr1_3267475_3267612-chr1_1341032_1342132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918364,0.0,1.339545,0.0,9.310885,3.073366,21.978595000000002,18.191996,15.86113,8.349248,11.689865,8.62158,0.0,2.122343,0.0,0.6373626373626373,1925343,0.48,1
chr1_1136075_1136463-chr1_1313046_1314146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122343,0.0,0.20329670329670335,176583,0.0,1
chr1_3231556_3231634-chr1_1284630_1285730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344384,0.0,0.0,45.0,10.272766,3.1760330000000003,14.655504999999998,13.173851,2.862447,0.0,6.217383,10.960366,0.0,0.0,18.578444,-0.1703296703296704,1945826,0.0,1
chr1_1295535_1296332-chr1_700205_701305,4.4129830000000005,0.0,4.999432,0.0,70.0,8.266182,5.978118,0.0,10.305083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461542,594230,0.0,1
chr1_1136075_1136463-chr1_713906_715006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,247.0,12.031651,14.58346,9.291831,9.162154,0.0,0.0,0.0,8.493799000000001,0.0,0.0,14.731145000000001,0.2692307692307693,421069,0.0,1
chr1_3133891_3134283-chr1_3630762_3631862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352364,0.0,0.0,0.0,0.0,0.0,0.0,1.940881,0.0,0.0,0.0,0.0,0.0,1.339545,0.0,0.8846153846153846,496479,0.02,1
chr1_3077832_3078221-chr1_1341032_1342132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.310885,3.073366,21.978595000000002,18.191996,15.86113,8.349248,11.689865,8.62158,0.0,2.122343,0.0,0.2582417582417582,1735700,0.48,1
chr1_1978731_1978937-chr1_532778_533878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3540509999999997,0.0,3.2633240000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17032967032967028,1444853,0.0,1
chr1_1793829_1793862-chr1_894589_895689,0.0,14.197308999999999,0.0,0.0,0.0,0.0,7.0704385,0.0,0.0,0.0,0.0,4.124376,89.0,6.600402000000001,0.0,12.61086,13.49156,3.239154,1.9719229999999999,6.948322999999999,14.228425,9.529751,2.741156,0.0,-0.22527472527472536,898140,0.02,1
chr1_2059932_2059994-chr1_2142962_2144062,0.0,2.457728,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,2.1171729999999997,110.0,7.197181,0.0,18.930679,0.0,0.0,8.300421,0.0,14.430267,0.0,0.0,22.85228,0.15934065934065933,82968,0.0,1
chr1_3817648_3818071-chr1_2115728_2116828,18.673459,10.973222,10.804369,17.556447,116.0,0.0,0.0,3.0677369999999997,12.206425,1.9977619999999998,0.0,1.339545,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,0.0,0.0,0.0,-0.10989010989010994,1700820,1.45,1
chr1_3077832_3078221-chr1_1209165_1210265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,11.814249,2.28169,21.205382,14.539437,0.0,4.9570425,8.934137,14.8717605,0.0,2.163595,0.0,-0.2802197802197801,1867567,0.48,1
chr1_1368471_1368786-chr1_2145520_2146620,0.0,0.0,9.060271,8.435031,99.0,7.764867500000001,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.197181,0.0,11.909144,0.0,0.0,8.300421,0.0,0.0,0.0,0.0,0.0,0.48351648351648346,776734,0.0,1
chr1_1978731_1978937-chr1_1603714_1604814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3540509999999997,0.0,3.2633240000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.791771,0.0,0.0,0.0,0.0,0.0,0.0,0.17032967032967028,373917,1.83,1
chr1_1173386_1173736-chr1_563442_564542,8.679890499999999,4.954655000000002,8.856010000000003,3.499074,26.0,4.569776999999998,2.0876349999999997,0.0,0.0,13.88376,0.0,2.0585310000000003,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,608844,0.0,1
chr1_1173386_1173736-chr1_2322267_2323367,8.679890499999999,4.954655000000002,8.856010000000003,3.499074,26.0,4.569776999999998,2.0876349999999997,0.0,0.0,13.88376,0.0,2.0585310000000003,100.5,10.861566,0.0,14.226496,16.491191,0.0,0.0,7.487503,11.326157,0.0,2.769763,0.0,-0.30219780219780223,1148531,0.46,1
chr1_1136667_1137146-chr1_1509355_1510455,4.9459089999999994,0.0,10.892559,0.0,35.5,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,61.0,12.443097999999999,9.990877000000001,42.317411,27.971740000000004,2.91488,0.0,8.406878,24.27879200000001,0.0,2.7982549999999997,21.478294,-0.24725274725274726,372209,0.02,1
chr1_2190530_2190674-chr1_2564381_2565481,0.0,13.419210999999999,0.0,0.0,0.0,5.733043,2.18966,2.424852,0.0,0.0,0.0,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7151549999999998,0.0,0.0,0.3296703296703297,373707,0.48,1
chr1_2505035_2505361-chr1_523733_524833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1551869999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1980202,0.0,1
chr1_2172142_2172385-chr1_935452_936552,3.2832589999999997,13.419210999999999,0.0,0.0,0.0,0.0,2.18966,2.424852,0.0,0.0,1.797538,3.5427730000000004,78.5,8.973523,14.990341,16.221198,7.467632000000001,0.0,6.720539,0.0,11.43994,10.183063,0.0,0.0,-0.016483516483516425,1235590,0.02,1
chr1_1136075_1136463-chr1_2496849_2497949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993826,0.0,0.0,0.27472527472527475,1360386,0.0,1
chr1_2478276_2478817-chr1_567915_569015,7.289279,0.0,7.8772509999999984,7.040214999999999,134.0,4.7882815,0.0,0.0,10.866775,2.110391,13.203869000000001,0.0,76.0,0.0,10.687028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39010989010989006,1909261,0.0,1
chr1_1978731_1978937-chr1_807672_808772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3540509999999997,0.0,3.2633240000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1648351648351648,1169959,0.0,1
chr1_4079242_4079460-chr1_3369990_3371090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,10.817447,1.631625,11.167549000000001,8.505017,0.0,7.577934,0.0,7.695373,2.918364,1.339545,34.8157545,-0.29670329670329676,708152,0.0,1
chr1_1063914_1064111-chr1_567137_568237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983290000000003,0.0,0.0,101.0,0.0,22.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.152176,0.5164835164835164,495677,0.0,1
chr1_3463934_3464260-chr1_2144059_2145159,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.8690729999999998,0.0,1.339545,62.0,7.197181,0.0,18.930679,8.259962,0.0,8.300421,0.0,14.430267,0.0,0.0,22.85228,0.27472527472527475,1318775,0.0,1
chr1_3374928_3375314-chr1_2356419_2357519,0.0,0.0,0.0,0.0,0.0,8.183442999999999,1.631625,1.66605,0.0,0.0,0.0,1.339545,0.0,0.0,0.0,0.0,0.0,3.539962,0.0,7.487503,0.0,0.0,3.480511,0.0,0.34065934065934067,1017409,0.0,1
chr1_1060905_1061095-chr1_1209165_1210265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983290000000003,0.0,0.0,131.0,11.814249,2.28169,21.205382,14.539437,0.0,4.9570425,8.934137,14.8717605,0.0,2.163595,0.0,-0.4065934065934067,148070,0.48,1
chr1_3581269_3581645-chr1_3402810_3403910,0.0,0.0,6.5444845,0.0,23.0,8.573564,0.0,0.0,0.0,4.089533,0.0,1.339545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8690729999999998,1.339545,0.0,0.6373626373626373,177359,0.0,1
chr1_1005293_1005547-chr1_1821910_1823010,3.4488019999999997,0.0,8.432566,0.0,29.0,2.5350085,0.0,0.0,0.0,4.58371,0.0,2.529923,85.0,10.521476,3.181755,17.884748000000005,13.126017000000001,0.0,0.0,14.197308999999999,10.026635,3.2633240000000003,4.124376,0.0,-0.0494505494505495,816363,1.91,1
chr1_2221868_2222548-chr1_2937046_2938146,0.0,13.419210999999999,0.0,0.0,19.0,0.0,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08241758241758235,714498,0.48,1
chr1_2162325_2162996-chr1_2978859_2979959,16.834481,13.419210999999999,14.866867000000001,14.740470000000002,20.0,7.8901520000000005,2.18966,2.424852,11.282338000000001,0.0,3.929321,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1791789999999995,0.0,0.0,-0.15384615384615374,815863,0.0,1
chr1_3620035_3620325-chr1_2731463_2732563,3.4880269999999998,0.0,6.207195,3.3897785000000002,74.0,9.228012,0.0,0.0,7.880358,0.0,16.576964,1.339545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175824175824175,887472,0.0,1
chr1_3086923_3087330-chr1_1334608_1335708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,18.435501000000002,5.2250260000000015,27.322596,32.054075,7.2640970000000005,6.373096,11.689865,11.954258,0.0,2.122343,6.7244850000000005,-0.6043956043956045,1751215,1.56,1
chr1_1793829_1793862-chr1_1551075_1552175,0.0,14.197308999999999,0.0,0.0,0.0,0.0,7.0704385,0.0,0.0,0.0,0.0,4.124376,69.66666666666667,13.525282,10.089186,16.844845,14.406835999999998,0.0,11.607004,4.533853,10.760337,0.0,1.7319,1.7283580000000005,-0.3351648351648351,241654,0.02,1
chr1_3581269_3581645-chr1_1603714_1604814,0.0,0.0,6.5444845,0.0,23.0,8.573564,0.0,0.0,0.0,4.089533,0.0,1.339545,0.0,0.0,0.0,0.0,0.0,3.791771,0.0,0.0,0.0,0.0,0.0,0.0,0.6373626373626373,1976455,0.0,1
chr1_1978731_1978937-chr1_1845266_1846366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3540509999999997,0.0,3.2633240000000003,0.0,0.0,0.0,0.0,3.181755,0.0,0.0,0.0,0.0,0.0,0.0,3.2633240000000003,0.0,0.0,0.3846153846153846,132365,0.02,1
chr1_3290271_3290590-chr1_2476904_2478004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918364,0.0,1.339545,76.0,7.8772509999999984,0.0,7.289279,7.040214999999999,0.0,4.295566666666667,0.0,0.0,2.110391,0.0,0.0,-0.13736263736263732,812267,0.0,1
chr1_2505035_2505361-chr1_2159134_2160234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1551869999999997,0.0,0.0,154.5,14.866867000000001,2.18966,16.834481,14.740470000000002,2.424852,0.0,13.419210999999999,11.0934055,0.0,3.5427730000000004,1.797538,-0.24725274725274726,344801,0.0,1
chr1_1093610_1093958-chr1_1360508_1361608,24.484659,0.0,11.953522999999999,13.741314000000001,0.0,8.26741,0.0,0.0,10.393802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06593406593406592,266550,2.29,1
chr1_1005293_1005547-chr1_693616_694716,3.4488019999999997,0.0,8.432566,0.0,29.0,2.5350085,0.0,0.0,0.0,4.58371,0.0,2.529923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30219780219780223,310577,0.0,1
chr1_2231691_2232185-chr1_458656_459756,0.0,13.419210999999999,0.0,0.0,0.0,4.25232,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4340659340659341,1771935,0.0,1
chr1_1063914_1064111-chr1_713150_714250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983290000000003,0.0,0.0,247.0,15.232732,14.58346,9.291831,9.162154,0.0,0.0,4.194158,8.493799000000001,0.0,0.0,14.731145000000001,-0.2802197802197801,349664,0.0,1
chr1_2509702_2510198-chr1_1214816_1215916,0.0,0.0,0.0,0.0,29.0,4.424112,0.0,0.0,0.0,2.278893,20.449069,0.0,0.0,0.0,2.28169,0.0,0.0,0.0,2.151698,0.0,0.0,2.063804,2.163595,0.0,-0.14835164835164827,1293786,0.02,1
chr1_2162325_2162996-chr1_1103385_1104485,16.834481,13.419210999999999,14.866867000000001,14.740470000000002,20.0,7.8901520000000005,2.18966,2.424852,11.282338000000001,0.0,3.929321,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,4.094208,0.0,11.153985,0.0,0.0,2.386882,0.0,-0.06593406593406592,1057840,0.46,1
chr1_2140151_2140337-chr1_1333902_1335002,0.0,0.0,0.0,0.0,0.0,8.290039,0.0,0.0,0.0,0.0,0.0,0.0,81.0,19.850952333333336,5.2250260000000015,27.322596,32.054075,6.418504,6.373096,11.689865,11.954258,0.0,2.122343,6.7244850000000005,-0.5164835164835164,805149,0.48,1
chr1_2190530_2190674-chr1_2984901_2986001,0.0,13.419210999999999,0.0,0.0,0.0,5.733043,2.18966,2.424852,0.0,0.0,0.0,3.5427730000000004,29.0,11.317266,0.0,0.0,3.5989160000000004,0.0,0.0,0.0,0.0,7.1791789999999995,0.0,0.0,0.6208791208791209,794227,0.48,1
chr1_1136075_1136463-chr1_2718186_2719286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626373626373627,1581723,0.0,1
chr1_2231691_2232185-chr1_332136_333236,0.0,13.419210999999999,0.0,0.0,0.0,4.25232,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4340659340659341,1898455,0.0,1
chr1_2231691_2232185-chr1_2315811_2316911,0.0,13.419210999999999,0.0,0.0,0.0,4.25232,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.487503,0.0,0.0,0.0,0.0,0.4065934065934066,83626,0.48,1
chr1_3111769_3111989-chr1_1602429_1603529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.791771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1508240,2.53,1
chr1_2501788_2502413-chr1_567137_568237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278893,0.0,0.0,101.0,0.0,22.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.152176,0.5989010989010989,1933551,0.0,1
chr1_1136667_1137146-chr1_2076618_2077718,4.9459089999999994,0.0,10.892559,0.0,35.5,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,0.0,1.7916310000000002,0.0,-0.04395604395604402,939472,0.02,1
chr1_1063914_1064111-chr1_2729157_2730257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983290000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7527472527472527,1665046,0.0,1
chr1_2254081_2254230-chr1_2516930_2518030,0.0,0.0,9.885878,3.4878050000000003,24.0,7.574419,0.0,0.0,0.0,7.351928000000001,0.0,0.0,98.0,18.480062,0.0,8.467651,9.897461999999999,0.0,4.798566,0.0,9.40587,2.497024,0.0,0.0,-0.3131868131868132,262700,2.29,1
chr1_1978731_1978937-chr1_817043_818143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3540509999999997,0.0,3.2633240000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.053971,0.0,0.0,0.17032967032967028,1160588,0.0,1
chr1_5160051_5160190-chr1_3527959_3529059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.502544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.550758,1.339545,0.0,-0.19780219780219777,1630992,0.0,1
chr1_1793829_1793862-chr1_130025_131125,0.0,14.197308999999999,0.0,0.0,0.0,0.0,7.0704385,0.0,0.0,0.0,0.0,4.124376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1662704,0.0,1
chr1_3133891_3134283-chr1_1384069_1385169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978021978021978,1748722,0.02,1
