name,H3k36me3_E,DNaseI_E,H3k27ac_E,H3k27me3_E,H3k9ac_E,H4k20me1_E,H3k4me1_E,H3k4me3_E,Ctcf_E,H3k79me2_E,H3k4me2_E,H3k4me3_P,H3k4me1_P,Ctcf_P,H3k36me3_P,H3k4me2_P,H3k27me3_P,H3k79me2_P,DNaseI_P,H3k9ac_P,H4k20me1_P,H3k27ac_P,corr,distance,css,label
chr1_1063914_1064111-chr1_900877_901977,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,10.824191,0.0,0.0,0.0,5.308733,0.0,0.0,0.2086,14.524818,1.198307,17.483083999999998,-0.2802197802197801,161937,2.31,1
chr1_2509702_2510198-chr1_745441_746541,0.0,0.0301,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.2802197802197801,1763161,0.0,1
chr1_2230678_2230895-chr1_947803_948903,0.0,0.0362,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,7.546384,0.0,14.660003,6.444994,0.0,0.0,8.975464,0.0,0.0,0.0641,13.800188,1.198307,13.60118,-0.0219780219780219,1281775,0.02,1
chr1_2254081_2254230-chr1_943509_944609,0.0,0.0323,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.5219780219780219,1309472,0.0,1
chr1_1814762_1815124-chr1_564290_565390,2.0116110000000003,0.0,0.0,0.0,0.0,2.0463855,8.286421,0.0,0.0,6.202486,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5384615384615384,1249372,0.0,1
chr1_1093610_1093958-chr1_621953_623053,0.0,0.3138,17.452682,0.0,14.936694000000001,1.198307,0.0,11.097299000000001,0.0,0.0,8.879799,0,0,0,0,0,0,0,0,0,0,0,-0.18681318681318682,470557,0.0,1
chr1_2253622_2253773-chr1_316720_317820,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.22527472527472525,1935802,0.0,1
chr1_2221868_2222548-chr1_563442_564542,0.0,0.0,0.0,0.0,0.0,2.1974875,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.05494505494505497,1657326,0.0,1
chr1_1952050_1952360-chr1_1209165_1210265,0.0,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.150116,6.055969999999999,0.0,0.0,5.7795905,0.0,9.059591000000001,0.2595,11.576922,1.3306559999999998,6.9639355000000025,-0.2802197802197801,741785,0.48,1
chr1_1136667_1137146-chr1_159446_160546,0.0,0.0,0.0,0.0,0.0,1.3306559999999998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.03846153846153855,976121,0.0,1
chr1_2231691_2232185-chr1_316720_317820,0.0,0.0,0.0,0.0,0.0,4.2750555,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4340659340659341,1913871,0.0,1
chr1_1063914_1064111-chr1_807672_808772,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.8461538461538461,255142,0.0,1
chr1_2172142_2172385-chr1_523733_524833,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5659340659340659,1647309,0.0,1
chr1_1714020_1714715-chr1_61948_63048,2.0116110000000003,0.0598,10.120409,0.0,4.9352480000000005,1.382183,6.113142,8.145578,1.5657020000000001,6.202486,5.104521,0,0,0,0,0,0,0,0,0,0,0,0.09340659340659341,1650972,0.0,1
chr1_1978731_1978937-chr1_333126_334226,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.17032967032967028,1644505,0.0,1
chr1_918449_918555-chr1_523733_524833,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,393616,0.0,1
chr1_941791_942135-chr1_1182002_1183102,0.0,0.0866,4.039199,0.0,3.7230870000000014,1.198307,5.009518,3.821358,0.0,0.0,6.427314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.0,1.3306559999999998,0.0,0.5934065934065934,239867,1.85,1
chr1_2162325_2162996-chr1_621953_623053,1.485586,0.0388,10.058061,0.0,15.55747,2.2128415,5.333579,16.780462,3.709639,7.546384,9.427316000000001,0,0,0,0,0,0,0,0,0,0,0,-0.1923076923076923,1539272,0.0,1
chr1_2190530_2190674-chr1_839214_840314,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,4.769362,0.0,9.927529,0.0,0.0,0.0,0.0,0.06,2.7416099999999997,1.198307,0.0,-0.5274725274725274,1350216,0.0,1
chr1_2231691_2232185-chr1_998568_999668,0.0,0.0,0.0,0.0,0.0,4.2750555,0.0,0.0,0.0,7.546384,0.0,6.563308,9.026933999999999,13.619413,0.0,6.019658,0.0,0.0,0.1411,5.278098,1.198307,5.419936,0.13736263736263732,1232023,0.0,1
chr1_858256_858648-chr1_752992_754092,0.0,0.0,0.0,0.0,0.0,1.473502,10.235116,8.164244,0.0,0.0,3.7938410000000014,0,0,0,0,0,0,0,0,0,0,0,0.8626373626373627,104164,0.0,1
chr1_2574343_2574764-chr1_935452_936552,0.0,0.2894,10.827478999999999,1.951368,11.831274,0.0,0.0,13.516454999999999,0.0,0.0,6.179778,15.851044,0.0,0.0,0.0,9.904401,0.0,6.818239,0.0987,19.807249,1.198307,20.862444,-0.0219780219780219,1637791,0.02,1
chr1_2253622_2253773-chr1_900877_901977,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,10.824191,0.0,0.0,0.0,5.308733,0.0,0.0,0.2086,14.524818,1.198307,17.483083999999998,0.2142857142857143,1351645,0.48,1
chr1_918449_918555-chr1_1209603_1210703,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,16.150116,6.055969999999999,0.0,0.0,5.7795905,0.0,9.059591000000001,0.2595,11.576922,1.3306559999999998,6.9639355000000025,0.09340659340659341,291048,0.0,1
chr1_2177615_2177829-chr1_1242947_1244047,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,16.57878,6.053594,0.0,0.0,10.465375,0.0,4.913233,0.1625,11.200712,1.7585974999999998,10.971179,-0.6648351648351649,933568,0.46,1
chr1_1772108_1772256-chr1_933331_934431,2.0116110000000003,0.0,0.0,0.0,0.0,1.382183,0.0,0.0,0.0,6.202486,0.0,15.851044,0.0,0.0,0.0,7.25793,0.0,0.0,0.0987,19.807249,1.198307,20.862444,-0.07692307692307687,837677,0.02,1
chr1_2221868_2222548-chr1_1101484_1102584,0.0,0.0,0.0,0.0,0.0,2.1974875,0.0,0.0,0.0,7.546384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031549999999999995,0.0,1.3306559999999998,0.0,-0.15934065934065944,1119284,1.89,1
chr1_2190530_2190674-chr1_1101484_1102584,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031549999999999995,0.0,1.3306559999999998,0.0,0.9835164835164835,1087946,0.46,1
chr1_2171824_2171946-chr1_695291_696391,1.485586,0.0289,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.20879120879120883,1475433,0.0,1
chr1_1814762_1815124-chr1_28554_29654,2.0116110000000003,0.0,0.0,0.0,0.0,2.0463855,8.286421,0.0,0.0,6.202486,0.0,0.0,0.0,0.0,0.0,5.308811,0.0,0.0,0.0,0.0,0.0,0.0,0.478021978021978,1785108,0.0,1
chr1_2162325_2162996-chr1_659830_660930,1.485586,0.0388,10.058061,0.0,15.55747,2.2128415,5.333579,16.780462,3.709639,7.546384,9.427316000000001,0,0,0,0,0,0,0,0,0,0,0,-0.1923076923076923,1501395,0.0,1
chr1_956563_956812-chr1_1103385_1104485,0.0,0.1027,11.284781,0.0,7.3767190000000005,1.198307,5.8744819999999995,8.333323,0.0,5.625219,8.935166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,0.0,1.3306559999999998,0.0,0.3846153846153846,146573,2.29,1
chr1_2190530_2190674-chr1_745441_746541,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.48901098901098905,1443989,0.0,1
chr1_2501788_2502413-chr1_894967_896067,0.0,0.0,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,14.070132999999998,0.0,0.0,1.6553380000000002,0.0,0.0,0.0,0.14029999999999998,7.388816,1.7067480000000002,0.0,-0.07692307692307687,1605721,0.02,1
chr1_2478276_2478817-chr1_947803_948903,0.0,0.2021,7.211671000000001,1.951368,11.538965,1.366382,6.239913,11.448099000000001,4.841658499999999,0.0,11.801871,14.660003,6.444994,0.0,0.0,8.975464,0.0,0.0,0.0641,13.800188,1.198307,13.60118,0.46703296703296704,1529373,0.48,1
chr1_1143531_1144198-chr1_656472_657572,0.0,0.3116,0.0,0.0,0.0,4.1241605,0.0,9.321642,0.0,0.0,7.632505,0,0,0,0,0,0,0,0,0,0,0,-0.32417582417582413,485959,0.0,1
chr1_1295535_1296332-chr1_700205_701305,0.0,0.0525,0.0,0.0,0.0,1.3306559999999998,6.609083,10.759246000000001,0.0,10.215803,7.374011500000001,0,0,0,0,0,0,0,0,0,0,0,0.11538461538461542,594230,0.0,1
chr1_956563_956812-chr1_1149418_1150518,0.0,0.1027,11.284781,0.0,7.3767190000000005,1.198307,5.8744819999999995,8.333323,0.0,5.625219,8.935166,0.0,0.0,0.0,1.585809,0.0,0.0,0.0,0.0297,0.0,2.1293245,0.0,0.13186813186813184,192606,0.48,1
chr1_1978731_1978937-chr1_933331_934431,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,15.851044,0.0,0.0,0.0,7.25793,0.0,0.0,0.0987,19.807249,1.198307,20.862444,-0.0934065934065933,1044300,0.02,1
chr1_1952050_1952360-chr1_135795_136895,0.0,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.6978021978021978,1815155,0.0,1
chr1_1143531_1144198-chr1_567915_569015,0.0,0.3116,0.0,0.0,0.0,4.1241605,0.0,9.321642,0.0,0.0,7.632505,0,0,0,0,0,0,0,0,0,0,0,-0.03846153846153855,574516,0.0,1
chr1_1136075_1136463-chr1_894967_896067,0.0,0.0326,0.0,0.0,0.0,1.3306559999999998,0.0,0.0,0.0,0.0,0.0,14.070132999999998,0.0,0.0,1.6553380000000002,0.0,0.0,0.0,0.14029999999999998,7.388816,1.7067480000000002,0.0,-0.29670329670329676,240008,0.48,1
chr1_2989176_2989511-chr1_1209165_1210265,0.0,0.0,0.0,1.951368,0.0,1.191068,0.0,0.0,0.0,0.0,0.0,16.150116,6.055969999999999,0.0,0.0,5.7795905,0.0,9.059591000000001,0.2595,11.576922,1.3306559999999998,6.9639355000000025,-0.18131868131868134,1778911,2.31,1
chr1_1063914_1064111-chr1_621953_623053,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7527472527472527,440861,0.0,1
chr1_2230678_2230895-chr1_563442_564542,0.0,0.0362,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.41208791208791207,1666136,0.0,1
chr1_1060905_1061095-chr1_739037_740137,0.0,0.0448,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.34065934065934067,320768,0.0,1
chr1_2140151_2140337-chr1_807672_808772,0.0,0.061,5.2669510000000015,0.0,5.086243,1.366382,5.007581,6.686222,0.0,0.0,6.09577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.4010989010989011,1331379,0.0,1
chr1_1714020_1714715-chr1_894589_895689,2.0116110000000003,0.0598,10.120409,0.0,4.9352480000000005,1.382183,6.113142,8.145578,1.5657020000000001,6.202486,5.104521,14.070132999999998,0.0,0.0,1.6553380000000002,0.0,0.0,17.848206,0.14029999999999998,27.938178000000004,1.7067480000000002,17.889013000000006,0.24725274725274726,818331,1.85,1
chr1_1136075_1136463-chr1_1114835_1115935,0.0,0.0326,0.0,0.0,0.0,1.3306559999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02675,0.0,1.3306559999999998,0.0,0.1648351648351648,20140,0.48,1
chr1_2230678_2230895-chr1_1108264_1109364,0.0,0.0362,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,7.546384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0,1.3306559999999998,0.0,0.2142857142857143,1121314,0.02,1
chr1_1063914_1064111-chr1_379367_380467,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7527472527472527,683447,0.0,1
chr1_2232428_2232896-chr1_1149418_1150518,0.0,0.026,0.0,0.0,0.0,2.6480575,0.0,0.0,0.0,7.546384,0.0,0.0,0.0,0.0,1.585809,0.0,0.0,0.0,0.0297,0.0,2.1293245,0.0,-0.07692307692307687,1081910,0.48,1
chr1_941791_942135-chr1_762802_763902,0.0,0.0866,4.039199,0.0,3.7230870000000014,1.198307,5.009518,3.821358,0.0,0.0,6.427314,8.233284,0.0,0.0,0.0,0.0,0.0,0.0,0.1405,15.996626000000001,0.0,15.067321,-0.6648351648351649,177889,0.0,1
chr1_2505035_2505361-chr1_1114835_1115935,0.0,0.0,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02675,0.0,1.3306559999999998,0.0,0.9835164835164835,1389100,0.02,1
chr1_2171824_2171946-chr1_859260_860360,1.485586,0.0289,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,8.164244,0.0,0.0,0.0,3.7938410000000014,0.0,0.0,0.0852,13.129072,1.473502,5.182904,-0.2197802197802199,1311464,0.0,1
chr1_1173386_1173736-chr1_563442_564542,1.585809,0.1232,0.0,0.0,2.9990419999999998,1.3306559999999998,4.373659,6.767767,0.0,0.0,4.410386,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,608844,0.0,1
chr1_1840449_1840835-chr1_1166629_1167729,0.0,0.161,9.959261,0.0,14.992735999999999,1.382183,0.0,19.121595000000006,8.569706,0.0,7.7588430000000015,16.512223000000002,3.6321695,10.988021,1.585809,7.6808809999999985,0.0,9.125497,0.4115,17.077115,1.3306559999999998,14.017778,0.4725274725274725,672720,0.02,1
chr1_1136667_1137146-chr1_1182002_1183102,0.0,0.0,0.0,0.0,0.0,1.3306559999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.0,1.3306559999999998,0.0,-0.1428571428571428,44856,0.02,1
chr1_2989176_2989511-chr1_1186614_1187714,0.0,0.0,0.0,1.951368,0.0,1.191068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3306559999999998,0.0,0.6923076923076923,1801462,0.0,1
chr1_1005293_1005547-chr1_68091_69191,0.0,0.0,0.0,0.0,0.0,5.077881,3.6828540000000003,5.636449,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.30219780219780223,936102,0.0,1
chr1_2574343_2574764-chr1_1108264_1109364,0.0,0.2894,10.827478999999999,1.951368,11.831274,0.0,0.0,13.516454999999999,0.0,0.0,6.179778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0,1.3306559999999998,0.0,-0.05494505494505497,1464979,0.48,1
chr1_2190530_2190674-chr1_379367_380467,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.44505494505494503,1810063,0.0,1
chr1_1093610_1093958-chr1_894967_896067,0.0,0.3138,17.452682,0.0,14.936694000000001,1.198307,0.0,11.097299000000001,0.0,0.0,8.879799,14.070132999999998,0.0,0.0,1.6553380000000002,0.0,0.0,0.0,0.14029999999999998,7.388816,1.7067480000000002,0.0,-0.2417582417582418,197543,2.31,1
chr1_1093610_1093958-chr1_1214816_1215916,0.0,0.3138,17.452682,0.0,14.936694000000001,1.198307,0.0,11.097299000000001,0.0,0.0,8.879799,0.0,0.0,0.0,0.0,2.351753,0.0,0.0,0.0,4.079618,1.3306559999999998,2.145061,-0.18681318681318682,120858,0.02,1
chr1_2177615_2177829-chr1_856296_857396,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,8.164244,7.188186,7.826646,0.0,3.7938410000000014,1.406121,0.0,0.0915,0.0,1.473502,0.0,-0.14835164835164827,1320219,0.0,1
chr1_918449_918555-chr1_159446_160546,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,757903,0.0,1
chr1_2505035_2505361-chr1_848551_849651,0.0,0.0,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.406121,0.0,0.0,0.0,1.198307,0.0,0.9835164835164835,1655384,0.0,1
chr1_2574343_2574764-chr1_1209603_1210703,0.0,0.2894,10.827478999999999,1.951368,11.831274,0.0,0.0,13.516454999999999,0.0,0.0,6.179778,16.150116,6.055969999999999,0.0,0.0,5.7795905,0.0,9.059591000000001,0.2595,11.576922,1.3306559999999998,6.9639355000000025,0.1923076923076923,1363640,0.0,1
chr1_941791_942135-chr1_133466_134566,0.0,0.0866,4.039199,0.0,3.7230870000000014,1.198307,5.009518,3.821358,0.0,0.0,6.427314,0,0,0,0,0,0,0,0,0,0,0,0.18681318681318682,807225,0.0,1
chr1_2478276_2478817-chr1_567915_569015,0.0,0.2021,7.211671000000001,1.951368,11.538965,1.366382,6.239913,11.448099000000001,4.841658499999999,0.0,11.801871,0,0,0,0,0,0,0,0,0,0,0,0.39010989010989006,1909261,0.0,1
chr1_1978731_1978937-chr1_807672_808772,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.1648351648351648,1169959,0.0,1
chr1_2230678_2230895-chr1_532778_533878,0.0,0.0362,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,7.546384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,1696800,0.0,1
chr1_1063914_1064111-chr1_567137_568237,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5164835164835164,495677,0.0,1
chr1_2059932_2059994-chr1_700205_701305,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1358627,0.0,1
chr1_2989176_2989511-chr1_989413_990513,0.0,0.0,0.0,1.951368,0.0,1.191068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.6098901098901099,1998663,0.48,1
chr1_1060905_1061095-chr1_1209165_1210265,0.0,0.0448,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,16.150116,6.055969999999999,0.0,0.0,5.7795905,0.0,9.059591000000001,0.2595,11.576922,1.3306559999999998,6.9639355000000025,-0.4065934065934067,148070,0.48,1
chr1_2772559_2772713-chr1_812183_813283,0.0,0.027000000000000003,0.0,1.951368,0.0,1.191068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.9175824175824175,1959276,0.0,1
chr1_1063914_1064111-chr1_1071397_1072497,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02465,0.0,1.198307,0.0,0.5604395604395604,7286,0.0,1
chr1_918449_918555-chr1_267153_268253,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,650196,0.0,1
chr1_2059932_2059994-chr1_1009587_1010687,0.0,0.0,0.0,0.0,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,7.620722,4.3502480000000014,0.0,0.0,8.464715000000002,0.0,0.0,0.093,4.486067,1.198307,5.626129,0.6043956043956045,1049245,0.46,1
chr1_3133891_3134283-chr1_1166629_1167729,0.0,0.0292,0.0,1.951368,0.0,1.191068,0.0,0.0,0.0,0.0,0.0,16.512223000000002,3.6321695,10.988021,1.585809,7.6808809999999985,0.0,9.125497,0.4115,17.077115,1.3306559999999998,14.017778,-0.5329670329670331,1966162,0.48,1
chr1_941791_942135-chr1_1108264_1109364,0.0,0.0866,4.039199,0.0,3.7230870000000014,1.198307,5.009518,3.821358,0.0,0.0,6.427314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0,1.3306559999999998,0.0,0.08791208791208793,166129,0.02,1
chr1_2574343_2574764-chr1_621953_623053,0.0,0.2894,10.827478999999999,1.951368,11.831274,0.0,0.0,13.516454999999999,0.0,0.0,6.179778,0,0,0,0,0,0,0,0,0,0,0,-0.2142857142857142,1951290,0.0,1
chr1_1093610_1093958-chr1_61948_63048,0.0,0.3138,17.452682,0.0,14.936694000000001,1.198307,0.0,11.097299000000001,0.0,0.0,8.879799,0,0,0,0,0,0,0,0,0,0,0,-0.3846153846153846,1030562,0.0,1
chr1_1814762_1815124-chr1_1209603_1210703,2.0116110000000003,0.0,0.0,0.0,0.0,2.0463855,8.286421,0.0,0.0,6.202486,0.0,16.150116,6.055969999999999,0.0,0.0,5.7795905,0.0,9.059591000000001,0.2595,11.576922,1.3306559999999998,6.9639355000000025,-0.0219780219780219,604059,0.0,1
chr1_858256_858648-chr1_994114_995214,0.0,0.0,0.0,0.0,0.0,1.473502,10.235116,8.164244,0.0,0.0,3.7938410000000014,9.614342,6.043282,0.0,0.0,5.100814,0.0,0.0,0.1671,5.121707,1.198307,3.87989,-0.2362637362637363,135466,0.0,1
chr1_1952050_1952360-chr1_137865_138965,0.0,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1813085,0.0,1
chr1_2509702_2510198-chr1_845815_846915,0.0,0.0301,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,4.02797,0.0,0.0,0.0,1.406121,0.0,0.0436,0.0,1.198307,0.0,0.016483516483516536,1662787,0.0,1
chr1_1063914_1064111-chr1_713150_714250,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.0,0.0,0.0,0.0,7.518988,0.0,9.526147,0.0,9.076147500000001,0.0,0.0,0.128,12.443543,0.0,8.613033,-0.2802197802197801,349664,0.0,1
chr1_2172142_2172385-chr1_845815_846915,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0.0,4.02797,0.0,0.0,0.0,1.406121,0.0,0.0436,0.0,1.198307,0.0,0.2857142857142857,1325227,0.0,1
