name_E,Ctcf_E,H3k27ac_E,H3k9ac_E,H4k20me1_E,H3k4me2_E,H3k79me2_E,DNaseI_E,H3k36me3_E,H3k4me1_E,H3k4me3_E,H3k27me3_E
chr1_116520279_116520650,3.141629,35.68598,26.586221,1.484524,13.548319,7.395825,0.0718,2.626925,5.977198,21.112951,0.0
chr1_116878887_116879201,1.491416,0.0,0.0,4.283057,0.0,0.0,0.0,0.0,0.0,0.0,1.452774
chr1_117017908_117018073,2.764004,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.020414
chr1_117030831_117031034,3.6853785,0.0,1.661267,1.484524,3.832513,0.0,0.0261,1.397935,8.166532499999999,1.78312,2.020414
chr1_117032033_117032296,3.6853785,0.0,1.661267,6.451033,3.9539245,0.0,0.03,1.397935,8.166532499999999,1.78312,2.020414
chr1_117040346_117040781,3.3517195,0.0,2.207465,1.484524,2.264016,0.0,0.0,2.383631,6.098841,0.0,0.0
chr1_117046366_117046546,3.3517195,12.070833,2.207465,3.962554,3.9625575,0.0,0.0,2.383631,8.943853,0.0,0.0
chr1_117047053_117047428,3.3517195,12.070833,2.207465,1.484524,3.9625575,0.0,0.0466,2.383631,8.943853,6.316583,0.0
chr1_117050808_117051139,2.764004,12.070833,2.207465,6.0584935,6.206245,4.088301,0.0,2.383631,8.943853,4.792645,0.0
chr1_117051576_117051921,2.764004,12.070833,2.207465,3.2493350000000003,6.206245,0.0,0.0789,2.383631,8.943853,4.792645,0.0
chr1_117074509_117074935,9.526147,0.0,0.0,1.484524,0.0,6.697026,0.0,2.383631,0.0,0.0,0.0
chr1_117112460_117112738,18.538728,32.758089,25.735356,3.6917595,4.307003,8.046402,0.0882,2.383631,5.313075,20.640187,0.0
chr1_117280613_117280924,3.126853,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.130488
chr1_117281390_117281752,3.126853,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.130488
chr1_117305811_117306472,8.566637,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.130488
chr1_117359174_117359463,2.158656,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.130488
chr1_117363043_117363386,2.158656,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.130488
chr1_117421623_117422020,2.275609,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.008709
chr1_117422443_117422644,2.275609,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.008709
chr1_117424835_117425013,2.275609,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.008709
chr1_118174879_118175156,1.674656,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.105138
chr1_118176414_118176771,1.674656,0.0,0.0,1.484524,0.0,0.0,0.0294,0.0,0.0,0.0,2.105138
chr1_118194205_118194506,1.771114,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,2.069059,2.105138
chr1_118197244_118197521,1.771114,7.577911,3.6595,1.484524,3.571929,0.0,0.0543,0.0,7.796313,2.069059,2.105138
chr1_118197868_118198044,1.771114,7.577911,3.6595,1.484524,3.571929,0.0,0.0543,0.0,7.796313,2.069059,2.105138
chr1_118198788_118199247,1.771114,7.577911,0.0,1.484524,3.571929,0.0,0.0,0.0,7.796313,2.069059,2.105138
chr1_118201472_118201699,1.771114,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,2.069059,2.105138
chr1_118203607_118204114,1.771114,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0,0.0,2.105138
chr1_118302292_118302520,15.343355,0.0,0.0,1.484524,11.694699,0.0,0.0,0.0,0.0,0.0,1.587097
chr1_120255895_120256325,2.55044,9.150097,22.319551,3.3777166666666667,6.931391,10.580448,0.0384,4.307468,9.357998,15.7677525,1.960419
chr1_120275491_120275880,2.55044,0.0,0.0,2.660410333333333,1.503172,6.898786,0.0,4.307468,0.0,5.292044,1.960419
chr1_12210430_12211346,1.660969,2.962868,1.9208295,1.226666,1.525845,0.0,0.0,0.0,0.0,0.0,0.0
chr1_12213128_12213883,1.660969,2.962868,1.53448,1.226666,1.525845,0.0,0.0,0.0,8.590619,0.0,0.0
chr1_12599928_12600179,5.1207745,6.096008,2.930519,1.226666,6.402544,0.0,0.1454,1.897565,0.0,11.307366,0.0
chr1_12600525_12600853,1.478715,6.096008,2.930519,1.226666,6.402544,0.0,0.1454,1.897565,7.280117,11.307366,0.0
chr1_12609717_12610039,1.478715,6.876297,3.956699,1.226666,6.768,0.0,0.127,1.897565,4.837792,9.325109,0.0
chr1_12675687_12675874,2.324396,13.221901,16.629958,1.226666,13.847598,8.249074,0.0,0.0,4.556277,22.362128,0.0
chr1_12681925_12682190,2.324396,0.0,0.0,1.226666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_14154959_14155163,14.592215,0.0,0.0,1.158737,0.0,0.0,0.0,0.0,0.0,0.0,1.528578
chr1_142538903_142539547,8.009282,5.675947,6.086691,5.768068,9.81484,4.595152,0.0,2.492761,2.505404,7.018969,9.085338
chr1_144533627_144534178,6.380552,36.422326,24.809067,3.511234,7.0366835000000005,3.031407,0.0351,1.478548,6.202403,18.636552,3.117469
chr1_144871122_144871347,4.2697935000000005,0.0,1.753924,2.052581,1.692408,0.0,0.0,2.562303,0.0,1.763568,2.226611
chr1_144908312_144908601,3.156408,2.753878,1.753924,2.052581,7.733678,0.0,0.0,2.562303,9.078115,0.0,0.0
chr1_144908806_144909147,3.156408,2.753878,1.753924,2.052581,0.0,0.0,0.0,2.562303,5.731665,0.0,0.0
chr1_144927217_144927550,3.156408,3.547099,2.9218135,2.052581,5.765501,4.535481,0.0,2.562303,6.0896755,6.525149,1.973362
chr1_144986415_144987071,3.171201,1.626387,1.753924,3.426831,3.580867,0.0,0.0,3.171497,3.531749,0.0,4.875426
chr1_144987154_144987391,3.171201,1.626387,1.753924,3.426831,3.580867,0.0,0.0,3.171497,3.531749,0.0,4.875426
chr1_144988079_144988414,3.171201,1.626387,1.753924,3.426831,3.580867,7.534154,0.0,3.171497,3.531749,0.0,4.875426
chr1_145009158_145009716,3.171201,1.64244,1.753924,3.426831,3.580867,0.0,0.0,3.171497,3.531749,7.094009,4.875426
chr1_145012331_145013054,3.171201,1.64244,1.753924,3.426831,3.580867,0.0,0.0,3.171497,3.531749,0.0,4.875426
chr1_145023690_145024549,3.171201,1.659051,1.753924,3.426831,3.580867,2.669965,0.0,3.171497,3.531749,0.0,4.875426
chr1_145042783_145043227,3.171201,0.0,4.750394,7.5992435,3.580867,3.892502,0.0,3.171497,3.531749,0.0,4.875426
chr1_145054975_145055306,3.171201,0.0,1.753924,3.426831,3.580867,0.0,0.0,3.171497,3.531749,0.0,4.875426
chr1_145058996_145059322,3.171201,1.648854,5.1591165,3.426831,3.580867,3.241733,0.056,3.171497,3.531749,0.0,4.875426
chr1_145064438_145064839,3.171201,1.648854,1.753924,3.426831,3.580867,0.0,0.0,3.171497,3.531749,0.0,4.875426
chr1_145090155_145090603,3.171201,4.96834,4.106128,3.426831,3.580867,6.874228,0.0,3.171497,3.531749,7.1637325,4.875426
chr1_145092450_145092883,3.171201,4.96834,1.753924,3.426831,3.580867,0.0,0.0258,3.171497,3.531749,6.8972075,4.875426
chr1_145113904_145114998,3.171201,6.8359215,4.722162,3.426831,3.580867,5.70151,0.0529,3.171497,3.531749,8.918834499999999,4.875426
chr1_145435103_145435641,2.934333,18.21424,7.799646,0.0,12.515841,0.0,0.0,0.0,7.209117,6.237585,0.0
chr1_145437595_145437817,2.934333,18.21424,15.7928395,0.0,12.515841,14.85491,0.0,0.0,7.209117,22.998451,0.0
chr1_145454760_145454851,2.934333,34.64846,10.3994485,0.0,10.26323,0.0,0.0,1.517757,7.209117,6.882247,0.0
chr1_145455122_145455741,7.2976125,34.64846,10.3994485,0.0,10.26323,9.015227,0.0661,1.517757,7.209117,10.833086,0.0
chr1_147120817_147121145,4.373121,0.0,0.0,5.499216333333333,0.0,0.0,0.0,2.365776,0.0,0.0,0.0
chr1_148000699_148000802,5.47465,6.313126,4.263913,0.0,0.0,0.0,0.0,0.0,0.0,5.738632,0.0
chr1_149978692_149979077,1.383976,0.0,0.0,2.034533,12.043512,8.268592,0.0,2.585824,4.5337585,22.139511,0.0
chr1_149981648_149981889,1.383976,22.856344,31.606317,2.034533,12.043512,8.268592,0.0371,2.585824,4.5337585,22.139511,0.0
chr1_149984633_149984917,1.383976,0.0,8.411375,2.034533,0.0,0.0,0.0,2.585824,4.1549805,0.0,0.0
chr1_150135231_150135764,4.730838,0.0,1.454585,1.661076,0.0,9.676896,0.0,0.0,0.0,0.0,0.0
chr1_150159099_150159241,6.881295,10.43036,7.998185,0.0,10.621886,0.0,0.0264,0.0,7.09966,9.635776,0.0
chr1_150185878_150186128,5.9198355,11.990476,8.773489,0.0,5.600763,0.0,0.17,2.209413,0.0,10.490623,0.0
chr1_150231710_150231944,3.406206,5.028477,4.230327,1.612194,12.749177,0.0,0.0,0.0,7.423763,11.565262,0.0
chr1_150592182_150592667,12.0394525,5.371948,0.0,0.0,5.589566,5.079947,0.057,2.404512,5.3919440000000005,4.08066,0.0
chr1_150600412_150600701,3.290431,16.64119,18.406893,0.0,11.332053,5.9237175,0.0,2.404512,5.6746395,4.08066,0.0
chr1_150949569_150950014,5.737624,8.645709,12.9499195,1.35802,9.099896,7.001919,0.1258,3.170994,5.704852,10.6850225,0.0
chr1_151284018_151284391,2.947498,6.501734,1.837254,3.9851945,6.703441,3.69156,0.1982,2.695799,8.699611,4.545565,0.0
chr1_151485676_151485841,1.835083,0.0,0.0,1.35802,13.171105,0.0,0.0,0.0,6.157936,0.0,3.623045
chr1_151486181_151486300,1.835083,0.0,0.0,5.1053785,7.549543,0.0,0.0,0.0,6.157936,0.0,3.623045
chr1_151809390_151809745,11.241079,8.819799,2.539399,1.35802,5.0343925,0.0,0.124,0.0,10.443826,4.003803,0.0
chr1_151916920_151917624,5.992254,40.675737,12.728701,1.35802,6.548636,0.0,0.0338,0.0,8.2804575,7.180429,2.127839
chr1_151960875_151961433,4.193421,35.1425735,39.998868,7.972833999999999,11.180117,5.471568,0.0466,5.309444,5.868885499999999,22.856993,2.127839
chr1_151961675_151962369,4.193421,35.1425735,39.998868,1.35802,11.180117,5.471568,0.0286,5.309444,5.868885499999999,22.856993,2.127839
chr1_151968368_151968560,4.193421,35.1425735,39.998868,1.35802,11.180117,5.471568,0.0,0.0,5.868885499999999,22.856993,2.127839
chr1_152006910_152007460,16.738801,70.76209,59.008679,2.6205005,9.568027,14.575001,0.0476,6.003378,4.4296,29.094629,2.127839
chr1_152007615_152008057,16.738801,70.76209,59.008679,2.6205005,9.568027,14.575001,0.0328,6.003378,4.4296,29.094629,2.127839
chr1_152137288_152137323,1.732226,0.0,0.0,1.35802,0.0,0.0,0.0,0.0,0.0,0.0,2.127839
chr1_153337774_153338142,4.5086455,4.187505,1.863883,4.298740666666667,7.917124,0.0,0.0468,0.0,3.9222675,8.296497,2.127839
chr1_153366487_153366797,7.034481,0.0,0.0,3.360179,0.0,0.0,0.0329,0.0,2.365391,0.0,2.127839
chr1_153488459_153488748,6.229902,35.18734,10.981496,1.425538,9.49299,0.0,0.0834,1.949913,6.226304000000001,6.833142,2.127839
chr1_153504746_153504953,2.985233,24.234088,29.3155925,1.425538,12.119768,7.574639,0.0,1.949913,6.919283999999999,27.625036,2.127839
chr1_153525322_153525412,2.985233,24.234088,16.597695,1.425538,12.119768,7.574639,0.0,1.949913,3.79307,0.0,2.127839
chr1_153526279_153526545,2.985233,24.234088,16.597695,2.6130826666666667,12.119768,0.0,0.0,1.949913,3.79307,0.0,2.127839
chr1_153541018_153541368,23.505767,86.827104,30.598606,1.425538,11.623917,0.0,0.0925,1.949913,7.791252999999999,10.361908,2.127839
chr1_153583449_153583810,3.40116,47.104251,27.506255,1.425538,11.2446055,9.319943,0.048,1.949913,6.888967666666666,18.236639,0.0
chr1_153936554_153936861,2.23938,28.727505,27.40617,1.506511,18.835057,12.124483,0.0624,1.949913,4.578871,26.118907,0.0
chr1_154154606_154155027,4.2714255,50.520024,6.730329,0.0,11.454848,13.1211485,0.1448,3.536931,8.11962,19.660904,0.0
chr1_154166147_154166533,2.192086,0.0,6.730329,0.0,0.0,0.0,0.0,0.0,5.880472,0.0,0.0
chr1_154299137_154299452,11.591256,5.560548,7.019375,0.0,7.9865795,0.0,0.069,0.0,4.136667,6.291236,1.610593
chr1_154391539_154392211,2.005965,14.573088,6.6066530000000006,0.0,6.829319,2.008275,0.0627,1.672763,10.5145,2.685917,0.0
chr1_154392646_154393050,2.005965,14.573088,6.6066530000000006,0.0,6.829319,2.008275,0.0627,1.672763,10.5145,2.685917,0.0
chr1_154397743_154397997,2.005965,0.0,2.701819,0.0,6.829319,2.008275,0.0556,1.672763,10.5145,2.685917,0.0
chr1_154404273_154404562,2.77577,8.229611,2.701819,0.0,3.296171,2.008275,0.0535,1.672763,5.829635,2.685917,0.0
chr1_154579303_154579782,1.553324,26.99038,28.99013,0.0,5.549813,14.526877,0.0,3.480028,5.36543,19.974419,0.0
chr1_154582047_154582244,1.553324,26.99038,28.99013,0.0,5.549813,14.526877,0.0,3.480028,5.36543,19.974419,0.0
chr1_154724205_154724584,2.379846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.749159
chr1_154731745_154732111,2.379846,0.0,0.0,9.3222,0.0,0.0,0.0,0.0,0.0,0.0,2.749159
chr1_154910155_154910399,9.322463,54.618177,21.1767,0.0,15.97829,0.0,0.1045,0.0,5.7555675,19.577999,0.0
chr1_154973335_154973935,5.967161,28.372733,18.2990725,0.0,9.658615,5.503762,0.1255,0.0,4.517105333333333,22.223704,0.0
chr1_155098409_155098801,4.0481215,23.655843,11.373752,0.0,8.49533,0.0,0.0372,0.0,6.033725333333333,14.255002,0.0
chr1_155620238_155620623,2.322992,9.120979,0.0,0.0,8.92487,0.0,0.0,2.77398,10.001196,6.533857,0.0
chr1_155916072_155916212,2.900368,20.715367,13.743693,0.0,0.0,0.0,0.0,3.165692,3.980767,0.0,0.0
chr1_155944562_155945214,4.080438,25.353299,13.5830205,7.702419499999999,14.471064,8.4025655,0.0,3.165692,9.411835,20.666665,0.0
chr1_155945743_155946196,4.080438,25.353299,13.5830205,7.702419499999999,14.471064,8.4025655,0.0599,3.165692,9.411835,20.666665,0.0
chr1_155946363_155946660,4.080438,25.353299,13.5830205,0.0,14.471064,8.4025655,0.0438,3.165692,9.411835,20.666665,0.0
chr1_156066868_156067143,24.775664,33.668575,10.391759,0.0,9.709859,8.760403,0.0,1.376576,8.5325545,8.103858,0.0
chr1_156089405_156089622,5.556919,33.668575,10.391759,8.568384,9.709859,8.760403,0.0,4.851692,9.516216,16.4314985,0.0
chr1_156134935_156135401,7.187392,0.0,10.391759,0.0,0.0,0.0,0.0365,1.393806,0.0,0.0,0.0
chr1_156251648_156251762,1.557316,22.715025,23.228946,7.563290499999999,16.681318,13.728567,0.0,3.063335,5.61625,28.428779,1.804772
chr1_156426931_156427503,15.165371,29.16637,21.384939,0.0,10.93776,0.0,0.2199,2.926874,9.693949,14.929162,1.804772
chr1_156468556_156468776,2.395129,23.291403,13.381989,7.03699,4.6995,14.45879,0.0303,2.926874,5.657305,12.994896,1.804772
chr1_156472693_156472952,4.775678,23.291403,13.381989,0.0,4.6995,14.45879,0.0297,2.926874,13.576421,12.994896,1.804772
chr1_156473111_156473378,2.395129,23.291403,13.381989,0.0,4.6995,14.45879,0.0463,2.926874,13.576421,12.994896,1.804772
chr1_156474686_156475018,2.395129,23.291403,13.381989,0.0,4.6995,14.45879,0.0906,2.926874,13.576421,12.994896,1.804772
chr1_15649550_15649749,40.346033,0.0,2.716547,0.0,0.0,0.0,0.0,0.0,7.628505,0.0,0.0
chr1_156541089_156541488,5.5761765,16.770677,5.010499,0.0,4.126398,10.08785,0.2126,3.31986,7.426503500000001,28.438201,1.804772
chr1_156586355_156586564,5.196341,0.0,3.847733,0.0,5.3484615,0.0,0.0448,0.0,6.54265,3.873829,1.804772
