name_E,H3k4me1_E,H3k27me3_E,DNaseI_E,H3k4me3_E,H3k36me3_E,H3k4me2_E,H3k79me2_E,H4k20me1_E,Ctcf_E,H3k27ac_E,H3k9ac_E
chr10_3845999_3846426,9.218549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.162048,18.929876
chr10_3846443_3847038,9.218549,0.0,0.0,0.0,0.0,6.640271,0.0,0.0,0.0,51.162048,18.929876
chr10_3848037_3849536,13.0624545,0.0,96.5,3.145357,0.0,6.640271,0.0,0.0,0.0,51.162048,18.929876
chr10_3850308_3850795,12.989577,0.0,0.0,0.0,0.0,6.640271,0.0,0.0,0.0,51.162048,18.929876
chr10_3852273_3852886,11.489944,0.0,78.0,3.207867,0.0,7.491479,0.0,0.0,0.0,51.162048,18.929876
chr10_3853393_3854169,10.813005,0.0,32.0,3.207867,0.0,7.491479,0.0,0.0,0.0,51.162048,18.929876
chr10_3856317_3856712,9.218549,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,51.162048,0.0
chr10_3867491_3867713,7.535111,0.0,40.0,0.0,0.0,7.24104,0.0,0.0,0.0,11.031983,0.0
chr10_3870489_3871262,7.99383,0.0,14.5,12.707905,3.961143,14.967285,0.0,0.0,0.0,12.336155,9.110516
chr10_3893365_3894190,6.35697,0.0,93.0,0.0,0.0,11.817734000000002,0.0,0.0,0.0,23.973162,7.3100545
chr10_3900999_3901229,6.926981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3909715_3910075,4.128572,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3917358_3918120,8.095623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.365485,0.0
chr10_3928866_3929216,5.5272505,0.0,39.0,0.0,0.0,4.6387745,0.0,0.0,0.0,19.334107,9.565606
chr10_3929991_3930887,5.5272505,0.0,56.0,0.0,0.0,4.6387745,0.0,0.0,0.0,19.334107,9.565606
chr10_3932191_3932411,5.5272505,0.0,32.5,0.0,0.0,4.712498999999999,0.0,0.0,0.0,19.334107,3.735684
chr10_3936015_3936390,4.3515805,0.0,0.0,0.0,0.0,2.413258,0.0,0.0,0.0,0.0,3.735684
chr10_3938329_3938538,4.3515805,0.0,0.0,0.0,0.0,2.413258,0.0,0.0,0.0,0.0,3.735684
chr10_3944367_3944901,4.7235175,0.0,0.0,0.0,0.0,3.5205635,0.0,0.0,0.0,3.428486,3.735684
chr10_3948614_3948936,3.714607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3984866_3985563,6.267379,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3991165_3991394,3.706828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_4172866_4173257,8.197641,0.0,0.0,0.0,0.0,12.447764,0.0,0.0,0.0,11.071195,6.907068
chr10_4173688_4174411,8.197641,0.0,19.5,8.7244485,0.0,12.447764,0.0,0.0,0.0,11.071195,6.907068
chr10_4289203_4289519,6.83326,0.0,25.0,0.0,0.0,7.761504,0.0,0.0,0.0,26.173991,8.531749
chr10_4358748_4358982,4.596467,0.0,36.0,10.74698,0.0,6.956641,0.0,0.0,0.0,12.73799,8.630479
chr10_4386754_4387085,5.965617,0.0,102.0,0.0,0.0,8.257916,0.0,0.0,1.679867,20.309215,12.820997
chr10_4396174_4396330,6.242165,0.0,70.0,3.116888,0.0,8.56964,0.0,0.0,1.679867,21.025117,17.455966
chr10_4685784_4686138,3.10973,0.0,0.0,0.0,2.288907,0.0,0.0,0.0,0.0,16.533314,0.0
chr10_4705159_4705783,7.3253425,0.0,66.0,0.0,2.288907,7.774384,10.8428,0.0,0.0,16.533314,16.051875
chr10_4711881_4712067,4.741211,0.0,0.0,0.0,2.288907,13.10953,3.74582,0.0,0.0,16.533314,20.219883
chr10_4712833_4713220,4.741211,0.0,27.0,8.834436,2.288907,13.10953,3.74582,0.0,0.0,16.533314,20.219883
chr10_4728868_4729211,6.175962999999999,0.0,82.0,4.33901,2.288907,8.544875,0.0,0.0,0.0,16.533314,21.682016
chr10_4813646_4813900,5.636544499999999,0.0,18.0,0.0,0.0,10.206784,0.0,0.0,0.0,28.059593,14.649521666666669
chr10_4855217_4855416,4.792633,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,6.519272,0.0
chr10_4891874_4892173,5.193482,0.0,43.0,0.0,0.0,13.630854,0.0,0.0,69.079449,4.884355,0.0
chr10_4989909_4990226,8.935843,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98326,3.744665
chr10_5113786_5114179,6.784024,0.0,9.0,6.676439,0.0,7.998162,0.0,0.0,0.0,9.335479,4.035401
chr10_5333644_5334212,7.472883,0.0,61.0,0.0,0.0,9.435163,0.0,0.0,0.0,35.478511,11.8233965
chr10_5334474_5334640,7.472883,0.0,0.0,0.0,0.0,9.435163,0.0,0.0,0.0,35.478511,9.21543
chr10_5336164_5336286,7.472883,0.0,23.0,0.0,0.0,4.735076,0.0,0.0,21.822549,12.723821,0.0
chr10_5339443_5339719,4.232037,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_5359534_5359986,7.107234,0.0,54.0,0.0,0.0,10.25966,0.0,0.0,0.0,13.6191125,0.0
chr10_5576341_5576485,7.94924,0.0,76.0,0.0,0.0,9.241981,0.0,0.0,0.0,18.907891,11.078622
chr10_5577499_5577735,7.94924,0.0,38.0,0.0,0.0,9.241981,0.0,0.0,0.0,18.907891,11.078622
chr10_5587810_5588190,7.94924,0.0,16.0,0.0,0.0,8.628274,0.0,0.0,0.0,40.985346,17.534758
chr10_5588881_5589169,7.94924,0.0,76.0,0.0,0.0,8.628274,0.0,0.0,0.0,40.985346,17.534758
chr10_5590010_5590295,7.94924,0.0,50.0,4.686396,0.0,8.628274,0.0,0.0,0.0,40.985346,17.534758
chr10_5590959_5591270,7.94924,0.0,65.0,0.0,0.0,8.628274,0.0,0.0,0.0,40.985346,17.534758
chr10_5593718_5593999,7.94924,0.0,163.0,0.0,0.0,10.092795,0.0,0.0,0.0,40.985346,17.534758
chr10_5596279_5596669,7.94924,0.0,20.5,0.0,0.0,4.765072,2.604456,0.0,0.0,40.985346,17.534758
chr10_5607602_5608000,7.94924,0.0,156.0,0.0,0.0,5.564577,0.0,0.0,0.0,46.83738,17.45104
chr10_5638863_5639270,7.94924,0.0,36.5,0.0,2.044904,11.642712,5.049111,0.0,0.0,28.228448,13.638285
chr10_5888274_5888577,4.096267,0.0,0.0,0.0,0.0,9.355338,0.0,0.0,0.0,0.0,0.0
chr10_830904_831008,7.148478,0.0,91.0,7.344775,0.0,17.217921,0.0,0.0,0.0,0.0,0.0
chr10_990446_990769,6.816445,0.0,25.0,0.0,0.0,10.705668,0.0,0.0,0.0,0.0,0.0
chr1_100113534_100114036,5.51822,0.0,56.0,12.196251,0.0,12.915897,0.0,0.0,21.922164,13.518711,15.597645
chr1_100512510_100512716,1.856322,0.0,0.0,0.0,3.316711,4.238176,7.002889,1.175141,0.0,0.0,0.0
chr1_1005293_1005547,6.480862,0.0,52.0,1.757735,0.0,9.141124,0.0,0.0,0.0,0.0,0.0
chr1_100820585_100820838,4.592352,0.0,31.0,0.0,0.0,16.262881,1.791659,1.15029,0.0,0.0,0.0
chr1_10127211_10127315,7.076618,0.0,20.5,0.0,2.493165,10.309304,4.560007,0.0,0.0,12.940454,14.287023
chr1_1014834_1015095,9.80284,0.0,242.0,0.0,0.0,11.511534,0.0,0.0,0.0,8.55122,0.0
chr1_101486133_101486158,1.830473,0.0,0.0,0.0,2.839112,0.0,3.437513,1.186362,0.0,0.0,0.0
chr1_101725356_101725679,5.596386,0.0,47.0,0.0,0.0,5.047411,0.0,1.197568,0.0,6.544511,9.909086
chr1_101774729_101775525,7.967116,2.570567,15.0,7.013307,0.0,12.778854,0.0,1.197568,36.923001,0.0,0.0
chr1_10269964_10270260,3.860742,0.0,88.0,29.267072,0.0,8.0337625,5.303725,0.0,21.505767,13.86755,13.903278
chr1_10556105_10556527,10.103635,0.0,173.0,3.670905,0.0,10.595662,4.710816,1.875551,0.0,19.363433,14.791
chr1_10557233_10557456,10.103635,0.0,0.0,3.670905,3.826955,10.595662,4.710816,1.875551,0.0,19.363433,14.791
chr1_10558276_10558621,10.103635,0.0,0.0,0.0,0.0,0.0,4.710816,0.0,0.0,19.363433,0.0
chr1_10695291_10695734,11.481979,0.0,258.3333333333333,6.498987,0.0,10.139786,0.0,0.0,0.0,19.553305,12.567132
chr1_10700424_10700580,2.748575,0.0,0.0,0.0,0.0,3.858251,0.0,0.0,0.0,0.0,0.0
chr1_10726049_10726261,4.075138,0.0,123.0,0.0,0.0,0.0,1.890967,0.0,0.0,0.0,0.0
chr1_108478082_108478329,5.813545,0.0,0.0,0.0,0.0,0.0,0.0,1.153043,0.0,0.0,0.0
chr1_108479405_108480123,5.813545,0.0,85.0,0.0,0.0,5.802653,0.0,1.153043,0.0,11.07124,0.0
chr1_10853986_10854555,7.13543,0.0,46.0,14.469036,0.0,18.618715,2.508262,0.0,0.0,0.0,1.493208
chr1_108584121_108584359,4.5447,0.0,0.0,0.0,0.0,7.665732,0.0,0.0,0.0,0.0,0.0
chr1_108584447_108584892,4.5447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_108593971_108594173,4.410431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_108595998_108596525,7.510316,0.0,18.0,0.0,0.0,8.805917,0.0,0.0,0.0,0.0,0.0
chr1_108650339_108650754,3.781804,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_108741685_108742156,5.438437,0.0,0.0,36.394294,3.12866,16.339519,9.329176,1.749494,0.0,8.648956,9.588568
chr1_109104473_109104583,5.710575,0.0,45.0,11.260988,0.0,10.629772,1.417364,1.594336,25.675717,0.0,0.0
chr1_109133120_109133338,6.306845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_109133637_109134097,6.306845,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.431641,0.0
chr1_109189516_109189718,7.000042,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_109246671_109246905,6.204602,0.0,0.0,0.0,0.0,4.983379,0.0,1.616889,0.0,4.465278,3.907443
chr1_109262615_109262764,9.012097,0.0,100.0,0.0,0.0,6.954043,0.0,0.0,0.0,15.803588,6.661036
chr1_10927237_10927380,1.731022,0.0,194.0,9.050684,0.0,10.589225,0.0,0.0,9.4843175,0.0,1.493208
chr1_1093610_1093958,5.8247695,0.0,224.0,9.151212,0.0,18.261287,0.0,0.0,0.0,10.401612,12.255932
chr1_10960432_10960567,11.417221,0.0,162.0,6.304366,0.0,12.690504,0.0,0.0,0.0,8.250739,4.9716655
chr1_109800134_109800539,10.180334,0.0,92.0,0.0,3.051249,9.977805,5.188601,0.0,0.0,10.840683,4.53815
chr1_109841804_109842152,10.428371,0.0,139.0,0.0,3.051249,8.68115,5.188601,0.0,0.0,7.786375,6.412494
chr1_109842394_109842833,10.428371,0.0,0.0,0.0,3.051249,8.68115,5.188601,0.0,0.0,7.786375,6.412494
chr1_109913179_109913623,8.005829,0.0,26.0,7.013612,0.0,9.648845,0.0,0.0,0.0,3.473416,3.619057
chr1_110160052_110160461,5.709558,0.0,82.0,0.0,0.0,10.868595666666666,0.0,0.0,0.0,11.577478,0.0
chr1_110333273_110333688,8.825234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110334849_110335164,8.825234,0.0,64.0,0.0,0.0,7.521757,0.0,0.0,18.034756,0.0,0.0
chr1_110335775_110336041,8.825234,0.0,0.0,0.0,0.0,8.062842,0.0,0.0,0.0,9.111889,3.872184
chr1_110336950_110337403,8.825234,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110363861_110364229,8.495583,0.0,149.0,0.0,0.0,1.538893,0.0,0.0,0.0,0.0,5.50335
chr1_110364881_110365302,8.495583,0.0,20.5,0.0,0.0,4.3590100000000005,0.0,0.0,0.0,0.0,0.0
chr1_110366477_110366702,8.495583,0.0,14.0,0.0,0.0,4.702392333333333,0.0,0.0,0.0,0.0,0.0
chr1_110420039_110420145,5.204181,0.0,31.0,0.0,0.0,10.212614,0.0,0.0,0.0,5.118448,0.0
chr1_110444415_110444738,7.161581,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110447199_110447636,9.592687,0.0,44.0,0.0,0.0,10.265805,0.0,0.0,0.0,0.0,0.0
chr1_110448900_110449220,5.762874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110454846_110455290,5.743045,0.0,28.0,20.443507,2.709431,16.696903,4.90194,0.0,0.0,0.0,5.371314
chr1_110476602_110476703,9.434369,0.0,32.0,0.0,2.709431,9.476128,0.0,1.488574,0.0,0.0,0.0
chr1_110672728_110673048,10.576301,3.492052,38.0,0.0,0.0,0.0,0.0,1.488574,14.490166,0.0,0.0
chr1_110879130_110879445,3.0337195,0.0,10.0,28.215293,3.093604,14.810322,8.276078,1.488574,0.0,16.023688,18.699539
chr1_110976504_110976901,9.537557,2.434914,106.0,0.0,0.0,0.0,0.0,1.488574,13.585845,0.0,0.0
chr1_111177471_111177854,5.404459,3.075172,69.0,0.0,0.0,7.025217,0.0,1.488574,0.0,0.0,0.0
chr1_111735402_111735659,5.9104,0.0,19.0,0.0,3.35154,3.69569,0.0,0.0,0.0,11.83833,4.6147855
chr1_111735691_111736003,5.9104,0.0,0.0,0.0,3.35154,3.69569,0.0,0.0,0.0,12.5195925,4.6147855
chr1_111757482_111757860,5.89144,0.0,0.0,0.0,0.0,8.6831175,0.0,0.0,0.0,12.025154,0.0
chr1_111758440_111759106,5.89144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111764327_111764759,7.429694,0.0,0.0,0.0,0.0,7.691342,0.0,0.0,0.0,0.0,5.724679
chr1_112048437_112048734,1.822539,2.148663,0.0,0.0,0.0,0.0,0.0,1.415797,0.0,0.0,0.0
chr1_112050044_112050594,4.0958055,2.148663,0.0,4.254054,0.0,12.844083,0.0,1.415797,0.0,0.0,4.035197
chr1_112058341_112058601,5.408654,2.148663,37.0,4.305433,0.0,15.335598,0.0,1.415797,0.0,0.0,0.0
chr1_112058803_112059167,5.408654,2.148663,0.0,0.0,0.0,15.335598,0.0,1.415797,15.907533,0.0,0.0
chr1_112135698_112135869,6.564748,0.0,131.0,4.154758,0.0,7.956953,0.0,1.415797,0.0,7.632039,3.857377
chr1_112163412_112163797,4.532238,0.0,0.0,19.555002,1.971852,11.546507,4.703363,1.415797,0.0,9.592962,12.616508
chr1_112163826_112164071,4.532238,0.0,0.0,19.555002,1.971852,11.546507,4.703363,1.415797,0.0,9.592962,12.616508
chr1_112276731_112276883,3.886192,0.0,0.0,0.0,2.399648,0.0,4.541711,1.415797,0.0,0.0,0.0
chr1_112901525_112901779,5.954547,0.0,40.0,0.0,0.0,11.125309,0.0,0.0,34.046824,0.0,0.0
chr1_113086746_113087141,4.304933,0.0,74.0,0.0,3.174362,10.159561,0.0,0.0,0.0,12.714053,13.71284
chr1_113584893_113585079,6.941259,0.0,35.0,0.0,0.0,5.675342499999999,0.0,0.0,0.0,9.200055,7.420722
chr1_1136075_1136463,2.026313,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1136667_1137146,2.026313,2.27153,141.5,4.047574,0.0,13.276305,0.0,0.0,0.0,0.0,0.0
chr1_113683682_113683919,5.111409,0.0,0.0,0.0,0.0,0.0,0.0,1.131076,0.0,0.0,0.0
chr1_113734243_113734639,6.406908,2.037478,0.0,0.0,0.0,0.0,0.0,1.131076,0.0,0.0,0.0
chr1_11376903_11377179,6.703714,0.0,98.0,8.950341,0.0,11.843785,0.0,0.0,0.0,9.130771,0.0
chr1_114326143_114326379,7.057792,0.0,0.0,0.0,2.290275,0.0,5.34042,1.581905,0.0,0.0,0.0
chr1_1143531_1144198,5.157723,2.27153,186.5,9.652565,0.0,12.143559,0.0,1.877095,0.0,0.0,0.0
chr1_114575620_114575801,6.251391,0.0,99.0,0.0,0.0,9.181116,0.0,0.0,0.0,7.119198,16.408858
chr1_114656563_114656717,5.959562,3.15975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_114665635_114666029,5.744975,3.15975,169.0,0.0,0.0,0.0,0.0,0.0,0.0,4.671222,0.0
chr1_114997819_114998047,4.025229,0.0,0.0,0.0,3.077163,0.0,7.610177,0.0,0.0,0.0,0.0
chr1_115052481_115052766,5.679025,0.0,0.0,36.355255,0.0,14.058817,7.610177,1.796682,0.0,11.849738,15.757091
chr1_115605190_115605611,7.275243,0.0,49.0,0.0,0.0,4.879141,0.0,0.0,0.0,10.204862,4.070757
chr1_115605746_115606114,7.275243,0.0,0.0,0.0,0.0,4.879141,0.0,0.0,0.0,10.894734333333332,8.468975499999999
chr1_115709526_115709713,5.982462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.941892,0.0
chr1_115713702_115714032,5.982462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_115722074_115722498,7.148062,0.0,18.5,0.0,0.0,7.183311,0.0,0.0,0.0,0.0,0.0
chr1_115732772_115733197,6.250657,0.0,154.0,0.0,0.0,7.977095,0.0,0.0,0.0,10.95032,5.397002
chr1_115968975_115969167,7.158431,0.0,18.0,0.0,0.0,4.333595,0.0,1.169342,0.0,0.0,0.0
chr1_116039640_116039989,8.036545,0.0,26.0,0.0,0.0,10.869676,0.0,0.0,0.0,6.277912,0.0
chr1_116088478_116088732,7.332445,0.0,134.0,9.433188,0.0,6.84387,0.0,0.0,0.0,17.211681,5.1614755
chr1_116221756_116221883,6.845603,0.0,53.0,0.0,2.982735,3.492878,4.938093,0.0,0.0,4.523409,0.0
chr1_116291091_116291334,3.748517,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.797661,0.0
chr1_116370977_116371565,6.916123,0.0,16.0,9.371534,0.0,9.029449,0.0,0.0,0.0,0.0,0.0
chr1_116520279_116520650,5.411292,0.0,89.0,25.020693,3.937408,12.193292,7.020507,1.932022,0.0,18.459366,16.209693
chr1_116878887_116879201,10.576301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.026984,0.0
chr1_116918925_116919548,7.207082,0.0,120.0,22.928115,5.802813,18.884568,14.622119,2.472301,0.0,20.370397,15.962752
chr1_116920378_116921129,7.207082,0.0,68.5,22.928115,5.802813,18.884568,14.622119,2.472301,0.0,20.370397,15.962752
chr1_116923407_116923493,7.207082,0.0,0.0,0.0,5.802813,18.884568,14.622119,2.472301,0.0,0.0,0.0
chr1_117030831_117031034,7.784634,0.0,22.0,0.0,0.0,5.493394,0.0,0.0,0.0,5.000425,0.0
chr1_117032033_117032296,7.784634,0.0,66.0,0.0,0.0,5.493394,0.0,0.0,0.0,5.000425,0.0
chr1_117046366_117046546,7.306104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994409
chr1_117047053_117047428,7.306104,0.0,28.0,0.0,0.0,3.226111,0.0,0.0,0.0,4.433014,1.994409
chr1_117050808_117051139,7.306104,0.0,0.0,0.0,0.0,5.858752,0.0,0.0,0.0,13.575125,1.994409
chr1_117051576_117051921,7.306104,0.0,98.0,0.0,2.699394,5.858752,0.0,0.0,0.0,13.575125,1.994409
chr1_117080047_117080432,8.260179,0.0,502.0,0.0,2.699394,4.136575,4.511436,1.49004,0.0,9.169696,2.471447
chr1_117081238_117081452,8.260179,0.0,64.0,0.0,5.737102,4.136575,4.511436,1.49004,0.0,9.169696,4.1628655
chr1_117082797_117083071,8.260179,0.0,11.0,0.0,2.699394,0.0,4.511436,1.49004,0.0,9.169696,2.471447
chr1_117100772_117101124,7.407692,0.0,0.0,0.0,2.036074,0.0,4.511436,0.0,0.0,13.47774,2.471447
chr1_117111804_117112156,4.572995,0.0,0.0,19.753709,2.007456,13.088752,4.511436,0.0,0.0,0.0,7.101858
chr1_117112460_117112738,5.8406435,0.0,0.0,19.753709,2.007456,13.088752,4.511436,0.0,0.0,12.069816,7.101858
chr1_117132073_117132239,5.872688,0.0,71.0,0.0,2.299751,0.0,0.0,1.507683,0.0,0.0,0.0
chr1_1173386_1173736,12.013673,0.0,183.5,4.125555,0.0,11.073388,4.813711,1.877095,0.0,9.135154,0.0
chr1_117347522_117347641,1.748139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117359174_117359463,1.748139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117363043_117363386,5.235218,0.0,40.0,0.0,0.0,3.928489,0.0,0.0,0.0,8.431378,0.0
chr1_117421623_117422020,6.382036,0.0,54.0,7.447754,0.0,12.114166,0.0,0.0,16.388047,17.61888,8.398741
chr1_117422443_117422644,6.382036,0.0,0.0,7.447754,0.0,12.114166,0.0,0.0,0.0,17.61888,8.398741
chr1_117424835_117425013,6.382036,0.0,0.0,0.0,0.0,4.378338,0.0,0.0,0.0,17.61888,3.561417
chr1_11753086_11753651,8.679422,2.508611,178.0,0.0,0.0,10.437617,0.0,3.432009,0.0,0.0,0.0
chr1_117533270_117533527,11.160063,0.0,89.0,0.0,3.24708,6.482312,6.792655,0.0,0.0,7.828692,6.334186
chr1_11761755_11762049,7.960098,2.508611,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118198788_118199247,9.073181,2.337309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118678137_118678411,6.257244,0.0,0.0,0.0,0.0,0.0,0.0,1.250471,0.0,0.0,0.0
chr1_11968510_11969143,3.660592,0.0,159.5,9.017449,0.0,9.12586,0.0,0.0,0.0,22.208426,12.18599
chr1_11990003_11990329,8.649813,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,10.075692,0.0
chr1_120052717_120053071,4.452661,0.0,27.0,0.0,0.0,0.0,0.0,1.122703,0.0,0.0,0.0
chr1_120147764_120147961,4.399062,0.0,45.0,0.0,0.0,9.870966,0.0,0.0,0.0,0.0,0.0
chr1_120255895_120256325,3.840537,0.0,0.0,24.899539,3.43115,17.699945,8.95974,1.983242,0.0,13.05899,13.954651
chr1_120275491_120275880,4.142214,0.0,0.0,0.0,3.43115,0.0,0.0,1.983242,0.0,0.0,0.0
chr1_120525502_120525838,3.959704,0.0,0.0,0.0,4.719968,0.0,4.188026,1.766577,0.0,0.0,0.0
chr1_120530787_120531205,7.268262,0.0,0.0,0.0,4.719968,0.0,4.188026,1.766577,0.0,6.317472,0.0
chr1_120608824_120609208,10.738583,0.0,0.0,21.727364,0.0,8.319403,4.188026,0.0,0.0,0.0,0.0
chr1_12112067_12112502,8.140844,0.0,99.0,0.0,0.0,7.727976,0.0,0.0,0.0,0.0,0.0
chr1_12193120_12193399,8.7619755,2.409299,49.0,0.0,0.0,4.220965,0.0,0.0,0.0,9.282193,0.0
chr1_12213128_12213883,3.399035,2.409299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_12221931_12222397,2.44932,2.409299,90.0,0.0,0.0,0.0,0.0,1.549835,0.0,0.0,0.0
chr1_12225396_12225718,2.44932,2.409299,42.0,0.0,0.0,0.0,0.0,1.549835,0.0,0.0,0.0
chr1_12237719_12238747,3.284887,2.409299,53.0,0.0,0.0,4.229222,0.0,1.549835,0.0,0.0,0.0
chr1_12238984_12239461,3.284887,2.409299,49.0,0.0,0.0,4.229222,0.0,1.549835,0.0,0.0,0.0
chr1_12493313_12493712,8.925416,0.0,17.0,0.0,3.473644,0.0,0.0,1.574216,0.0,0.0,3.887321
chr1_12493910_12494304,8.925416,0.0,0.0,0.0,3.473644,10.395248,0.0,1.574216,0.0,0.0,3.887321
chr1_12508783_12509005,5.36795,0.0,0.0,0.0,3.473644,8.214898,0.0,0.0,0.0,0.0,0.0
chr1_12509354_12509466,5.36795,0.0,0.0,0.0,3.473644,8.214898,0.0,0.0,0.0,0.0,0.0
chr1_12599928_12600179,10.682064,2.282164,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_12609717_12610039,6.49315,2.282164,116.0,0.0,0.0,12.017722,0.0,1.497218,0.0,10.713061,9.710711
chr1_12675687_12675874,4.886236,0.0,0.0,23.895163,0.0,19.447728,3.432114,0.0,0.0,16.760612,16.862009
