name_E,H3k27me3_E,H3k27ac_E,Pol2_E,H3k36me3_E,H3k9ac_E,H3k79me2_E,H4k20me1_E,DNaseI_E,H3k4me2_E,Ctcf_E,H3k4me3_E,H3k4me1_E
chr1_11761755_11762049,8.445078,0.0,0.0,0.0,0.0,0.0,1.656151,0.0,0.0,0.0,0.0,0.0
chr1_118153815_118153988,2.491153,0.0,1.765336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118174879_118175156,2.491153,0.0,0.0,0.0,0.0,0.0,1.626675,0.0,0.0,0.0,0.0,0.0
chr1_118176414_118176771,2.491153,0.0,0.0,0.0,0.0,0.0,1.626675,0.0,0.0,0.0,0.0,0.0
chr1_118185712_118185829,2.491153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118194205_118194506,2.491153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118197244_118197521,2.491153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338735,0.0,3.341257,9.269318
chr1_118206889_118207267,2.360083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118208639_118208762,2.360083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118302292_118302520,1.87478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_11942925_11943217,3.611275,0.0,0.0,0.0,0.0,0.0,1.656151,28.0,0.0,0.0,0.0,0.0
chr1_119503304_119503581,9.332219,0.0,0.0,0.0,0.0,0.0,1.267299,0.0,0.0,0.0,0.0,0.0
chr1_11968510_11969143,3.611275,31.578928,75.400613,0.0,19.014282,0.0,1.656151,130.5,9.354451,15.541588,15.372936,0.0
chr1_119930597_119930807,2.332953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_12112067_12112502,3.776705,9.994601,0.0,0.0,8.857714,0.0,1.656151,52.5,9.067542,0.0,0.0,11.076983
chr1_12124472_12125118,14.5752765,0.0,0.0,0.0,0.0,0.0,1.656151,0.0,0.0,0.0,0.0,0.0
chr1_12127865_12128182,6.4693615,0.0,0.0,0.0,0.0,0.0,1.656151,0.0,0.0,0.0,0.0,0.0
chr1_12193120_12193399,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,22.0,4.762049,0.0,0.0,7.82817
chr1_12210430_12211346,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12213128_12213883,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12221931_12222397,3.044017,0.0,4.050961,0.0,0.0,0.0,1.538598,51.5,7.965782,0.0,0.0,6.388869
chr1_12225396_12225718,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12227833_12229578,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12231693_12231881,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12232096_12232448,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12233600_12234159,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12235070_12235463,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12236326_12236421,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12237719_12238747,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12238984_12239461,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12240401_12240902,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12243852_12244671,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12245348_12245387,3.044017,0.0,0.0,0.0,0.0,0.0,1.538598,0.0,0.0,0.0,0.0,0.0
chr1_12599928_12600179,3.575227,0.0,1.515051,0.0,0.0,0.0,1.54996,22.0,0.0,0.0,0.0,0.0
chr1_12600525_12600853,3.575227,0.0,1.515051,0.0,0.0,0.0,1.54996,0.0,0.0,0.0,0.0,0.0
chr1_12609717_12610039,3.575227,5.73518,8.5531895,0.0,9.911397,0.0,1.54996,120.5,11.678783,0.0,15.031315,11.020883
chr1_12616547_12616769,3.575227,0.0,1.515051,0.0,0.0,0.0,1.54996,0.0,0.0,0.0,0.0,0.0
chr1_12681925_12682190,2.033896,0.0,2.769707,0.0,0.0,0.0,1.54996,0.0,0.0,0.0,0.0,0.0
chr1_14154959_14155163,3.903395,0.0,0.0,0.0,0.0,0.0,2.062552,0.0,1.607467,29.60039,0.0,0.0
chr1_142538903_142539547,11.069,4.549429,5.334657,11.553626,6.670497,3.75367,4.431157,28.0,5.00839,10.387593,10.446434,7.9692
chr1_144533627_144534178,5.321541,21.072939,190.094996,1.929979,26.491462,0.0,1.733144,211.5,11.596408,11.804337,8.5783305,9.360934
chr1_144536201_144536370,3.219599,0.0,0.0,0.0,0.0,0.0,1.733144,50.0,11.596408,5.051569,3.54615,9.360934
chr1_144986415_144987071,3.512593,0.0,3.660127,2.582434,0.0,3.162357,3.086729,0.0,5.069874,2.255441,0.0,11.965712
chr1_144987154_144987391,3.512593,0.0,3.660127,2.582434,0.0,3.205952,3.086729,0.0,5.069874,5.728761,0.0,11.965712
chr1_144988079_144988414,3.512593,0.0,3.660127,2.582434,4.191951,3.205952,3.086729,0.0,0.0,2.255441,0.0,0.0
chr1_145009158_145009716,3.512593,13.5353,3.660127,2.582434,13.041518,0.0,3.086729,83.0,17.815979499999997,2.255441,11.198974,12.559734
chr1_145012331_145013054,3.512593,0.0,3.660127,2.582434,0.0,0.0,3.086729,0.0,7.91874,2.255441,5.368669,7.727585
chr1_145023690_145024549,8.779084,7.571997,3.660127,2.582434,7.966127999999999,2.32006,3.086729,39.0,7.91874,2.255441,5.368669,8.6237645
chr1_145042783_145043227,3.512593,9.510077,9.464913,2.582434,8.047204,0.0,3.086729,168.0,18.964051,8.2599565,7.9303065,11.9803475
chr1_145054975_145055306,3.512593,0.0,3.660127,2.582434,1.984691,0.0,3.086729,0.0,0.0,4.928592,0.0,3.427005
chr1_145058996_145059322,3.512593,0.0,9.0963615,2.582434,1.984691,0.0,3.086729,83.0,0.0,25.04850533333333,0.0,0.0
chr1_145064438_145064839,3.512593,0.0,3.660127,2.582434,0.0,0.0,3.086729,0.0,0.0,4.928592,0.0,0.0
chr1_145090155_145090603,3.512593,7.548554,3.660127,2.582434,0.0,0.0,3.086729,35.0,10.071882666666667,2.255441,7.658258,10.054139
chr1_145092450_145092883,6.9937635,10.501161,3.660127,2.582434,7.752056,0.0,3.086729,54.5,12.308298666666666,2.255441,10.692639,10.054139
chr1_145113904_145114998,3.512593,4.737325,3.660127,2.582434,1.867299,2.944565,3.086729,31.5,0.0,2.255441,1.97903,7.79103
chr1_14656585_14656699,2.345833,0.0,0.0,0.0,0.0,0.0,1.162734,0.0,0.0,0.0,0.0,0.0
chr1_149215297_149215704,4.310437,17.035998,0.0,0.0,7.84349,0.0,0.0,30.0,9.2389915,0.0,3.674223,0.0
chr1_14926383_14926731,7.1835985,0.0,0.0,0.0,0.0,0.0,1.200209,0.0,7.085754,0.0,7.666245,0.0
chr1_153358841_153359368,2.830227,8.084106,8.433228,0.0,5.276973,0.0,0.0,57.0,5.282979,0.0,0.0,11.692459
chr1_153361312_153361704,2.830227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.890595
chr1_153366487_153366797,2.830227,0.0,0.0,0.0,0.0,0.0,2.115513,0.0,0.0,5.578464,0.0,0.0
chr1_153670755_153671012,4.54994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_153762591_153763309,9.937005,0.0,0.0,0.0,0.0,0.0,1.690462,0.0,10.187077,0.0,0.0,7.5108
chr1_154468503_154468634,3.841945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_154699087_154699216,3.640514,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.326894,0.0,0.0,9.425755
chr1_154724205_154724584,3.640514,0.0,0.0,0.0,0.0,0.0,1.645339,0.0,0.0,0.0,0.0,0.0
chr1_154731745_154732111,3.640514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_15572643_15572853,2.176704,3.293048,0.0,0.0,4.004476,0.0,0.0,42.0,7.828957,0.0,6.736185,5.308107
chr1_155830201_155830522,7.541569,0.0,0.0,3.029157,0.0,4.033039,0.0,13.0,8.393427,0.0,0.0,0.0
chr1_15585400_15585822,2.176704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_15585949_15586132,2.176704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_15587144_15587415,2.176704,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,8.510501
chr1_156118146_156118395,4.020461,0.0,0.0,3.41236,1.720406,0.0,3.015495,0.0,0.0,0.0,0.0,0.0
chr1_156586355_156586564,6.114596,0.0,0.0,0.0,0.0,0.0,1.902875,0.0,0.0,0.0,0.0,0.0
chr1_156629760_156630406,6.114596,9.946083,5.968267,0.0,4.998619,0.0,2.248464,265.0,5.948834,29.254495,8.734016,7.009205
chr1_156634807_156635020,6.114596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_156645551_156645913,8.095246,0.0,0.0,0.0,0.0,0.0,2.050324,0.0,6.688115,0.0,0.0,0.0
chr1_156663993_156664153,6.114596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.688115,3.712564,0.0,7.713964
chr1_156676478_156676824,6.316755499999999,0.0,0.0,0.0,0.0,0.0,2.606864,16.0,8.0660475,0.0,6.271119,5.646249
chr1_156805999_156806129,5.937857,0.0,0.0,0.0,0.0,0.0,2.138593,0.0,0.0,0.0,0.0,0.0
chr1_156864713_156865066,5.937857,12.447252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.821315
chr1_156895977_156896091,5.937857,0.0,1.725677,0.0,0.0,0.0,2.091482,0.0,0.0,0.0,0.0,11.488333
chr1_157076072_157076782,3.677199,12.563968,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,8.164500499999999
chr1_157082632_157083078,3.677199,0.0,0.0,0.0,0.0,0.0,2.254328,0.0,0.0,0.0,0.0,0.0
chr1_157244599_157245063,2.102086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_157245880_157246130,2.102086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_157246189_157246519,2.102086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_157248443_157248858,2.102086,0.0,0.0,0.0,0.0,0.0,1.621278,0.0,0.0,0.0,0.0,0.0
chr1_157249264_157249609,2.102086,0.0,0.0,0.0,0.0,0.0,1.621278,0.0,0.0,0.0,0.0,0.0
chr1_159111772_159112137,4.395648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.456759,0.0,8.949859,0.0
chr1_159142876_159143043,4.2286,0.0,0.0,0.0,0.0,0.0,1.689988,0.0,0.0,0.0,0.0,0.0
chr1_159158093_159158524,4.2286,0.0,0.0,0.0,0.0,0.0,1.689988,0.0,0.0,0.0,0.0,0.0
chr1_159798443_159799254,3.220197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.582979,0.0,4.678371
chr1_160056214_160056779,4.72854,0.0,0.0,2.79986,0.0,0.0,1.69043,0.0,0.0,0.0,0.0,0.0
chr1_160072097_160072234,1.855331,0.0,0.0,0.0,7.673892,0.0,1.69043,0.0,0.0,0.0,0.0,0.0
chr1_160087563_160087915,1.855331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.416564
chr1_160345693_160345986,16.190466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160444087_160444465,2.155211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160510042_160510238,2.088264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160530737_160530863,2.088264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160537909_160538272,2.088264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160544770_160545265,2.088264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160546217_160546501,2.088264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160546747_160547109,2.088264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160592866_160593252,2.51303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160615019_160615411,2.51303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160627101_160627476,2.51303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160674845_160675222,2.161175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160677742_160679048,2.161175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160680775_160680900,2.161175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160682568_160682866,2.161175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160684087_160684458,2.161175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160807359_160807588,2.036946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160877833_160878093,1.761493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_160881277_160881698,1.761493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_161469487_161469783,2.344041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_161973588_161973892,4.150608,0.0,0.0,0.0,0.0,0.0,1.359123,51.0,5.553069,0.0,0.0,8.530174
chr1_161991847_161991976,4.150608,0.0,0.0,0.0,0.0,0.0,1.359123,0.0,0.0,0.0,0.0,0.0
chr1_161996651_161996978,4.150608,0.0,0.0,0.0,0.0,0.0,1.359123,0.0,0.0,0.0,0.0,0.0
chr1_161998457_161998829,4.150608,0.0,0.0,0.0,0.0,0.0,1.359123,0.0,0.0,0.0,0.0,0.0
chr1_162370681_162370944,2.394108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_162377799_162377882,2.101263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_16339773_16339933,2.525505,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.224166,0.0,0.0,0.0
chr1_16342592_16343008,2.525505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
