name_P,Smc3_P,H3k27ac_P,H3k79me2_P,H3k36me3_P,H3k4me2_P,Ctcf_P,H3k4me3_P,H4k20me1_P,H3k9ac_P,DNaseI_P,H3k27me3_P,H3k4me1_P
chr1_2159134_2160234,0.0,16.139264999999998,9.973237,0.0,13.033377,0.0,6.716353999999999,2.679835,14.960869,0.4747,0.0,5.629706
chr1_2323046_2324146,0.0,10.634104,10.2731195,3.062328,11.670174,0.0,8.423813,2.1105970000000003,18.54931875,0.2481,0.0,5.364201
chr1_2457939_2459039,0.0,10.569558500000001,15.812001,2.374912,10.032723,0.0,8.626412,2.217593,10.101369,0.3646,1.589548,6.699822999999999
chr1_2461584_2462684,0.0,14.438832,0.0,2.374912,10.032723,0.0,3.364028,2.217593,0.0,0.1283,1.589548,0.0
chr1_2511999_2513099,0.0,18.983297,5.752776,2.117218,10.66784,0.0,6.89456475,0.0,0.0,0.0,0.0,6.805462
chr1_3568084_3569184,0.0,14.527060999999998,10.720164,2.537957,10.367467,0.0,5.079768,1.446044,14.914303,0.3774,0.0,6.016784
chr1_3569225_3570325,0.0,14.527060999999998,10.720164,2.537957,10.367467,0.0,5.079768,1.446044,14.914303,0.3774,0.0,6.016784
chr1_3585236_3586336,0.0,14.527060999999998,10.720164,2.537957,10.367467,1.986247,5.079768,1.446044,14.972886,0.0,0.0,6.016784
chr1_761988_763088,0.0,17.340813,10.586506666666667,0.0,6.470814,0.0,5.549037,0.0,15.177693,0.1478,0.0,0.0
chr1_762802_763902,0.0,17.340813,3.447964,0.0,0.0,0.0,5.549037,0.0,15.177693,0.1478,0.0,0.0
chr1_933331_934431,0.0,13.284597,0.0,0.0,7.648436499999999,0.0,0.0,0.0,5.006124,0.0337,3.564027,2.684602
chr1_947803_948903,0.0,25.841711,15.876960999999998,0.0,9.726627,0.0,13.106887,0.0,24.4237,0.1287,0.0,4.248757
chr1_948473_949573,0.0,25.841711,15.876960999999998,0.0,9.726627,0.0,13.106887,0.0,24.4237,0.1287,0.0,4.677558666666667
chr1_1253969_1255069,0.0,0.0,11.594376,2.184012,0.0,0.0,0.0,2.011795,0.0,0.0,0.0,0.0
chr1_1499804_1500904,0.0,0.0,14.484763,3.010263,0.0,0.0,0.0,5.922789999999999,0.0,0.0,0.0,0.0
chr1_2315811_2316911,0.0,0.0,6.4851269999999985,3.062328,0.0,0.0,0.0,2.1105970000000003,0.0,0.0,0.0,0.0
chr1_751751_752851,0.0,0.0,3.447964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_752992_754092,0.0,0.0,3.447964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_894967_896067,0.0,0.0,7.9522875,0.0,9.295137,0.0,7.565908999999999,2.1370720000000003,7.672475500000001,0.2754,0.0,3.215811
chr1_1182002_1183102,0.0,0.0,0.0,2.578818,0.0,0.0,0.0,0.0,0.0,0.0318,7.276073999999999,0.0
chr1_1265694_1266794,0.0,0.0,0.0,2.184012,0.0,0.0,0.0,2.011795,0.0,0.0275,0.0,3.533339
chr1_1603714_1604814,0.0,0.0,0.0,5.525187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95365
chr1_2309699_2310799,0.0,0.0,0.0,3.062328,0.0,0.0,0.0,2.1105970000000003,0.0,0.0,0.0,5.765091
chr1_3630762_3631862,0.0,0.0,0.0,2.537957,0.0,0.0,0.0,1.446044,0.0,0.0,0.0,0.0
chr1_989413_990513,0.0,0.0,0.0,1.658002,4.556933,0.0,0.0,1.6783709999999998,0.0,0.0,0.0,2.6048795
chr1_994114_995214,0.0,0.0,0.0,1.658002,8.4821925,8.688305999999999,5.510545,1.6783709999999998,5.92403,0.2931,3.015803,2.6048795
chr1_1009587_1010687,0.0,0.0,0.0,0.0,4.556933,0.0,0.0,0.0,0.0,0.0357,0.0,2.6048795
chr1_1071397_1072497,0.0,0.0,0.0,0.0,7.176586,0.0,0.0,0.0,0.0,0.1594,0.0,7.546075
chr1_1360508_1361608,0.0,0.0,0.0,0.0,4.476183,0.0,0.0,0.0,0.0,0.0529,0.0,2.642435
chr1_1369241_1370341,0.0,0.0,0.0,0.0,4.476183,0.0,3.774034,2.1376,6.5910410000000015,0.239,3.808919,2.642435
chr1_1369853_1370953,0.0,0.0,0.0,0.0,4.476183,0.0,3.774034,2.1376,6.5910410000000015,0.239,3.808919,2.642435
chr1_1535376_1536476,0.0,0.0,0.0,0.0,9.706221,0.0,3.252643,0.0,0.0,0.3359,7.476267,6.708487
chr1_1566474_1567574,0.0,0.0,0.0,0.0,6.122385,0.0,0.0,0.0,0.0,0.0638,2.539788,0.0
chr1_1850612_1851712,0.0,0.0,0.0,0.0,12.298468,0.0,3.928996,1.671125,0.0,0.4969,0.0,5.7131615
chr1_2142962_2144062,0.0,0.0,0.0,0.0,10.613218,0.0,0.0,0.0,0.0,0.0659,0.0,1.893131
chr1_3527959_3529059,0.0,0.0,0.0,0.0,11.216077,0.0,0.0,1.446044,0.0,0.0893,1.6512639999999998,0.0
chr1_859260_860360,0.0,0.0,0.0,0.0,9.059139,0.0,0.0,2.1370720000000003,0.0,0.05635,3.625829,3.46539
chr1_900877_901977,0.0,0.0,0.0,0.0,16.051835,0.0,5.447851999999999,2.1370720000000003,9.604628,0.2319,0.0,5.328728
chr1_935452_936552,0.0,0.0,0.0,0.0,7.648436499999999,0.0,6.490989,0.0,5.006124,0.1434,4.079191000000002,4.706364
chr1_943509_944609,0.0,0.0,0.0,0.0,4.556933,0.0,0.0,0.0,0.0,0.0,0.0,2.684602
chr1_567137_568237,0.0,0.0,0.0,0.0,0.0,12.620595,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1102243_1103343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008416,0.0,0.0,1.835842,0.0
chr1_1103385_1104485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008416,0.0,0.047,1.835842,3.985816
chr1_1103737_1104837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008416,0.0,0.047,1.835842,3.985816
chr1_1108264_1109364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008416,0.0,0.0719,1.835842,3.985816
chr1_1214816_1215916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059011,0.0,0.0,0.0,0.0
chr1_1297057_1298157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.747039,0.0,0.0,0.0,0.0
chr1_1514136_1515236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4223790000000003,0.0,0.0,5.291617,0.0
chr1_1845266_1846366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.671125,0.0,0.0,0.0,3.557315
chr1_2306692_2307792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1105970000000003,0.0,0.0,0.0,0.0
chr1_2356419_2357519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797982,0.0,0.0,0.0,0.0
chr1_2496849_2497949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101546,0.0,0.0,0.0,0.0
chr1_2937046_2938146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.0279,0.0,0.0
chr1_2978859_2979959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.0,0.0,0.0
chr1_2984732_2985832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.066,0.0,0.0
chr1_2984901_2986001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.066,0.0,0.0
chr1_3050173_3051273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.0,0.0,0.0
chr1_3226560_3227660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.0309,0.0,0.0
chr1_3402810_3403910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.0,0.0,0.0
chr1_3477254_3478354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446044,0.0,0.0282,0.0,0.0
chr1_845815_846915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1370720000000003,0.0,0.0267,2.525076,0.0
chr1_848551_849651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1370720000000003,0.0,0.03025,2.525076,0.0
chr1_866345_867445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1370720000000003,0.0,0.0374,5.0537480000000015,0.0
chr1_1630369_1631469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03285,0.0,0.0
chr1_1669027_1670127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,5.899414
chr1_1946869_1947969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294,3.2145490000000003,0.0
chr1_2145520_2146620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,1.893131
chr1_2283196_2284296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0,0.0
chr1_2284159_2285259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031100000000000006,0.0,3.615669
chr1_2424597_2425697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09505,0.0,0.0
chr1_2425818_2426918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554,0.0,4.705598
chr1_2563007_2564107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318,1.775621,0.0
chr1_2564381_2565481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,1.775621,0.0
chr1_1114835_1115935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.835842,0.0
chr1_1935176_1936276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.349469,0.0
chr1_817043_818143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63386,0.0
chr1_2115728_2116828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.893131
chr1_917397_918497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.684602
