name_E,H3k9ac_E,H3k79me2_E,H3k4me2_E,H3k4me3_E,DNaseI_E,H3k4me1_E,Pol2_E,H3k36me3_E,H3k27ac_E,H3k27me3_E,Ctcf_E,H4k20me1_E
chr1_2574343_2574764,15.028381,0.0,9.944528,9.870039,100.5,3.395769,0.0,0.0,9.430052,2.715155,0.0,0.0
chr1_3420761_3421065,12.436588,0.0,4.676755,0.0,85.0,11.729829,0.0,0.0,0.0,2.869073,0.0,1.339545
chr1_3459907_3460197,9.370887,0.0,7.850075,0.0,0.0,9.07229,0.0,0.0,0.0,2.869073,0.0,1.339545
chr1_3620035_3620325,3.488027,0.0,6.207195,3.3897785,74.0,9.228012,0.0,0.0,7.880358,0.0,16.576964,1.339545
chr1_3817648_3818071,18.673459,10.973222,10.804369,17.556447,116.0,0.0,0.0,3.067737,12.206425,1.997762,0.0,1.339545
chr1_6053603_6054107,9.64552,4.211312,8.914382000000002,10.89014,0.0,9.001961999999997,1.645657,2.72337,0.0,0.0,0.0,1.940975
chr1_6321567_6321961,4.906953,5.42847,6.025312,5.590211,0.0,0.0,2.350896,3.34106,0.0,0.0,0.0,2.240744
chr1_6336471_6336830,4.278559,5.42847,4.300675,0.0,48.0,7.5715080000000015,2.350896,3.34106,0.0,0.0,0.0,2.240744
chr1_6359789_6360186,4.4745089999999985,5.42847,4.871495,0.0,0.0,12.662811,4.622466,3.34106,11.785669,0.0,0.0,0.0
chr1_6360191_6360625,4.4745089999999985,5.42847,4.871495,0.0,68.0,12.662811,4.622466,3.34106,11.785669,0.0,0.0,0.0
chr1_6362597_6362955,4.4745089999999985,5.42847,4.871495,0.0,48.0,12.662811,4.622466,3.34106,11.785669,0.0,0.0,0.0
chr1_6661008_6661639,57.131581,15.028321,18.273811,25.187679,107.5,0.0,23.400009,3.990812000000001,46.359567,0.0,0.0,3.858953
chr1_7359415_7359679,8.606183999999999,0.0,6.494593,0.0,49.0,13.424891,0.0,0.0,3.323727,2.549909,0.0,0.0
chr1_7461964_7462325,10.219844,0.0,9.295524,0.0,190.0,8.447942999999999,7.959668499999999,0.0,10.372938,2.549909,0.0,0.0
chr1_7531062_7531540,12.022368,0.0,6.5884160000000005,5.311546,251.0,9.719739,11.034876,0.0,11.884317,2.549909,0.0,0.0
chr1_941791_942135,4.870193,0.0,9.428131,0.0,33.0,10.674263,0.0,0.0,0.0,7.103796000000001,0.0,0.0
chr1_956563_956812,15.7718125,5.547339,13.817964000000002,19.485038,45.0,8.123201,2.432777,0.0,21.548289,0.0,0.0,2.529923
chr1_1772108_1772256,0.0,14.197309,0.0,0.0,0.0,8.011892,3.181755,0.0,9.544533,0.0,0.0,4.124376
chr1_1793829_1793862,0.0,14.197309,0.0,0.0,0.0,0.0,7.0704385,0.0,0.0,0.0,0.0,4.124376
chr1_1814762_1815124,0.0,14.197309,0.0,0.0,0.0,0.0,3.181755,0.0,0.0,0.0,0.0,4.124376
chr1_2059932_2059994,0.0,2.457728,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,2.117173
chr1_2177615_2177829,0.0,13.419211,9.987438,0.0,48.0,8.436357000000001,2.18966,2.424852,0.0,0.0,0.0,3.5427730000000004
chr1_2190530_2190674,0.0,13.419211,0.0,0.0,0.0,5.733043,2.18966,2.424852,0.0,0.0,0.0,3.5427730000000004
chr1_2221868_2222548,0.0,13.419211,0.0,0.0,19.0,0.0,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004
chr1_2230678_2230895,0.0,13.419211,7.955622,0.0,0.0,4.25232,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004
chr1_2231691_2232185,0.0,13.419211,0.0,0.0,0.0,4.25232,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004
chr1_2232428_2232896,0.0,13.419211,0.0,0.0,0.0,0.0,1.7470450000000002,2.424852,0.0,0.0,0.0,3.5427730000000004
chr1_2406489_2406881,0.0,7.487503,0.0,0.0,0.0,0.0,2.9180200000000003,3.539962,0.0,0.0,0.0,3.480511
chr1_4729528_4729775,0.0,3.210983,0.0,0.0,0.0,5.44108,1.7857299999999998,2.059759,10.310902,0.0,0.0,0.0
chr1_6341896_6342142,0.0,5.42847,0.0,0.0,0.0,0.0,0.0,3.34106,0.0,0.0,0.0,2.240744
chr1_6350184_6350543,0.0,5.42847,0.0,0.0,0.0,0.0,0.0,3.34106,0.0,0.0,0.0,1.976826
chr1_6351007_6351537,0.0,5.42847,0.0,0.0,0.0,0.0,0.0,3.34106,0.0,0.0,0.0,1.976826
chr1_6354110_6354322,0.0,5.42847,0.0,0.0,0.0,4.28785,3.743779,3.34106,0.0,0.0,0.0,1.976826
chr1_6373523_6373899,0.0,5.42847,0.0,0.0,0.0,0.0,0.0,3.34106,0.0,0.0,0.0,2.42032
chr1_6943772_6944262,0.0,4.524237,0.0,0.0,0.0,0.0,0.0,2.018583,0.0,2.549909,0.0,1.772649
chr1_1143531_1144198,0.0,0.0,9.952106,0.0,50.0,0.0,0.0,0.0,0.0,4.290325,0.0,2.0585310000000003
chr1_1368471_1368786,0.0,0.0,9.060271,8.435031,99.0,7.764867500000001,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2253622_2253773,0.0,0.0,9.885878,3.4878050000000003,57.0,12.851813,0.0,0.0,0.0,7.351928000000001,0.0,0.0
chr1_2254081_2254230,0.0,0.0,9.885878,3.4878050000000003,24.0,7.574419,0.0,0.0,0.0,7.351928000000001,0.0,0.0
chr1_3581269_3581645,0.0,0.0,6.5444845,0.0,23.0,8.573564,0.0,0.0,0.0,4.089533,0.0,1.339545
chr1_3634737_3634863,0.0,0.0,7.372586,1.940881,33.0,14.058112,0.0,0.0,0.0,0.0,0.0,1.339545
chr1_6054896_6055025,0.0,0.0,8.914382000000002,0.0,0.0,0.0,1.645657,2.72337,0.0,0.0,4.990699,1.940975
chr1_6221566_6221669,0.0,0.0,4.605476,0.0,0.0,7.312100999999998,0.0,0.0,0.0,5.9494570000000015,0.0,2.371306
chr1_7551468_7551846,0.0,0.0,8.8737,0.0,24.0,10.28668,0.0,0.0,0.0,2.549909,0.0,0.0
chr1_858256_858648,0.0,0.0,0.0,3.699859,20.0,0.0,0.0,0.0,0.0,20.568399,12.982781,2.741156
chr1_2509702_2510198,0.0,0.0,0.0,0.0,29.0,4.424112,0.0,0.0,0.0,2.278893,20.449069,0.0
chr1_3229711_3230157,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,2.344384,0.0,0.0
chr1_3463934_3464260,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.869073,0.0,1.339545
chr1_7327634_7328033,0.0,0.0,0.0,0.0,29.0,7.957261999999999,0.0,0.0,0.0,2.549909,0.0,0.0
chr1_2140151_2140337,0.0,0.0,0.0,0.0,0.0,8.290039,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3374928_3375314,0.0,0.0,0.0,0.0,0.0,8.183442999999999,1.631625,1.66605,0.0,0.0,0.0,1.339545
chr1_918449_918555,0.0,0.0,0.0,0.0,0.0,4.714708,0.0,0.0,0.0,9.972181,0.0,0.0
chr1_1978731_1978937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.354051,0.0,3.2633240000000003,0.0,0.0
chr1_2082729_2083012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.310111000000001,0.0,0.0,0.0,1.7916310000000002
chr1_5957166_5957512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.794257,0.0,0.0,0.0,0.0
chr1_1060905_1061095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983290000000003,0.0,0.0
chr1_1063914_1064111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2983290000000003,0.0,0.0
chr1_1136075_1136463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290325,0.0,0.0
chr1_1952050_1952360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159331000000001,0.0,1.604878
chr1_2501788_2502413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278893,0.0,0.0
chr1_2505035_2505361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.155187,0.0,0.0
chr1_2989176_2989511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.179179,0.0,0.0
chr1_3133891_3134283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352364,0.0,0.0
chr1_3136013_3136207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352364,0.0,0.0
chr1_3231556_3231634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344384,0.0,0.0
chr1_3232812_3232866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344384,0.0,0.0
chr1_3233109_3233475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344384,0.0,0.0
chr1_3237165_3237518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344384,0.0,0.0
chr1_3267475_3267612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918364,0.0,1.339545
chr1_3290271_3290590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918364,0.0,1.339545
chr1_3309990_3310261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918364,0.0,1.339545
chr1_3421438_3421558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.869073,0.0,1.339545
chr1_3594206_3594277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.089533,0.0,1.339545
chr1_6088225_6088518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.583533,3.040381,1.940975
chr1_6230950_6231173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9494570000000015,0.0,2.371306
chr1_7289758_7290075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549909,0.0,0.0
chr1_7313313_7313451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549909,0.0,0.0
chr1_7538871_7539273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549909,0.0,1.984248
chr1_7558449_7558725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549909,0.0,2.011535
chr1_6566323_6566594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.867384
