name_E,H3k9ac_E,Smc3_E,H3k27ac_E,H4k20me1_E,H3k4me1_E,H3k79me2_E,Ctcf_E,H3k4me3_E,H3k36me3_E,DNaseI_E,H3k4me2_E,H3k27me3_E
chr1_110444415_110444738,3.031759,5.07464,4.96314,0.0,7.166852499999999,0.0,0.0,0.0,0.0,0.1844,5.462986,0.0
chr1_110447199_110447636,3.031759,0.0,4.584823,0.0,4.651877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110448900_110449220,3.031759,0.0,4.584823,0.0,6.8445565,0.0,3.55623,0.0,2.676033,0.0,0.0,0.0
chr1_110451717_110451917,3.031759,0.0,4.584823,1.51268,6.8445565,0.0,3.55623,7.033284,2.676033,0.0,8.029181,0.0
chr1_110454846_110455290,6.886884500000001,0.0,4.584823,1.51268,6.8445565,3.989796,3.55623,7.033284,2.676033,0.0,14.44773,0.0
chr1_110879130_110879445,9.783527,0.0,29.207501,3.126924,5.502102,12.803601,0.0,8.744758,4.431373,0.0,32.601032,0.0
chr1_111417124_111417532,8.596103,0.0,18.547098,0.0,4.8802595,5.545928,0.0,8.158637,2.30538,0.0,14.132069,0.0
chr1_111981832_111982198,5.255565,0.0,8.478121,1.927324,8.633735,8.673067,0.0,5.70958,5.754663,0.0,0.0,2.213337
chr1_112013331_112014031,5.255565,0.0,0.0,1.927324,0.0,0.0,0.0,5.70958,5.971061499999999,0.0,0.0,0.0
chr1_112050044_112050594,14.06052,9.2431,21.541475,0.0,5.331323,0.0,39.226969,14.022876,0.0,0.1348,16.525007,2.569427
chr1_112135698_112135869,7.325347,0.0,11.239746,0.0,9.39067,0.0,0.0,5.721567,1.53046,0.1216,9.822843,0.0
chr1_112163412_112163797,9.1779975,0.0,13.187612,1.844565,5.2820285,5.954054,0.0,15.319397,2.595248,0.0,19.467691,0.0
chr1_112163826_112164071,9.1779975,0.0,13.187612,1.844565,5.2820285,5.954054,0.0,15.319397,2.595248,0.0,19.467691,0.0
chr1_1136075_1136463,8.893289,0.0,0.0,1.724152,6.069087,0.0,0.0,7.490245,0.0,0.306,8.915052,0.0
chr1_1136667_1137146,9.573669,0.0,11.173539,1.724152,0.0,0.0,0.0,7.490245,0.0,0.306,10.085157,0.0
chr1_113683682_113683919,7.090162,7.82108,15.242649,0.0,10.492294,0.0,46.275185,6.573905,3.402671,0.0776,11.754534,0.0
chr1_114326143_114326379,1.898793,0.0,7.599049,3.137035,7.542316,7.807575,0.0,2.195756,3.094952,0.0254,9.768787,0.0
chr1_1143531_1144198,4.7627415,0.0,0.0,1.724152,9.185646,0.0,0.0,0.0,0.0,0.2484,11.023523,0.0
chr1_115052481_115052766,5.1612785,0.0,12.1077125,2.061673,4.711209,7.533951,0.0,17.611797,3.817039,0.1788,13.50655,0.0
chr1_116918925_116919548,9.372338,0.0,8.720123,5.0503865,7.386829499999999,23.69388,0.0,14.220744,5.571488,0.0,18.969561,7.082757
chr1_116920378_116921129,9.372338,0.0,8.720123,5.0503865,7.386829499999999,23.69388,0.0,14.220744,5.571488,0.0,18.969561,2.334054
chr1_116923407_116923493,3.127592,0.0,3.266617,5.0503865,7.386829499999999,23.69388,0.0,0.0,5.571488,0.0,0.0,2.334054
chr1_117030831_117031034,4.304661,0.0,9.961831,1.609059,10.800007,0.0,0.0,0.0,0.0,0.0,0.0,1.822907
chr1_117032033_117032296,4.304661,0.0,9.961831,1.609059,10.800007,0.0,0.0,0.0,3.02784,0.0,0.0,1.822907
chr1_117040346_117040781,4.304661,0.0,16.9182445,1.609059,10.800007,1.401909,0.0,3.320619,3.02784,0.0242,4.321585,0.0
chr1_117046366_117046546,4.304661,0.0,16.9182445,1.609059,10.800007,1.401909,0.0,3.320619,3.02784,0.0,7.896561,0.0
chr1_117047053_117047428,4.304661,9.06186,16.9182445,1.609059,10.800007,1.401909,0.0,3.320619,3.02784,0.138,7.896561,0.0
chr1_117050808_117051139,4.304661,0.0,16.9182445,1.609059,10.800007,1.401909,0.0,3.320619,6.8488525,0.0,4.321585,0.0
chr1_117051576_117051921,4.304661,0.0,16.9182445,1.609059,10.800007,1.401909,0.0,3.320619,3.02784,0.0284,4.321585,0.0
chr1_117111804_117112156,10.998597,0.0,10.455529,2.172798,7.5449605,4.72373,11.971844,11.961394,3.02784,0.0,18.01863,0.0
chr1_117112460_117112738,10.998597,0.0,10.455529,2.172798,7.5449605,4.72373,11.971844,11.961394,3.02784,0.2053,18.01863,0.0
chr1_117305811_117306472,6.256961,0.0,5.524521,0.0,3.974153,0.0,22.09773,4.115729,1.492543,0.0396,5.066361,0.0
chr1_117421623_117422020,4.344351,0.0,4.350216,0.0,6.6258740000000005,0.0,7.259172,10.056532,0.0,0.0576,10.561345,0.0
chr1_117422443_117422644,4.344351,0.0,4.350216,0.0,6.6258740000000005,0.0,0.0,0.0,0.0,0.0,10.561345,0.0
chr1_117424835_117425013,7.432456,0.0,15.98309,3.659082,8.705991000000001,0.0,30.578706,10.3842235,0.0,0.0845,14.855778,0.0
chr1_118153815_118153988,8.13653,0.0,14.171453,2.576657,12.017995,4.941537,1.712956,9.051804,3.040634,0.0486,17.759962,0.0
chr1_118185712_118185829,2.291731,0.0,3.591362,2.576657,10.826866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_118194205_118194506,2.291731,0.0,3.591362,2.576657,10.826866,0.0,0.0,0.0,1.512922,0.0,0.0,0.0
chr1_118197244_118197521,3.973111,0.0,4.9565275,2.576657,10.826866,0.0,0.0,5.056236,1.512922,0.0,8.699,0.0
chr1_118197868_118198044,3.973111,0.0,4.9565275,0.0,10.826866,0.0,0.0,5.056236,1.512922,0.0524,8.699,0.0
chr1_118198788_118199247,3.973111,0.0,4.9565275,0.0,10.826866,0.0,0.0,5.056236,1.512922,0.0268,8.699,1.917141
chr1_118201472_118201699,2.291731,0.0,6.409152,0.0,10.826866,0.0,0.0,7.156451,1.512922,0.0,8.825897,1.917141
chr1_118203607_118204114,2.291731,0.0,6.409152,0.0,10.826866,0.0,0.0,7.156451,1.512922,0.0,8.825897,1.917141
chr1_118206889_118207267,2.291731,0.0,3.591362,0.0,10.826866,0.0,0.0,10.444155,1.512922,0.0567,12.004142,0.0
chr1_118208639_118208762,2.291731,0.0,3.14703,0.0,10.826866,0.0,0.0,0.0,1.512922,0.0,0.0,0.0
chr1_11942925_11943217,5.94054,9.78681,14.587095,1.988155,8.628735500000001,0.0,3.121276,4.97494,3.096338,0.329,9.383486,0.0
chr1_11968510_11969143,19.283422,5.6546,45.786515,1.988155,3.49324,0.0,13.7217875,10.13485,3.096338,0.1641,14.912344,0.0
chr1_11990003_11990329,12.276648,0.0,11.291747,1.988155,3.49324,0.0,2.181759,8.070376,3.096338,0.0647,6.419489,0.0
chr1_120255895_120256325,8.868569,0.0,6.081262,3.121733,5.944866,4.437938,0.0,12.165862,6.111654,0.0,14.231089,6.449733999999999
chr1_12112067_12112502,7.110463,0.0,6.956076,1.988155,3.49324,0.0,3.0444285,8.140424,3.096338,0.2057,11.965053,0.0
chr1_12124472_12125118,13.057699,0.0,8.379907,1.988155,3.49324,5.0836975,3.3401180000000004,12.083679,3.096338,0.0,20.954375,0.0
chr1_12127865_12128182,3.649881,0.0,9.264565,1.988155,3.49324,2.372641,2.181759,7.402725,3.096338,0.0308,10.520233,0.0
chr1_12210430_12211346,1.501876,0.0,0.0,1.988155,3.49324,0.0,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12213128_12213883,1.501876,0.0,0.0,1.988155,3.49324,0.0,2.181759,0.0,3.096338,0.0391,8.305081,7.394662
chr1_12221931_12222397,4.5668125,3.58849,9.642232,1.988155,3.49324,0.0,2.181759,5.072337,3.096338,0.2837,10.441658,0.0
chr1_12225396_12225718,3.226888,0.0,0.0,1.988155,3.49324,0.0,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12227833_12229578,8.217071,0.0,11.829802,1.988155,3.49324,7.748683,4.8988185,14.556418,3.096338,0.1749,18.980548,0.0
chr1_12231693_12231881,3.226888,0.0,0.0,1.988155,3.49324,7.748683,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12232096_12232448,3.226888,0.0,0.0,1.988155,3.49324,7.748683,2.181759,0.0,3.096338,0.0315,0.0,0.0
chr1_12233600_12234159,3.226888,0.0,7.353423,1.988155,3.49324,7.748683,2.181759,7.524581,3.096338,0.0632,8.938966,0.0
chr1_12235070_12235463,6.4104305,0.0,8.6734645,1.988155,3.49324,7.748683,2.181759,5.038504,3.096338,0.395,9.239485,0.0
chr1_12236326_12236421,3.226888,0.0,0.0,1.988155,3.49324,7.748683,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12237719_12238747,3.226888,0.0,0.0,1.988155,3.49324,7.748683,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12238984_12239461,3.226888,0.0,0.0,1.988155,3.49324,7.748683,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12240401_12240902,3.226888,0.0,0.0,1.988155,3.49324,7.748683,2.181759,0.0,3.096338,0.0,0.0,0.0
chr1_12493313_12493712,7.56745,0.0,10.7227185,0.0,3.49324,2.65636,7.232054,6.32951,3.096338,0.0398,8.518879,0.0
chr1_12493910_12494304,7.56745,3.98722,10.7227185,0.0,3.49324,2.65636,2.181759,6.32951,3.096338,0.0398,8.518879,0.0
chr1_12508783_12509005,10.954848,2.84801,17.7127195,0.0,3.49324,2.65636,2.181759,6.848774,3.096338,0.1154,7.745167,0.0
chr1_12509354_12509466,10.954848,7.61196,17.7127195,0.0,3.49324,2.65636,2.181759,6.848774,3.096338,0.1154,7.745167,0.0
chr1_12533412_12533678,7.07022,0.0,9.332283,0.0,3.49324,2.65636,2.181759,3.9339165,3.096338,0.0364,8.132828,0.0
chr1_12599928_12600179,4.275089,0.0,6.5420875,0.0,3.49324,0.0,2.181759,2.62741,3.096338,0.0253,3.326728,0.0
chr1_12600525_12600853,6.8376125000000005,0.0,8.137545666666666,0.0,9.537167,0.0,2.181759,2.62741,3.096338,0.0,5.3805985,0.0
chr1_12609717_12610039,6.049436,5.43711,7.3128385,0.0,3.49324,0.0,6.87206,5.938892,3.096338,0.1315,15.036462,0.0
chr1_12616547_12616769,4.275089,0.0,6.999553,0.0,3.49324,0.0,2.181759,2.62741,3.096338,0.0,3.326728,0.0
chr1_12675687_12675874,21.593963,0.0,14.1382935,2.659796,3.49324,7.662384,4.329516333333333,21.869476,3.096338,0.0,26.606481,0.0
chr1_1295535_1296332,8.241079,0.0,7.694499,0.0,4.85108,6.008417,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1368471_1368786,5.306358,0.0,10.518966,0.0,8.016117,0.0,0.0,6.211463,0.0,0.4913,9.75221,0.0
chr1_142538903_142539547,4.810731,1.39667,7.299792,6.606412,5.203388,6.79461,7.234626,7.158502,6.420828,0.0,7.847811,10.441147
chr1_144533627_144534178,6.987975,3.50392,49.9581265,2.053984,8.818874,2.548556,17.598384499999998,12.344479,7.781643,0.1115,12.764165,1.604899
chr1_144536201_144536370,6.987975,0.0,15.8267385,2.053984,8.818874,0.0,9.291286,12.344479,0.0,0.0,12.764165,1.604899
chr1_144908312_144908601,1.566934,0.0,0.0,2.061527,0.0,0.0,3.680338,0.0,5.848735,0.0,0.0,0.0
chr1_144908806_144909147,1.566934,0.0,0.0,2.061527,0.0,0.0,3.680338,0.0,5.848735,0.0,0.0,0.0
chr1_144927217_144927550,1.566934,0.0,1.770039,2.061527,0.0,3.90849,3.680338,1.593517,5.848735,0.0,0.0,0.0
chr1_144986415_144987071,16.210815,0.0,21.832702,3.252042,10.047806,38.579464,3.866632,24.6259,4.056912,0.0,11.594211,3.076592
chr1_144987154_144987391,16.210815,0.0,21.832702,3.252042,10.047806,38.579464,3.866632,24.6259,4.056912,0.0,11.594211,3.076592
chr1_144988079_144988414,16.210815,0.0,21.832702,3.252042,10.047806,38.579464,3.866632,24.6259,4.056912,0.0,11.594211,6.23332
chr1_145009158_145009716,16.210815,0.0,21.832702,3.252042,10.047806,38.579464,3.866632,24.6259,4.056912,0.0605,11.594211,3.076592
chr1_145012331_145013054,16.210815,0.0,21.832702,3.252042,10.047806,38.579464,3.866632,24.6259,4.056912,0.0,11.594211,8.409062500000001
chr1_145023690_145024549,16.210815,0.0,21.832702,3.252042,10.047806,3.318402,3.866632,4.801703,4.056912,0.0355,11.594211,3.076592
chr1_145042783_145043227,16.210815,0.0,21.832702,3.252042,10.047806,0.0,3.866632,7.075247,4.056912,0.0267,11.594211,3.076592
chr1_145054975_145055306,3.798507,0.0,12.133149,3.252042,10.047806,2.953952,3.866632,8.059124,4.056912,0.0,11.594211,3.076592
chr1_145058996_145059322,3.798507,6.52454,3.454948,3.252042,10.047806,3.997845,3.866632,3.89548,4.056912,0.0734,11.594211,3.076592
chr1_145090155_145090603,6.509069,0.0,4.308581,3.252042,10.047806,0.0,3.866632,3.413599,4.056912,0.0,11.594211,3.076592
chr1_145092450_145092883,2.889468,0.0,0.0,3.252042,10.047806,0.0,3.866632,0.0,4.056912,0.0,11.594211,3.076592
chr1_145113904_145114998,3.935989,0.0,0.0,3.252042,10.047806,6.395803000000001,3.866632,4.220852,4.056912,0.0,0.0,3.076592
chr1_145435103_145435641,28.35374,0.0,0.0,0.0,4.579581,0.0,0.0,0.0,0.0,0.0,31.608306,0.0
chr1_145437595_145437817,28.35374,0.0,35.434327,0.0,4.579581,32.687059,3.314711,28.126318,0.0,0.0333,31.608306,0.0
chr1_145454760_145454851,10.961429,0.0,26.822084,0.0,6.7703495,7.261689,0.0,7.217657,4.637529,0.0,11.305448,0.0
chr1_145455122_145455741,10.961429,0.0,26.822084,0.0,6.7703495,6.880561,20.590076,7.217657,6.7003285,0.2357,11.305448,0.0
chr1_14765058_14765382,5.805192,0.0,18.273286,0.0,11.574834,0.0,0.0,5.018202,1.884531,0.0,8.058643,0.0
chr1_147806841_147807184,18.215467,3.70839,36.08537,3.623016,3.344322,0.0,9.291286,13.751426,0.0,0.0835,16.131023,0.0
chr1_148000699_148000802,8.788372,19.21115,8.828695,0.0,0.0,0.0,0.0,6.161837,0.0,0.0273,10.815643,0.0
chr1_149215297_149215704,8.299081,0.0,11.458159,0.0,7.785928,0.0,0.0,8.933978,0.0,0.1052,20.58828,0.0
chr1_149978692_149979077,17.041607,0.0,15.19284,1.840067,5.970729,7.649121999999999,0.0,14.251583,5.458056,0.0,15.201038,0.0
chr1_149981648_149981889,17.041607,0.0,15.19284,1.840067,5.970729,7.649121999999999,0.0,14.251583,2.499603,0.0311,15.201038,0.0
chr1_150135231_150135764,10.024092,6.79639,19.452833,0.0,11.414546,0.0,4.416558,10.408908,0.0,0.2261,18.549846,0.0
chr1_150159099_150159241,6.385846,0.0,10.681764,0.0,8.326294,0.0,0.0,10.347895,0.0,0.0421,13.98022,0.0
chr1_150294873_150295138,19.198303,0.0,32.136023,0.0,7.074396,11.965168,0.0,17.290024,2.286727,0.0,20.265717,0.0
chr1_150577042_150577503,7.05666,0.0,20.788981,0.0,12.047816,0.0,0.0,9.481323,3.694318,0.0554,6.923279,0.0
chr1_150585815_150586394,14.106719,4.13221,17.102435,0.0,8.319721,4.132507,0.0,7.383472,3.694318,0.0642,7.313857,0.0
chr1_150592182_150592667,10.625449,3.98722,7.168301,3.151025,6.713223,0.0,15.339532,8.099021,3.694318,0.0972,8.535119333333332,0.0
chr1_150600412_150600701,21.350077,0.0,23.648677,0.0,6.713223,13.361346,0.0,20.871219,3.694318,0.0,13.7275295,0.0
chr1_150949569_150950014,15.571037,0.0,13.246813,2.195244,7.666216,19.634115,8.763395,13.406653,3.272518,0.2248,20.442096,0.0
chr1_151172142_151172526,11.118521,0.0,11.788865,0.0,9.682874,8.618221,0.0,12.59411,0.0,0.0,14.281884,0.0
chr1_151172620_151173197,11.118521,0.0,0.0,0.0,8.429075000000001,8.618221,0.0,12.59411,0.0,0.0394,14.281884,0.0
chr1_151284018_151284391,15.145202,5.43711,18.80953,4.964409,11.611373,4.52429,4.634,9.173055,3.832388,0.2363,6.119746,0.0
chr1_151445792_151446161,4.074859,0.0,7.342299,0.0,0.0,0.0,0.0,7.303581,0.0,0.0534,4.802366,0.0
chr1_151877533_151877895,7.943313,0.0,16.603674,0.0,6.317715,7.125994,0.0,11.843311,4.066084,0.0426,13.241899,0.0
chr1_151916920_151917624,5.3241865,0.0,6.47909,0.0,9.472056,0.0,0.0,0.0,0.0,0.0,10.77243,0.0
chr1_151918898_151919222,4.22987,0.0,5.458294,0.0,9.472056,0.0,0.0,0.0,0.0,0.0,8.145657,6.67601
chr1_151945068_151945221,1.704417,0.0,0.0,1.766113,6.6235445,0.0,0.0,0.0,0.0,0.0,11.433292,2.283318
chr1_152006910_152007460,16.072473,7.06825,18.244647,7.595546,6.191418,10.145873,11.290711,16.97013,0.0,0.1655,19.956477,0.0
chr1_152007615_152008057,16.072473,0.0,18.244647,7.595546,6.191418,10.145873,11.290711,16.97013,0.0,0.1655,19.956477,0.0
chr1_152010545_152011004,16.072473,0.0,18.244647,0.0,5.390252,0.0,0.0,16.97013,0.0,0.0,19.956477,0.0
chr1_152022022_152022514,17.604192,0.0,28.727095,0.0,4.679503,0.0,0.0,0.0,0.0,0.0,15.470406,0.0
chr1_153488459_153488748,5.869996,0.0,0.0,0.0,8.099981,0.0,0.0,0.0,0.0,0.0516,5.3345465,0.0
chr1_153504746_153504953,2.138781,0.0,3.545897,0.0,7.72264,0.0,20.639179,3.458871,0.0,0.0382,5.776837,0.0
chr1_153525322_153525412,2.055363,0.0,0.0,0.0,5.812942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_153526279_153526545,2.055363,0.0,0.0,0.0,5.812942,0.0,0.0,0.0,0.0,0.0,3.44289,0.0
chr1_153541018_153541368,4.69713,19.65727,14.180519,0.0,9.925696,0.0,35.731095,8.099549,0.0,0.2089,11.030186,0.0
chr1_153670755_153671012,6.310789,5.07464,19.351288,0.0,11.570595,0.0,0.0,6.134742,0.0,0.1742,8.085648,0.0
chr1_153936554_153936861,16.381822,0.0,15.021054,0.0,0.0,7.215474,0.0,19.155917,2.393914,0.2713,23.70405,0.0
chr1_154154606_154155027,10.811425,0.0,23.2028465,4.0664085,8.043369,18.4542815,0.0,14.534801,0.0,0.2418,21.85191,0.0
chr1_154299137_154299452,6.193864,0.0,9.308934,0.0,6.196583,5.115365,29.454087,12.503962,2.654381,0.2061,13.703332,0.0
